home_goals_foward,home_goals_against,away_goals_foward,away_goals_against,home_rank,away_rank,home_goals,away_goals
1.5714285714285714,2.0,0.42857142857142855,1.7142857142857142,0.03028034143638565,0.030008142101058833,0,0
2.0,1.7142857142857142,1.4285714285714286,1.5714285714285714,0.05954137310825511,0.05237567504078182,2,0
2.142857142857143,1.5714285714285714,1.2857142857142858,1.8571428571428572,0.03868141132745197,0.037279609976906714,1,3
1.1428571428571428,1.5714285714285714,1.8571428571428572,1.8571428571428572,0.0412850927781855,0.06656812642179022,4,1
2.2857142857142856,1.2857142857142858,0.42857142857142855,1.4285714285714286,0.047635256749734116,0.031272282378943694,4,1
1.8571428571428572,1.4285714285714286,1.0,2.0,0.06315059646436832,0.03960391781832832,1,0
0.8571428571428571,2.2857142857142856,2.5714285714285716,1.2857142857142858,0.023500262194773778,0.046482793525493685,0,1
2.4285714285714284,1.2857142857142858,1.1428571428571428,1.1428571428571428,0.06440693596730626,0.05633958443825678,1,0
1.2857142857142858,1.1428571428571428,2.4285714285714284,2.142857142857143,0.05819913049934768,0.07535602854990703,1,1
1.2857142857142858,1.0,2.142857142857143,1.2857142857142858,0.045531616214140536,0.09250182300858674,0,3
1.4285714285714286,1.8571428571428572,2.857142857142857,1.4285714285714286,0.046203603064493906,0.05472912558581748,0,2
2.5714285714285716,1.2857142857142858,1.5714285714285714,2.0,0.0819176606395829,0.031152580675422654,1,2
2.7142857142857144,1.2857142857142858,1.4285714285714286,1.2857142857142858,0.04342530960919229,0.06273302301746839,2,0
1.7142857142857142,2.0,0.8571428571428571,2.4285714285714284,0.03820970635920293,0.031130734264411222,1,0
1.0,2.142857142857143,2.2857142857142856,2.0,0.035098513692574274,0.04207898350223249,2,3
0.5714285714285714,2.0,2.0,1.4285714285714286,0.02223933247107593,0.0546480843799484,0,1
2.0,2.4285714285714284,1.2857142857142858,1.4285714285714286,0.05129871721365535,0.05507932896129615,0,0
2.5714285714285716,2.2857142857142856,2.5714285714285716,1.2857142857142858,0.0723344318957019,0.06741768754889199,3,0
0.42857142857142855,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.03503124948431958,0.057143582182626065,1,0
1.1428571428571428,1.2857142857142858,2.2857142857142856,1.7142857142857142,0.047174621069051376,0.07095372438303757,1,1
1.7142857142857142,1.8571428571428572,1.4285714285714286,2.142857142857143,0.05254452063248285,0.06075239513187364,0,2
1.8571428571428572,2.142857142857143,3.0,2.2857142857142856,0.04368416715175815,0.07204612141753541,1,1
1.4285714285714286,1.5714285714285714,0.5714285714285714,1.7142857142857142,0.04843581144757392,0.05076010973130557,5,0
2.7142857142857144,2.2857142857142856,2.0,2.4285714285714284,0.04671880377257428,0.03915418852900139,0,1
0.8571428571428571,2.5714285714285716,0.5714285714285714,2.142857142857143,0.030496606814890102,0.018703037203734195,1,0
2.4285714285714284,1.8571428571428572,1.8571428571428572,2.0,0.07592764518293793,0.04393818948429415,2,3
3.142857142857143,1.4285714285714286,3.0,1.2857142857142858,0.05705170037434974,0.06273694583396815,0,0
1.2857142857142858,1.4285714285714286,1.2857142857142858,1.4285714285714286,0.04555616124583538,0.04348202853818148,1,2
2.5714285714285716,1.7142857142857142,1.2857142857142858,2.5714285714285716,0.05625643321139198,0.03082331921862133,1,2
2.142857142857143,1.4285714285714286,2.7142857142857144,1.5714285714285714,0.04603988779586694,0.07489192728182473,2,1
0.5714285714285714,2.4285714285714284,2.7142857142857144,2.4285714285714284,0.045603649441995714,0.04603266353382185,1,1
2.142857142857143,1.5714285714285714,1.5714285714285714,2.7142857142857144,0.056648986228638815,0.02896589993785407,2,0
2.4285714285714284,1.5714285714285714,2.2857142857142856,2.2857142857142856,0.0642013519637887,0.04770248093841929,1,3
3.142857142857143,1.4285714285714286,2.142857142857143,2.4285714285714284,0.05811844016832809,0.03591529865086382,3,1
1.0,2.5714285714285716,1.7142857142857142,2.142857142857143,0.029248367121861452,0.0507274571199378,1,5
0.5714285714285714,2.2857142857142856,2.7142857142857144,2.0,0.02012654857187754,0.049091684467220675,1,2
3.0,1.2857142857142858,1.4285714285714286,1.7142857142857142,0.06863959284034674,0.04614372264315039,2,0
3.142857142857143,2.4285714285714284,1.5714285714285714,1.5714285714285714,0.07337770728720241,0.04287147979405519,4,0
2.0,2.2857142857142856,2.7142857142857144,2.2857142857142856,0.043823677281068674,0.06934847196243607,1,2
2.2857142857142856,2.857142857142857,2.5714285714285716,2.0,0.030387450495642503,0.06327356197242634,1,2
1.5714285714285714,2.142857142857143,2.857142857142857,1.8571428571428572,0.03755427490727521,0.06009238087887992,0,1
1.7142857142857142,2.142857142857143,1.1428571428571428,3.2857142857142856,0.05762316611892751,0.03315766579355446,2,1
2.7142857142857144,2.4285714285714284,2.4285714285714284,1.5714285714285714,0.052908708097161444,0.05396305142814798,0,0
2.857142857142857,2.5714285714285716,3.5714285714285716,1.5714285714285714,0.04905248729206832,0.06294985482694337,1,0
3.0,2.4285714285714284,0.7142857142857143,2.5714285714285716,0.07232052069692596,0.02072300178860847,3,0
2.4285714285714284,2.2857142857142856,3.2857142857142856,1.2857142857142858,0.04825829997142379,0.07568341759269713,1,1
1.5714285714285714,3.0,3.7142857142857144,2.4285714285714284,0.026285426960232894,0.07117944976715204,1,1
1.4285714285714286,2.0,0.7142857142857143,2.5714285714285716,0.04050728805278582,0.0503274522422229,0,1
3.0,2.142857142857143,2.142857142857143,2.5714285714285716,0.043536820414298655,0.05021572070262551,3,0
2.2857142857142856,3.0,2.7142857142857144,3.0,0.03948187849871566,0.05127129962107955,3,0
