,Round Number,Date,Home Team,Away Team,Result
760,0,1975-08-09,Fortuna Koln,FC St. Pauli,2 - 1
761,0,1975-08-09,1. FC Mulheim,VfL Osnabruck,1 - 3
762,0,1975-08-09,Borussia Dortmund,Westfalia Herne,4 - 0
763,0,1975-08-09,SC Gottingen 05,Tennis Borussia Berlin,3 - 0
764,0,1975-08-09,DJK Gutersloh,SV Bayer 04 Leverkusen,3 - 1
765,0,1975-08-09,Wuppertaler SV,Wacker 04 Berlin,3 - 1
766,0,1975-08-09,SpVgg Erkenschwick,Preussen Munster,2 - 0
767,0,1975-08-09,Alemannia Aachen,Arminia Bielefeld,0 - 0
768,0,1975-08-09,SG Wattenscheid 09,Schwarz-Weiss Essen,3 - 0
769,0,1975-08-09,Spandauer SV,SG Union Solingen,2 - 7
770,0,1975-08-09,VfB Stuttgart,1. FC Saarbrucken,1 - 0
771,0,1975-08-09,1. FC Schweinfurt 05,1860 Munchen,0 - 0
772,0,1975-08-09,FC Bayern Hof,Stuttgarter Kickers,1 - 2
773,0,1975-08-09,SV Darmstadt 98,FC Augsburg,4 - 1
774,0,1975-08-09,1. FC Nurnberg,FK Pirmasens,5 - 4
775,0,1975-08-09,SSV Reutlingen,FSV Frankfurt,0 - 1
776,0,1975-08-09,Eintracht Bad Kreuznach,Jahn Regensburg,2 - 2
777,0,1975-08-09,Waldhof Mannheim,1. FSV Mainz 05,0 - 2
778,0,1975-08-09,SV Rochling Volklingen,SpVgg Greuther Furth,2 - 1
779,0,1975-08-09,FC 08 Homburg,SpVgg Bayreuth,1 - 1
780,0,1975-08-15,SpVgg Greuther Furth,FC 08 Homburg,0 - 3
781,1,1975-08-15,FC Augsburg,1. FC Schweinfurt 05,1 - 3
782,1,1975-08-15,Jahn Regensburg,1. FC Nurnberg,0 - 3
783,1,1975-08-15,1. FC Saarbrucken,FC Bayern Hof,2 - 1
784,1,1975-08-15,SpVgg Bayreuth,Waldhof Mannheim,2 - 2
785,1,1975-08-15,1860 Munchen,SSV Reutlingen,6 - 0
786,1,1975-08-15,1. FSV Mainz 05,SV Darmstadt 98,5 - 2
787,1,1975-08-15,FSV Frankfurt,Eintracht Bad Kreuznach,1 - 2
788,1,1975-08-15,Stuttgarter Kickers,SV Rochling Volklingen,1 - 2
789,1,1975-08-15,FK Pirmasens,VfB Stuttgart,0 - 2
790,1,1975-08-16,Arminia Bielefeld,Borussia Dortmund,1 - 1
791,1,1975-08-16,Westfalia Herne,SG Wattenscheid 09,1 - 2
792,1,1975-08-16,Preussen Munster,Spandauer SV,7 - 0
793,1,1975-08-16,VfL Osnabruck,Alemannia Aachen,1 - 0
794,1,1975-08-16,FC St. Pauli,SpVgg Erkenschwick,2 - 1
795,1,1975-08-16,Schwarz-Weiss Essen,DJK Gutersloh,2 - 0
796,1,1975-08-16,SV Bayer 04 Leverkusen,Fortuna Koln,0 - 0
797,1,1975-08-16,Wacker 04 Berlin,1. FC Mulheim,4 - 3
798,1,1975-08-16,Tennis Borussia Berlin,Wuppertaler SV,2 - 1
799,1,1975-08-18,SG Union Solingen,SC Gottingen 05,1 - 1
800,1,1975-08-20,Spandauer SV,FC St. Pauli,1 - 5
801,2,1975-08-20,SG Wattenscheid 09,Arminia Bielefeld,1 - 1
802,2,1975-08-20,Fortuna Koln,Schwarz-Weiss Essen,3 - 2
803,2,1975-08-20,Alemannia Aachen,Wacker 04 Berlin,1 - 1
804,2,1975-08-20,1. FC Mulheim,Tennis Borussia Berlin,0 - 2
805,2,1975-08-20,Borussia Dortmund,VfL Osnabruck,2 - 2
806,2,1975-08-20,SG Union Solingen,Preussen Munster,1 - 0
807,2,1975-08-20,DJK Gutersloh,Westfalia Herne,1 - 2
808,2,1975-08-20,SC Gottingen 05,Wuppertaler SV,1 - 3
809,2,1975-08-20,SpVgg Erkenschwick,SV Bayer 04 Leverkusen,4 - 0
810,2,1975-08-20,VfB Stuttgart,Jahn Regensburg,3 - 0
811,2,1975-08-20,1. FC Nurnberg,FSV Frankfurt,0 - 0
812,2,1975-08-20,Eintracht Bad Kreuznach,1860 Munchen,1 - 2
813,2,1975-08-20,FC 08 Homburg,Stuttgarter Kickers,2 - 2
814,2,1975-08-20,Waldhof Mannheim,SpVgg Greuther Furth,3 - 1
815,2,1975-08-20,1. FC Schweinfurt 05,1. FSV Mainz 05,1 - 0
816,2,1975-08-20,1. FC Saarbrucken,FK Pirmasens,2 - 1
817,2,1975-08-20,SV Darmstadt 98,SpVgg Bayreuth,0 - 0
818,2,1975-08-20,FC Bayern Hof,SV Rochling Volklingen,1 - 0
819,2,1975-08-20,SSV Reutlingen,FC Augsburg,0 - 2
820,2,1975-08-23,Westfalia Herne,Fortuna Koln,0 - 2
821,3,1975-08-23,Wacker 04 Berlin,Borussia Dortmund,2 - 1
822,3,1975-08-23,SV Bayer 04 Leverkusen,Spandauer SV,2 - 1
823,3,1975-08-23,FC St. Pauli,SG Union Solingen,1 - 2
824,3,1975-08-23,Arminia Bielefeld,DJK Gutersloh,2 - 0
825,3,1975-08-23,Tennis Borussia Berlin,Alemannia Aachen,6 - 0
826,3,1975-08-23,VfL Osnabruck,SG Wattenscheid 09,1 - 0
827,3,1975-08-23,Preussen Munster,SC Gottingen 05,1 - 0
828,3,1975-08-23,Schwarz-Weiss Essen,SpVgg Erkenschwick,3 - 1
829,3,1975-08-23,Wuppertaler SV,1. FC Mulheim,1 - 1
830,3,1975-08-23,SpVgg Greuther Furth,SV Darmstadt 98,0 - 1
831,3,1975-08-23,FC Augsburg,Eintracht Bad Kreuznach,3 - 1
832,3,1975-08-23,1. FSV Mainz 05,SSV Reutlingen,4 - 2
833,3,1975-08-23,Jahn Regensburg,1. FC Saarbrucken,0 - 1
834,3,1975-08-23,Stuttgarter Kickers,Waldhof Mannheim,4 - 1
835,3,1975-08-23,FSV Frankfurt,VfB Stuttgart,1 - 7
836,3,1975-08-23,FK Pirmasens,FC Bayern Hof,2 - 0
837,3,1975-08-23,SV Rochling Volklingen,FC 08 Homburg,2 - 1
838,3,1975-08-23,1860 Munchen,1. FC Nurnberg,1 - 0
839,3,1975-08-23,SpVgg Bayreuth,1. FC Schweinfurt 05,3 - 0
840,3,1975-08-30,DJK Gutersloh,VfL Osnabruck,4 - 2
841,4,1975-08-30,Fortuna Koln,Arminia Bielefeld,1 - 2
842,4,1975-08-30,SpVgg Erkenschwick,Westfalia Herne,0 - 4
843,4,1975-08-30,Alemannia Aachen,Wuppertaler SV,1 - 1
844,4,1975-08-30,SG Union Solingen,SV Bayer 04 Leverkusen,1 - 1
845,4,1975-08-30,SG Wattenscheid 09,Wacker 04 Berlin,0 - 0
846,4,1975-08-30,Preussen Munster,FC St. Pauli,2 - 2
847,4,1975-08-30,Borussia Dortmund,Tennis Borussia Berlin,4 - 0
848,4,1975-08-30,SC Gottingen 05,1. FC Mulheim,0 - 1
849,4,1975-08-30,Spandauer SV,Schwarz-Weiss Essen,0 - 1
850,4,1975-08-30,1. FC Schweinfurt 05,SpVgg Greuther Furth,2 - 0
851,4,1975-08-30,VfB Stuttgart,1860 Munchen,1 - 1
852,4,1975-08-30,1. FC Nurnberg,FC Augsburg,2 - 1
853,4,1975-08-30,1. FC Saarbrucken,FSV Frankfurt,3 - 0
854,4,1975-08-30,FK Pirmasens,Jahn Regensburg,2 - 1
855,4,1975-08-30,FC Bayern Hof,FC 08 Homburg,3 - 2
856,4,1975-08-30,Waldhof Mannheim,SV Rochling Volklingen,1 - 4
857,4,1975-08-30,Eintracht Bad Kreuznach,1. FSV Mainz 05,3 - 1
858,4,1975-08-30,SSV Reutlingen,SpVgg Bayreuth,1 - 3
859,4,1975-08-30,SV Darmstadt 98,Stuttgarter Kickers,4 - 0
860,4,1975-09-06,SV Bayer 04 Leverkusen,Preussen Munster,6 - 1
861,5,1975-09-06,VfL Osnabruck,Fortuna Koln,1 - 0
862,5,1975-09-06,Westfalia Herne,Spandauer SV,2 - 0
863,5,1975-09-06,1. FC Mulheim,Alemannia Aachen,0 - 0
864,5,1975-09-06,Wacker 04 Berlin,DJK Gutersloh,2 - 1
865,5,1975-09-06,Tennis Borussia Berlin,SG Wattenscheid 09,2 - 1
866,5,1975-09-06,FC St. Pauli,SC Gottingen 05,0 - 3
867,5,1975-09-06,Arminia Bielefeld,SpVgg Erkenschwick,3 - 1
868,5,1975-09-06,Wuppertaler SV,Borussia Dortmund,0 - 3
869,5,1975-09-06,Schwarz-Weiss Essen,SG Union Solingen,2 - 0
870,5,1975-09-06,Jahn Regensburg,FC Bayern Hof,0 - 3
871,5,1975-09-06,1860 Munchen,1. FC Saarbrucken,1 - 1
872,5,1975-09-06,FC Augsburg,VfB Stuttgart,3 - 1
873,5,1975-09-06,FC 08 Homburg,Waldhof Mannheim,2 - 2
874,5,1975-09-06,SpVgg Greuther Furth,SSV Reutlingen,0 - 0
875,5,1975-09-06,1. FSV Mainz 05,1. FC Nurnberg,3 - 7
876,5,1975-09-06,SV Rochling Volklingen,SV Darmstadt 98,2 - 1
877,5,1975-09-06,FSV Frankfurt,FK Pirmasens,1 - 1
878,5,1975-09-06,SpVgg Bayreuth,Eintracht Bad Kreuznach,1 - 1
879,5,1975-09-06,Stuttgarter Kickers,1. FC Schweinfurt 05,4 - 2
880,5,1975-09-12,SV Darmstadt 98,FC 08 Homburg,0 - 2
881,6,1975-09-12,VfB Stuttgart,1. FSV Mainz 05,0 - 2
882,6,1975-09-12,1. FC Nurnberg,SpVgg Bayreuth,2 - 1
883,6,1975-09-12,SSV Reutlingen,Stuttgarter Kickers,2 - 1
884,6,1975-09-12,1. FC Saarbrucken,FC Augsburg,2 - 0
885,6,1975-09-12,FK Pirmasens,1860 Munchen,4 - 1
886,6,1975-09-12,1. FC Schweinfurt 05,SV Rochling Volklingen,3 - 4
887,6,1975-09-12,FC Bayern Hof,Waldhof Mannheim,0 - 1
888,6,1975-09-12,Jahn Regensburg,FSV Frankfurt,1 - 1
889,6,1975-09-12,Eintracht Bad Kreuznach,SpVgg Greuther Furth,0 - 0
890,6,1975-09-13,DJK Gutersloh,Tennis Borussia Berlin,2 - 4
891,6,1975-09-13,SpVgg Erkenschwick,VfL Osnabruck,1 - 1
892,6,1975-09-13,Fortuna Koln,Wacker 04 Berlin,2 - 1
893,6,1975-09-13,SC Gottingen 05,Alemannia Aachen,2 - 0
894,6,1975-09-13,SG Wattenscheid 09,Wuppertaler SV,2 - 2
895,6,1975-09-13,Preussen Munster,Schwarz-Weiss Essen,2 - 0
896,6,1975-09-13,Spandauer SV,Arminia Bielefeld,1 - 3
897,6,1975-09-13,Borussia Dortmund,1. FC Mulheim,6 - 0
898,6,1975-09-13,FC St. Pauli,SV Bayer 04 Leverkusen,1 - 1
899,6,1975-09-13,SG Union Solingen,Westfalia Herne,1 - 1
900,6,1975-09-20,Alemannia Aachen,Borussia Dortmund,1 - 2
901,7,1975-09-20,Westfalia Herne,Preussen Munster,2 - 1
902,7,1975-09-20,Wacker 04 Berlin,SpVgg Erkenschwick,2 - 0
903,7,1975-09-20,1. FC Mulheim,SG Wattenscheid 09,1 - 2
904,7,1975-09-20,SV Bayer 04 Leverkusen,SC Gottingen 05,2 - 1
905,7,1975-09-20,Tennis Borussia Berlin,Fortuna Koln,3 - 2
906,7,1975-09-20,Arminia Bielefeld,SG Union Solingen,0 - 0
907,7,1975-09-20,Wuppertaler SV,DJK Gutersloh,4 - 1
908,7,1975-09-20,Schwarz-Weiss Essen,FC St. Pauli,4 - 0
909,7,1975-09-20,VfL Osnabruck,Spandauer SV,3 - 1
910,7,1975-09-20,SpVgg Bayreuth,VfB Stuttgart,1 - 0
911,7,1975-09-20,FC Augsburg,FK Pirmasens,1 - 2
912,7,1975-09-20,1860 Munchen,Jahn Regensburg,3 - 1
913,7,1975-09-20,SpVgg Greuther Furth,1. FC Nurnberg,2 - 3
914,7,1975-09-20,1. FSV Mainz 05,1. FC Saarbrucken,0 - 0
915,7,1975-09-20,Stuttgarter Kickers,Eintracht Bad Kreuznach,3 - 3
916,7,1975-09-20,FSV Frankfurt,FC Bayern Hof,2 - 0
917,7,1975-09-20,Waldhof Mannheim,SV Darmstadt 98,0 - 0
918,7,1975-09-20,FC 08 Homburg,1. FC Schweinfurt 05,1 - 0
919,7,1975-09-20,SV Rochling Volklingen,SSV Reutlingen,4 - 0
920,7,1975-09-26,1. FC Schweinfurt 05,Waldhof Mannheim,1 - 1
921,8,1975-09-26,1. FC Nurnberg,Stuttgarter Kickers,5 - 0
922,8,1975-09-26,Jahn Regensburg,FC Augsburg,2 - 0
923,8,1975-09-26,SSV Reutlingen,FC 08 Homburg,0 - 2
924,8,1975-09-26,FSV Frankfurt,1860 Munchen,3 - 2
925,8,1975-09-26,VfB Stuttgart,SpVgg Greuther Furth,2 - 0
926,8,1975-09-26,1. FC Saarbrucken,SpVgg Bayreuth,5 - 1
927,8,1975-09-26,Eintracht Bad Kreuznach,SV Rochling Volklingen,2 - 0
928,8,1975-09-26,FC Bayern Hof,SV Darmstadt 98,3 - 0
929,8,1975-09-26,FK Pirmasens,1. FSV Mainz 05,3 - 3
930,8,1975-09-27,SV Bayer 04 Leverkusen,Schwarz-Weiss Essen,0 - 1
931,8,1975-09-27,Spandauer SV,Wacker 04 Berlin,2 - 3
932,8,1975-09-27,SG Union Solingen,VfL Osnabruck,1 - 1
933,8,1975-09-27,SC Gottingen 05,Borussia Dortmund,3 - 0
934,8,1975-09-27,FC St. Pauli,Westfalia Herne,1 - 3
935,8,1975-09-27,SG Wattenscheid 09,Alemannia Aachen,3 - 1
936,8,1975-09-27,Preussen Munster,Arminia Bielefeld,1 - 1
937,8,1975-09-27,Fortuna Koln,Wuppertaler SV,0 - 4
938,8,1975-09-27,DJK Gutersloh,1. FC Mulheim,1 - 1
939,8,1975-09-27,SpVgg Erkenschwick,Tennis Borussia Berlin,1 - 1
940,8,1975-10-04,Alemannia Aachen,DJK Gutersloh,2 - 1
941,9,1975-10-04,Westfalia Herne,SV Bayer 04 Leverkusen,2 - 1
942,9,1975-10-04,Wuppertaler SV,SpVgg Erkenschwick,3 - 0
943,9,1975-10-04,VfL Osnabruck,Preussen Munster,3 - 2
944,9,1975-10-04,Borussia Dortmund,SG Wattenscheid 09,4 - 1
945,9,1975-10-04,Arminia Bielefeld,FC St. Pauli,1 - 0
946,9,1975-10-04,Wacker 04 Berlin,SG Union Solingen,0 - 0
947,9,1975-10-04,Tennis Borussia Berlin,Spandauer SV,3 - 2
948,9,1975-10-04,1. FC Mulheim,Fortuna Koln,1 - 0
949,9,1975-10-04,SV Darmstadt 98,1. FC Schweinfurt 05,6 - 2
950,9,1975-10-04,SpVgg Bayreuth,FK Pirmasens,3 - 0
951,9,1975-10-04,FC Augsburg,FSV Frankfurt,2 - 1
952,9,1975-10-04,1860 Munchen,FC Bayern Hof,1 - 3
953,9,1975-10-04,SV Rochling Volklingen,1. FC Nurnberg,4 - 2
954,9,1975-10-04,Waldhof Mannheim,SSV Reutlingen,2 - 0
955,9,1975-10-04,1. FSV Mainz 05,Jahn Regensburg,3 - 3
956,9,1975-10-04,SpVgg Greuther Furth,1. FC Saarbrucken,2 - 3
957,9,1975-10-04,FC 08 Homburg,Eintracht Bad Kreuznach,4 - 0
958,9,1975-10-04,Stuttgarter Kickers,VfB Stuttgart,2 - 0
959,9,1975-10-05,Schwarz-Weiss Essen,SC Gottingen 05,1 - 1
960,9,1975-10-10,SV Bayer 04 Leverkusen,SG Wattenscheid 09,2 - 1
961,10,1975-10-12,Wacker 04 Berlin,Tennis Borussia Berlin,2 - 1
962,10,1975-10-12,SSV Reutlingen,SV Darmstadt 98,2 - 6
963,10,1975-10-12,FSV Frankfurt,1. FSV Mainz 05,7 - 1
964,10,1975-10-12,1860 Munchen,FC Augsburg,4 - 2
965,10,1975-10-12,1. FC Nurnberg,FC 08 Homburg,2 - 2
966,10,1975-10-12,Jahn Regensburg,SpVgg Bayreuth,4 - 2
967,10,1975-10-12,FK Pirmasens,SpVgg Greuther Furth,1 - 0
968,10,1975-10-12,Eintracht Bad Kreuznach,Waldhof Mannheim,6 - 4
969,10,1975-10-12,1. FC Saarbrucken,Stuttgarter Kickers,1 - 0
970,10,1975-10-12,VfB Stuttgart,SV Rochling Volklingen,2 - 2
971,10,1975-10-12,FC Bayern Hof,1. FC Schweinfurt 05,2 - 0
972,10,1975-10-25,SC Gottingen 05,SG Wattenscheid 09,0 - 2
973,10,1975-10-25,Spandauer SV,Wuppertaler SV,1 - 4
974,10,1975-10-25,SpVgg Erkenschwick,1. FC Mulheim,3 - 2
975,10,1975-10-25,SG Union Solingen,Tennis Borussia Berlin,1 - 0
976,10,1975-10-25,DJK Gutersloh,Borussia Dortmund,0 - 2
977,10,1975-10-25,SV Bayer 04 Leverkusen,Arminia Bielefeld,0 - 0
978,11,1975-10-25,FC St. Pauli,VfL Osnabruck,2 - 3
979,11,1975-10-25,Fortuna Koln,Alemannia Aachen,1 - 1
980,11,1975-10-25,Preussen Munster,Wacker 04 Berlin,4 - 2
981,11,1975-10-25,Schwarz-Weiss Essen,Westfalia Herne,4 - 1
982,11,1975-10-25,FC 08 Homburg,VfB Stuttgart,1 - 0
983,11,1975-10-25,SV Rochling Volklingen,1. FC Saarbrucken,0 - 0
984,11,1975-10-25,FC Augsburg,FC Bayern Hof,1 - 0
985,11,1975-10-25,1. FSV Mainz 05,1860 Munchen,3 - 3
986,11,1975-10-25,Waldhof Mannheim,1. FC Nurnberg,3 - 0
987,11,1975-10-25,SV Darmstadt 98,Eintracht Bad Kreuznach,4 - 1
988,11,1975-10-25,SpVgg Bayreuth,FSV Frankfurt,4 - 1
989,11,1975-10-25,Stuttgarter Kickers,FK Pirmasens,3 - 1
990,11,1975-10-25,1. FC Schweinfurt 05,SSV Reutlingen,0 - 1
991,11,1975-10-25,SpVgg Greuther Furth,Jahn Regensburg,2 - 0
992,11,1975-10-31,Eintracht Bad Kreuznach,1. FC Schweinfurt 05,1 - 1
993,12,1975-10-31,1860 Munchen,SpVgg Bayreuth,3 - 0
994,12,1975-10-31,1. FC Nurnberg,SV Darmstadt 98,1 - 0
995,12,1975-10-31,FC Augsburg,1. FSV Mainz 05,1 - 1
996,12,1975-10-31,FC Bayern Hof,SSV Reutlingen,4 - 2
997,12,1975-10-31,FSV Frankfurt,SpVgg Greuther Furth,4 - 0
998,12,1975-10-31,Jahn Regensburg,Stuttgarter Kickers,3 - 1
999,12,1975-10-31,FK Pirmasens,SV Rochling Volklingen,6 - 2
1000,12,1975-10-31,1. FC Saarbrucken,FC 08 Homburg,3 - 0
1001,12,1975-10-31,VfB Stuttgart,Waldhof Mannheim,2 - 0
1002,12,1975-11-01,Tennis Borussia Berlin,Preussen Munster,3 - 0
1003,12,1975-11-01,Borussia Dortmund,Fortuna Koln,0 - 0
1004,12,1975-11-01,SG Wattenscheid 09,DJK Gutersloh,4 - 1
1005,12,1975-11-01,Alemannia Aachen,SpVgg Erkenschwick,1 - 1
1006,12,1975-11-01,VfL Osnabruck,SV Bayer 04 Leverkusen,1 - 0
1007,12,1975-11-01,1. FC Mulheim,Spandauer SV,6 - 1
1008,12,1975-11-01,Wacker 04 Berlin,FC St. Pauli,1 - 4
1009,12,1975-11-01,Arminia Bielefeld,Schwarz-Weiss Essen,1 - 2
1010,12,1975-11-01,Wuppertaler SV,SG Union Solingen,3 - 0
1011,12,1975-11-02,Westfalia Herne,SC Gottingen 05,2 - 2
1012,12,1975-11-08,SG Union Solingen,1. FC Mulheim,1 - 0
1013,13,1975-11-08,Westfalia Herne,Arminia Bielefeld,0 - 0
1014,13,1975-11-08,Preussen Munster,Wuppertaler SV,1 - 1
1015,13,1975-11-08,SC Gottingen 05,DJK Gutersloh,2 - 1
1016,13,1975-11-08,Spandauer SV,Alemannia Aachen,1 - 4
1017,13,1975-11-08,Schwarz-Weiss Essen,VfL Osnabruck,2 - 0
1018,13,1975-11-08,SV Bayer 04 Leverkusen,Wacker 04 Berlin,1 - 1
1019,13,1975-11-08,FC St. Pauli,Tennis Borussia Berlin,1 - 2
1020,13,1975-11-08,SpVgg Erkenschwick,Borussia Dortmund,1 - 4
1021,13,1975-11-08,Fortuna Koln,SG Wattenscheid 09,5 - 4
1022,13,1975-11-08,SSV Reutlingen,Eintracht Bad Kreuznach,1 - 3
1023,13,1975-11-08,1. FC Schweinfurt 05,1. FC Nurnberg,0 - 2
1024,13,1975-11-08,SpVgg Bayreuth,FC Augsburg,2 - 0
1025,13,1975-11-08,SpVgg Greuther Furth,1860 Munchen,0 - 2
1026,13,1975-11-08,Waldhof Mannheim,1. FC Saarbrucken,0 - 0
1027,13,1975-11-08,1. FSV Mainz 05,FC Bayern Hof,0 - 1
1028,13,1975-11-08,FC 08 Homburg,FK Pirmasens,3 - 2
1029,13,1975-11-08,Stuttgarter Kickers,FSV Frankfurt,0 - 0
1030,13,1975-11-08,SV Darmstadt 98,VfB Stuttgart,2 - 3
1031,13,1975-11-08,SV Rochling Volklingen,Jahn Regensburg,1 - 1
1032,13,1975-11-15,Wuppertaler SV,FC St. Pauli,5 - 0
1033,14,1975-11-15,VfL Osnabruck,Westfalia Herne,1 - 0
1034,14,1975-11-15,Wacker 04 Berlin,Schwarz-Weiss Essen,4 - 3
1035,14,1975-11-15,DJK Gutersloh,Fortuna Koln,3 - 2
1036,14,1975-11-15,Alemannia Aachen,SG Union Solingen,2 - 1
1037,14,1975-11-15,SG Wattenscheid 09,SpVgg Erkenschwick,1 - 1
1038,14,1975-11-15,Arminia Bielefeld,SC Gottingen 05,2 - 1
1039,14,1975-11-15,Tennis Borussia Berlin,SV Bayer 04 Leverkusen,4 - 1
1040,14,1975-11-15,1. FC Mulheim,Preussen Munster,1 - 1
1041,14,1975-11-15,Borussia Dortmund,Spandauer SV,3 - 0
1042,14,1975-11-15,VfB Stuttgart,1. FC Schweinfurt 05,2 - 0
1043,14,1975-11-15,1860 Munchen,Stuttgarter Kickers,5 - 0
1044,14,1975-11-15,FC Augsburg,SpVgg Greuther Furth,2 - 3
1045,14,1975-11-15,1. FC Nurnberg,SSV Reutlingen,3 - 0
1046,14,1975-11-15,Jahn Regensburg,FC 08 Homburg,2 - 2
1047,14,1975-11-15,FSV Frankfurt,SV Rochling Volklingen,0 - 1
1048,14,1975-11-15,FK Pirmasens,Waldhof Mannheim,1 - 2
1049,14,1975-11-15,1. FC Saarbrucken,SV Darmstadt 98,3 - 0
1050,14,1975-11-15,1. FSV Mainz 05,SpVgg Bayreuth,2 - 2
1051,14,1975-11-15,FC Bayern Hof,Eintracht Bad Kreuznach,2 - 0
1052,14,1975-11-22,Westfalia Herne,Wacker 04 Berlin,3 - 3
1053,15,1975-11-22,SG Union Solingen,Borussia Dortmund,1 - 1
1054,15,1975-11-22,Spandauer SV,SG Wattenscheid 09,1 - 1
1055,15,1975-11-22,SV Bayer 04 Leverkusen,Wuppertaler SV,1 - 1
1056,15,1975-11-22,SpVgg Erkenschwick,DJK Gutersloh,3 - 1
1057,15,1975-11-22,Preussen Munster,Alemannia Aachen,4 - 0
1058,15,1975-11-22,FC St. Pauli,1. FC Mulheim,1 - 1
1059,15,1975-11-22,Arminia Bielefeld,VfL Osnabruck,1 - 0
1060,15,1975-11-22,Schwarz-Weiss Essen,Tennis Borussia Berlin,2 - 2
