,Round Number,Date,Home Team,Away Team,Result
10864,0,1995-08-04,Chemnitzer FC,VfB Leipzig,1 - 2
10865,0,1995-08-04,Arminia Bielefeld,VfB Lubeck,2 - 1
10866,0,1995-08-04,Carl Zeiss Jena,FSV Zwickau,2 - 0
10867,0,1995-08-04,MSV Duisburg,VfL Bochum,0 - 0
10868,0,1995-08-05,1. FSV Mainz 05,Hannover 96,0 - 2
10869,0,1995-08-05,SpVgg Unterhaching,SV Meppen,1 - 1
10870,0,1995-08-05,VfL Wolfsburg,Hertha BSC,1 - 4
10871,0,1995-08-05,SG Wattenscheid 09,1. FC Nurnberg,1 - 2
10872,0,1995-08-05,Waldhof Mannheim,Fortuna Koln,2 - 0
10873,0,1995-08-08,SV Meppen,Carl Zeiss Jena,1 - 1
10874,1,1995-08-08,VfB Lubeck,1. FSV Mainz 05,3 - 0
10875,1,1995-08-08,Hertha BSC,SpVgg Unterhaching,1 - 0
10876,1,1995-08-08,Hannover 96,MSV Duisburg,2 - 2
10877,1,1995-08-09,VfB Leipzig,Arminia Bielefeld,0 - 0
10878,1,1995-08-09,FSV Zwickau,Chemnitzer FC,1 - 0
10879,1,1995-08-09,Fortuna Koln,SG Wattenscheid 09,2 - 0
10880,1,1995-08-09,1. FC Nurnberg,VfL Wolfsburg,0 - 0
10881,1,1995-08-09,VfL Bochum,Waldhof Mannheim,3 - 1
10882,1,1995-08-11,MSV Duisburg,VfB Lubeck,2 - 1
10883,2,1995-08-11,Carl Zeiss Jena,Hertha BSC,0 - 3
10884,2,1995-08-12,Arminia Bielefeld,FSV Zwickau,4 - 0
10885,2,1995-08-12,Chemnitzer FC,SV Meppen,2 - 0
10886,2,1995-08-12,Waldhof Mannheim,SG Wattenscheid 09,5 - 2
10887,2,1995-08-13,1. FSV Mainz 05,VfB Leipzig,0 - 1
10888,2,1995-08-13,SpVgg Unterhaching,1. FC Nurnberg,0 - 0
10889,2,1995-08-13,VfL Wolfsburg,Fortuna Koln,1 - 3
10890,2,1995-08-14,VfL Bochum,Hannover 96,1 - 0
10891,2,1995-08-18,VfB Leipzig,MSV Duisburg,2 - 2
10892,3,1995-08-18,Hannover 96,Waldhof Mannheim,1 - 0
10893,3,1995-08-19,FSV Zwickau,1. FSV Mainz 05,3 - 0
10894,3,1995-08-19,Fortuna Koln,SpVgg Unterhaching,0 - 2
10895,3,1995-08-20,SV Meppen,Arminia Bielefeld,2 - 2
10896,3,1995-08-20,VfB Lubeck,VfL Bochum,3 - 0
10897,3,1995-08-20,SG Wattenscheid 09,VfL Wolfsburg,1 - 2
10898,3,1995-08-21,1. FC Nurnberg,Carl Zeiss Jena,0 - 2
10899,3,1995-08-29,Chemnitzer FC,1. FC Nurnberg,1 - 1
10900,3,1995-08-29,MSV Duisburg,FSV Zwickau,3 - 0
10901,4,1995-08-29,Arminia Bielefeld,Hertha BSC,1 - 0
10902,4,1995-08-29,Carl Zeiss Jena,Fortuna Koln,1 - 0
10903,4,1995-08-29,VfL Bochum,VfB Leipzig,3 - 0
10904,4,1995-08-29,SpVgg Unterhaching,SG Wattenscheid 09,1 - 0
10905,4,1995-08-30,Waldhof Mannheim,VfL Wolfsburg,3 - 0
10906,4,1995-08-30,Hannover 96,VfB Lubeck,0 - 0
10907,4,1995-08-30,1. FSV Mainz 05,SV Meppen,0 - 0
10908,4,1995-09-01,1. FC Nurnberg,Arminia Bielefeld,0 - 2
10909,4,1995-09-01,Fortuna Koln,Chemnitzer FC,1 - 2
10910,5,1995-09-02,VfB Leipzig,Hannover 96,1 - 0
10911,5,1995-09-02,VfL Wolfsburg,SpVgg Unterhaching,3 - 1
10912,5,1995-09-02,Hertha BSC,1. FSV Mainz 05,2 - 0
10913,5,1995-09-03,SV Meppen,MSV Duisburg,1 - 1
10914,5,1995-09-03,VfB Lubeck,Waldhof Mannheim,3 - 1
10915,5,1995-09-03,SG Wattenscheid 09,Carl Zeiss Jena,1 - 1
10916,5,1995-09-08,MSV Duisburg,Hertha BSC,2 - 0
10917,6,1995-09-08,VfL Bochum,SV Meppen,4 - 1
10918,6,1995-09-09,1. FSV Mainz 05,1. FC Nurnberg,0 - 2
10919,6,1995-09-09,Chemnitzer FC,SG Wattenscheid 09,2 - 0
10920,6,1995-09-09,Waldhof Mannheim,SpVgg Unterhaching,0 - 1
10921,6,1995-09-10,Hannover 96,FSV Zwickau,1 - 1
10922,6,1995-09-10,VfB Lubeck,VfB Leipzig,0 - 2
10923,6,1995-09-10,Carl Zeiss Jena,VfL Wolfsburg,1 - 1
10924,6,1995-09-11,Arminia Bielefeld,Fortuna Koln,2 - 1
10925,6,1995-09-14,VfL Wolfsburg,Chemnitzer FC,1 - 1
10926,7,1995-09-15,1. FC Nurnberg,MSV Duisburg,0 - 0
10927,7,1995-09-15,SpVgg Unterhaching,Carl Zeiss Jena,2 - 0
10928,7,1995-09-16,Hertha BSC,VfL Bochum,0 - 2
10929,7,1995-09-16,SV Meppen,Hannover 96,0 - 0
10930,7,1995-09-16,SG Wattenscheid 09,Arminia Bielefeld,3 - 2
10931,7,1995-09-16,VfB Leipzig,Waldhof Mannheim,2 - 0
10932,7,1995-09-17,FSV Zwickau,VfB Lubeck,1 - 0
10933,7,1995-09-17,Fortuna Koln,1. FSV Mainz 05,1 - 0
10934,7,1995-09-22,VfL Bochum,1. FC Nurnberg,4 - 0
10935,8,1995-09-23,VfB Leipzig,FSV Zwickau,2 - 0
10936,8,1995-09-23,Hannover 96,Hertha BSC,1 - 0
10937,8,1995-09-23,1. FSV Mainz 05,SG Wattenscheid 09,2 - 0
10938,8,1995-09-24,VfB Lubeck,SV Meppen,1 - 1
10939,8,1995-09-24,Arminia Bielefeld,VfL Wolfsburg,1 - 0
10940,8,1995-09-24,Chemnitzer FC,SpVgg Unterhaching,2 - 0
10941,8,1995-09-25,Waldhof Mannheim,Carl Zeiss Jena,1 - 0
10942,8,1995-09-26,FSV Zwickau,VfL Bochum,2 - 1
10943,9,1995-09-29,SG Wattenscheid 09,MSV Duisburg,0 - 2
10944,9,1995-09-29,1. FC Nurnberg,Hannover 96,0 - 2
10945,9,1995-09-30,FSV Zwickau,Waldhof Mannheim,2 - 1
10946,10,1995-09-30,VfL Wolfsburg,1. FSV Mainz 05,2 - 2
10947,10,1995-09-30,Fortuna Koln,VfL Bochum,0 - 2
10948,10,1995-10-01,SV Meppen,VfB Leipzig,0 - 2
10949,10,1995-10-01,Carl Zeiss Jena,Chemnitzer FC,4 - 1
10950,10,1995-10-01,SpVgg Unterhaching,Arminia Bielefeld,3 - 0
10951,10,1995-10-02,Hertha BSC,VfB Lubeck,0 - 0
10952,10,1995-10-06,MSV Duisburg,Fortuna Koln,2 - 2
10953,10,1995-10-13,MSV Duisburg,VfL Wolfsburg,2 - 1
10954,11,1995-10-13,Waldhof Mannheim,Chemnitzer FC,4 - 1
10955,11,1995-10-13,1. FSV Mainz 05,SpVgg Unterhaching,3 - 1
10956,11,1995-10-14,FSV Zwickau,SV Meppen,4 - 1
10957,11,1995-10-14,Hannover 96,Fortuna Koln,2 - 0
10958,11,1995-10-15,VfB Leipzig,Hertha BSC,2 - 2
10959,11,1995-10-15,VfB Lubeck,1. FC Nurnberg,0 - 0
10960,11,1995-10-15,VfL Bochum,SG Wattenscheid 09,2 - 2
10961,11,1995-10-16,Arminia Bielefeld,Carl Zeiss Jena,1 - 2
10962,11,1995-10-20,Carl Zeiss Jena,1. FSV Mainz 05,6 - 1
10963,12,1995-10-20,SG Wattenscheid 09,Hannover 96,5 - 1
10964,12,1995-10-21,SV Meppen,Waldhof Mannheim,2 - 1
10965,12,1995-10-21,VfL Wolfsburg,VfL Bochum,0 - 5
10966,12,1995-10-21,Fortuna Koln,VfB Lubeck,1 - 3
10967,12,1995-10-22,Hertha BSC,FSV Zwickau,0 - 0
10968,12,1995-10-22,Chemnitzer FC,Arminia Bielefeld,5 - 1
10969,12,1995-10-22,SpVgg Unterhaching,MSV Duisburg,1 - 2
10970,12,1995-10-23,1. FC Nurnberg,VfB Leipzig,1 - 0
10971,12,1995-10-25,Hertha BSC,Chemnitzer FC,1 - 1
10972,13,1995-10-27,Waldhof Mannheim,Arminia Bielefeld,3 - 5
10973,13,1995-10-28,SV Meppen,Hertha BSC,1 - 1
10974,13,1995-10-28,VfB Leipzig,Fortuna Koln,1 - 1
10975,13,1995-10-28,Hannover 96,VfL Wolfsburg,0 - 1
10976,13,1995-10-29,FSV Zwickau,1. FC Nurnberg,1 - 0
10977,13,1995-10-29,VfB Lubeck,SG Wattenscheid 09,2 - 1
10978,13,1995-10-29,MSV Duisburg,Carl Zeiss Jena,4 - 1
10979,13,1995-10-29,1. FSV Mainz 05,Chemnitzer FC,4 - 2
10980,13,1995-10-30,VfL Bochum,SpVgg Unterhaching,3 - 1
10981,13,1995-11-03,Arminia Bielefeld,1. FSV Mainz 05,2 - 0
10982,14,1995-11-03,Carl Zeiss Jena,VfL Bochum,0 - 4
10983,14,1995-11-04,1. FC Nurnberg,SV Meppen,2 - 1
10984,14,1995-11-04,SG Wattenscheid 09,VfB Leipzig,2 - 1
10985,14,1995-11-04,Fortuna Koln,FSV Zwickau,1 - 1
10986,14,1995-11-05,VfL Wolfsburg,VfB Lubeck,2 - 1
10987,14,1995-11-07,SpVgg Unterhaching,Hannover 96,1 - 0
10988,14,1995-11-10,VfL Bochum,Chemnitzer FC,2 - 2
10989,15,1995-11-10,1. FSV Mainz 05,Waldhof Mannheim,0 - 0
10990,15,1995-11-11,FSV Zwickau,SG Wattenscheid 09,2 - 0
10991,15,1995-11-11,Hannover 96,Carl Zeiss Jena,1 - 1
10992,15,1995-11-11,1. FC Nurnberg,Hertha BSC,1 - 0
10993,15,1995-11-12,VfB Lubeck,SpVgg Unterhaching,3 - 1
10994,15,1995-11-12,SV Meppen,Fortuna Koln,2 - 2
10995,15,1995-11-12,VfB Leipzig,VfL Wolfsburg,2 - 0
10996,15,1995-11-13,MSV Duisburg,Arminia Bielefeld,1 - 1
10997,15,1995-11-17,Carl Zeiss Jena,VfB Lubeck,3 - 1
10998,16,1995-11-17,SpVgg Unterhaching,VfB Leipzig,4 - 1
10999,16,1995-11-18,VfL Wolfsburg,FSV Zwickau,0 - 1
11000,16,1995-11-18,Chemnitzer FC,Hannover 96,2 - 1
11001,16,1995-11-18,SG Wattenscheid 09,SV Meppen,3 - 0
11002,16,1995-11-19,1. FSV Mainz 05,MSV Duisburg,0 - 1
11003,16,1995-11-19,Fortuna Koln,Hertha BSC,0 - 1
11004,16,1995-11-19,Waldhof Mannheim,1. FC Nurnberg,1 - 4
11005,16,1995-11-20,Arminia Bielefeld,VfL Bochum,1 - 3
11006,16,1995-11-24,Hannover 96,Arminia Bielefeld,0 - 1
11007,17,1995-11-24,VfL Bochum,1. FSV Mainz 05,3 - 0
11008,17,1995-11-25,FSV Zwickau,SpVgg Unterhaching,1 - 2
11009,17,1995-11-25,VfB Leipzig,Carl Zeiss Jena,2 - 0
11010,17,1995-11-25,Hertha BSC,SG Wattenscheid 09,1 - 2
11011,17,1995-11-26,VfB Lubeck,Chemnitzer FC,0 - 2
11012,17,1995-11-26,SV Meppen,VfL Wolfsburg,2 - 1
11013,17,1995-11-26,1. FC Nurnberg,Fortuna Koln,1 - 1
11014,17,1995-11-26,MSV Duisburg,Waldhof Mannheim,1 - 1
11015,17,1995-11-29,Chemnitzer FC,MSV Duisburg,1 - 0
11016,18,1995-11-29,Hertha BSC,Waldhof Mannheim,1 - 0
11017,18,1995-12-01,Hannover 96,1. FSV Mainz 05,0 - 2
11018,18,1995-12-02,FSV Zwickau,Carl Zeiss Jena,2 - 1
11019,18,1995-12-02,VfB Leipzig,Chemnitzer FC,0 - 0
11020,18,1995-12-02,Hertha BSC,VfL Wolfsburg,2 - 2
11021,19,1995-12-03,VfB Lubeck,Arminia Bielefeld,0 - 2
11022,19,1995-12-03,SV Meppen,SpVgg Unterhaching,0 - 0
11023,19,1995-12-03,1. FC Nurnberg,SG Wattenscheid 09,3 - 0
11024,19,1995-12-03,Fortuna Koln,Waldhof Mannheim,1 - 0
11025,19,1995-12-04,VfL Bochum,MSV Duisburg,0 - 1
11026,19,1995-12-08,1. FSV Mainz 05,VfB Lubeck,0 - 1
11027,19,1995-12-08,SpVgg Unterhaching,Hertha BSC,0 - 0
11028,20,1995-12-09,VfL Wolfsburg,1. FC Nurnberg,1 - 1
11029,20,1995-12-09,Chemnitzer FC,FSV Zwickau,0 - 1
11030,20,1995-12-09,Carl Zeiss Jena,SV Meppen,2 - 2
11031,20,1995-12-10,MSV Duisburg,Hannover 96,4 - 0
11032,20,1995-12-10,Arminia Bielefeld,VfB Leipzig,3 - 0
11033,20,1995-12-10,SG Wattenscheid 09,Fortuna Koln,2 - 3
11034,20,1995-12-10,Waldhof Mannheim,VfL Bochum,1 - 0
11035,20,1996-03-08,SG Wattenscheid 09,Waldhof Mannheim,0 - 0
11036,21,1996-03-08,Hertha BSC,Carl Zeiss Jena,2 - 4
11037,21,1996-03-09,VfB Leipzig,1. FSV Mainz 05,0 - 0
11038,21,1996-03-09,Hannover 96,VfL Bochum,2 - 0
11039,21,1996-03-09,Fortuna Koln,VfL Wolfsburg,2 - 0
11040,21,1996-03-10,SV Meppen,Chemnitzer FC,2 - 0
11041,21,1996-03-11,1. FC Nurnberg,SpVgg Unterhaching,2 - 2
11042,21,1996-03-15,Carl Zeiss Jena,1. FC Nurnberg,1 - 0
11043,22,1996-03-15,1. FSV Mainz 05,FSV Zwickau,1 - 0
11044,22,1996-03-16,Arminia Bielefeld,SV Meppen,2 - 2
11045,22,1996-03-16,VfL Wolfsburg,SG Wattenscheid 09,1 - 0
11046,22,1996-03-16,Waldhof Mannheim,Hannover 96,1 - 0
11047,22,1996-03-17,VfL Bochum,VfB Lubeck,3 - 1
11048,22,1996-03-17,SpVgg Unterhaching,Fortuna Koln,2 - 0
11049,22,1996-03-18,MSV Duisburg,VfB Leipzig,5 - 1
11050,22,1996-03-22,VfL Wolfsburg,Waldhof Mannheim,2 - 0
11051,23,1996-03-22,Hertha BSC,Arminia Bielefeld,0 - 0
11052,23,1996-03-23,1. FC Nurnberg,Chemnitzer FC,1 - 1
11053,23,1996-03-23,VfB Leipzig,VfL Bochum,0 - 1
11054,23,1996-03-24,SV Meppen,1. FSV Mainz 05,2 - 1
11055,23,1996-03-24,VfB Lubeck,Hannover 96,2 - 0
11056,23,1996-03-24,SG Wattenscheid 09,SpVgg Unterhaching,0 - 0
11057,23,1996-03-25,Fortuna Koln,Carl Zeiss Jena,6 - 0
11058,23,1996-03-29,MSV Duisburg,SV Meppen,3 - 1
11059,23,1996-03-29,Arminia Bielefeld,1. FC Nurnberg,2 - 2
11060,24,1996-03-29,SpVgg Unterhaching,VfL Wolfsburg,2 - 2
11061,24,1996-03-30,Carl Zeiss Jena,SG Wattenscheid 09,1 - 1
11062,24,1996-03-30,Waldhof Mannheim,VfB Lubeck,2 - 0
11063,24,1996-03-31,Hannover 96,VfB Leipzig,4 - 0
11064,24,1996-03-31,1. FSV Mainz 05,Hertha BSC,0 - 0
11065,24,1996-04-01,VfL Bochum,FSV Zwickau,3 - 0
11066,24,1996-04-04,FSV Zwickau,Hannover 96,2 - 1
11067,25,1996-04-04,VfB Leipzig,VfB Lubeck,2 - 1
11068,25,1996-04-04,VfL Wolfsburg,Carl Zeiss Jena,1 - 1
11069,25,1996-04-04,Hertha BSC,MSV Duisburg,1 - 0
11070,25,1996-04-04,Fortuna Koln,Arminia Bielefeld,1 - 0
11071,25,1996-04-06,1. FC Nurnberg,1. FSV Mainz 05,1 - 2
11072,25,1996-04-07,SV Meppen,VfL Bochum,2 - 3
11073,25,1996-04-07,SG Wattenscheid 09,Chemnitzer FC,2 - 2
11074,25,1996-04-08,VfB Lubeck,MSV Duisburg,2 - 1
11075,26,1996-04-08,SpVgg Unterhaching,Waldhof Mannheim,3 - 1
11076,26,1996-04-08,FSV Zwickau,Arminia Bielefeld,1 - 3
11077,26,1996-04-12,Chemnitzer FC,VfL Wolfsburg,0 - 4
11078,26,1996-04-12,VfL Bochum,Hertha BSC,2 - 2
11079,26,1996-04-12,1. FSV Mainz 05,Fortuna Koln,2 - 0
11080,26,1996-04-13,Arminia Bielefeld,SG Wattenscheid 09,1 - 0
11081,27,1996-04-14,VfB Lubeck,FSV Zwickau,3 - 1
11082,27,1996-04-14,Carl Zeiss Jena,SpVgg Unterhaching,1 - 0
11083,27,1996-04-14,Waldhof Mannheim,VfB Leipzig,2 - 0
11084,27,1996-04-15,MSV Duisburg,1. FC Nurnberg,1 - 1
11085,27,1996-04-16,Hannover 96,SV Meppen,1 - 0
11086,27,1996-04-16,Chemnitzer FC,Hertha BSC,1 - 2
11087,27,1996-04-19,Carl Zeiss Jena,Waldhof Mannheim,0 - 0
11088,28,1996-04-19,SpVgg Unterhaching,Chemnitzer FC,0 - 1
11089,28,1996-04-19,Fortuna Koln,MSV Duisburg,1 - 1
11090,28,1996-04-20,Hertha BSC,Hannover 96,4 - 1
11091,28,1996-04-20,SG Wattenscheid 09,1. FSV Mainz 05,2 - 1
11092,28,1996-04-21,1. FC Nurnberg,VfL Bochum,0 - 1
11093,28,1996-04-21,SV Meppen,VfB Lubeck,2 - 0
11094,28,1996-04-21,FSV Zwickau,VfB Leipzig,3 - 1
11095,28,1996-04-22,VfL Wolfsburg,Arminia Bielefeld,1 - 1
11096,28,1996-04-23,Chemnitzer FC,Fortuna Koln,1 - 1
11097,29,1996-04-26,MSV Duisburg,SG Wattenscheid 09,0 - 2
11098,29,1996-04-26,Waldhof Mannheim,FSV Zwickau,3 - 1
11099,29,1996-04-27,VfB Leipzig,SV Meppen,0 - 3
11100,29,1996-04-27,1. FSV Mainz 05,VfL Wolfsburg,2 - 2
11101,29,1996-04-28,VfB Lubeck,Hertha BSC,0 - 1
11102,29,1996-04-28,VfL Bochum,Fortuna Koln,3 - 1
11103,29,1996-04-28,Arminia Bielefeld,SpVgg Unterhaching,2 - 2
11104,29,1996-04-28,Chemnitzer FC,Carl Zeiss Jena,3 - 0
11105,30,1996-04-29,Hannover 96,1. FC Nurnberg,2 - 2
11106,30,1996-05-03,Chemnitzer FC,Waldhof Mannheim,1 - 1
11107,31,1996-05-03,Hertha BSC,VfB Leipzig,2 - 0
11108,31,1996-05-03,VfL Wolfsburg,MSV Duisburg,3 - 1
11109,31,1996-05-04,SV Meppen,FSV Zwickau,3 - 0
11110,31,1996-05-05,1. FC Nurnberg,VfB Lubeck,0 - 1
11111,31,1996-05-05,Carl Zeiss Jena,Arminia Bielefeld,2 - 1
11112,31,1996-05-05,SpVgg Unterhaching,1. FSV Mainz 05,0 - 0
11113,31,1996-05-05,Fortuna Koln,Hannover 96,1 - 0
11114,31,1996-05-06,SG Wattenscheid 09,VfL Bochum,1 - 3
11115,31,1996-05-07,FSV Zwickau,MSV Duisburg,1 - 0
11116,32,1996-05-10,FSV Zwickau,Hertha BSC,3 - 1
11117,33,1996-05-10,Arminia Bielefeld,Chemnitzer FC,3 - 1
11118,33,1996-05-10,Hannover 96,SG Wattenscheid 09,3 - 0
11119,33,1996-05-10,VfL Bochum,VfL Wolfsburg,0 - 0
11120,33,1996-05-12,VfB Leipzig,1. FC Nurnberg,2 - 1
11121,33,1996-05-12,VfB Lubeck,Fortuna Koln,0 - 1
11122,33,1996-05-12,MSV Duisburg,SpVgg Unterhaching,1 - 1
11123,33,1996-05-12,1. FSV Mainz 05,Carl Zeiss Jena,3 - 0
11124,33,1996-05-12,Waldhof Mannheim,SV Meppen,2 - 0
11125,33,1996-05-15,Carl Zeiss Jena,MSV Duisburg,2 - 4
11126,34,1996-05-15,Chemnitzer FC,1. FSV Mainz 05,0 - 3
11127,34,1996-05-15,VfL Wolfsburg,Hannover 96,3 - 3
11128,34,1996-05-15,1. FC Nurnberg,FSV Zwickau,2 - 1
11129,34,1996-05-15,Arminia Bielefeld,Waldhof Mannheim,2 - 2
11130,34,1996-05-16,Hertha BSC,SV Meppen,1 - 4
11131,34,1996-05-16,SpVgg Unterhaching,VfL Bochum,4 - 2
11132,34,1996-05-16,SG Wattenscheid 09,VfB Lubeck,2 - 3
11133,34,1996-05-16,Fortuna Koln,VfB Leipzig,2 - 1
11134,34,1996-05-19,SV Meppen,1. FC Nurnberg,2 - 0
11135,35,1996-05-19,FSV Zwickau,Fortuna Koln,0 - 0
11136,35,1996-05-19,VfB Leipzig,SG Wattenscheid 09,1 - 0
11137,35,1996-05-19,VfB Lubeck,VfL Wolfsburg,1 - 1
11138,35,1996-05-19,Hannover 96,SpVgg Unterhaching,1 - 3
11139,35,1996-05-19,VfL Bochum,Carl Zeiss Jena,1 - 1
11140,35,1996-05-19,1. FSV Mainz 05,Arminia Bielefeld,2 - 0
11141,35,1996-05-19,Waldhof Mannheim,Hertha BSC,3 - 2
11142,35,1996-05-20,MSV Duisburg,Chemnitzer FC,1 - 0
11143,35,1996-05-23,Carl Zeiss Jena,Hannover 96,4 - 1
11144,36,1996-05-24,Chemnitzer FC,VfL Bochum,0 - 2
11145,36,1996-05-24,Waldhof Mannheim,1. FSV Mainz 05,2 - 2
11146,36,1996-05-24,Fortuna Koln,SV Meppen,0 - 0
11147,36,1996-05-26,SpVgg Unterhaching,VfB Lubeck,5 - 0
11148,36,1996-05-26,VfL Wolfsburg,VfB Leipzig,1 - 0
11149,36,1996-05-26,SG Wattenscheid 09,FSV Zwickau,3 - 1
11150,36,1996-05-27,Arminia Bielefeld,MSV Duisburg,3 - 2
11151,36,1996-05-27,Hertha BSC,1. FC Nurnberg,0 - 1
11152,36,1996-06-02,1. FC Nurnberg,Waldhof Mannheim,2 - 4
11153,37,1996-06-02,Hertha BSC,Fortuna Koln,0 - 0
