,Round Number,Date,Home Team,Away Team,Result
9242,0,1991-07-23,VfL Osnabruck,VfB Oldenburg,2 - 2
9243,0,1991-07-23,1. FC Saarbrucken,Waldhof Mannheim,2 - 1
9244,0,1991-07-23,Blau-Weiss 90 Berlin,FC Remscheid,5 - 2
9245,0,1991-07-24,BSV Stahl Brandenburg,Hertha BSC,0 - 1
9246,0,1991-07-24,Rot-Weiss Erfurt,Hallescher FC,2 - 3
9247,0,1991-07-24,Eintracht Braunschweig,SV Meppen,0 - 2
9248,0,1991-07-24,Fortuna Koln,FC St. Pauli,1 - 1
9249,0,1991-07-24,KFC Uerdingen 05,Hannover 96,1 - 1
9250,0,1991-07-24,1. FSV Mainz 05,Chemnitzer FC,0 - 0
9251,0,1991-07-24,SC Freiburg,1860 Munchen,2 - 1
9252,0,1991-07-24,SV Darmstadt 98,FC 08 Homburg,0 - 3
9253,0,1991-07-25,VfB Leipzig,Carl Zeiss Jena,0 - 1
9254,0,1991-08-02,Chemnitzer FC,SC Freiburg,2 - 1
9255,1,1991-08-02,Carl Zeiss Jena,1. FC Saarbrucken,1 - 1
9256,1,1991-08-03,SV Meppen,Fortuna Koln,1 - 0
9257,1,1991-08-03,FC St. Pauli,KFC Uerdingen 05,3 - 1
9258,1,1991-08-03,Hannover 96,VfL Osnabruck,2 - 1
9259,1,1991-08-03,1860 Munchen,VfB Leipzig,0 - 0
9260,1,1991-08-03,Hallescher FC,1. FSV Mainz 05,2 - 2
9261,1,1991-08-03,FC 08 Homburg,Rot-Weiss Erfurt,1 - 0
9262,1,1991-08-04,FC Remscheid,BSV Stahl Brandenburg,3 - 1
9263,1,1991-08-04,Waldhof Mannheim,SV Darmstadt 98,3 - 1
9264,1,1991-08-04,VfB Oldenburg,Blau-Weiss 90 Berlin,0 - 0
9265,1,1991-08-05,Hertha BSC,Eintracht Braunschweig,1 - 1
9266,1,1991-08-09,VfL Osnabruck,FC St. Pauli,0 - 1
9267,2,1991-08-09,Rot-Weiss Erfurt,SV Darmstadt 98,2 - 2
9268,2,1991-08-09,1. FSV Mainz 05,FC 08 Homburg,0 - 0
9269,2,1991-08-10,Eintracht Braunschweig,BSV Stahl Brandenburg,3 - 2
9270,2,1991-08-10,Blau-Weiss 90 Berlin,Hannover 96,1 - 1
9271,2,1991-08-10,Waldhof Mannheim,Carl Zeiss Jena,2 - 0
9272,2,1991-08-10,SC Freiburg,Hallescher FC,3 - 1
9273,2,1991-08-10,VfB Leipzig,Chemnitzer FC,0 - 0
9274,2,1991-08-11,FC Remscheid,VfB Oldenburg,1 - 1
9275,2,1991-08-11,1. FC Saarbrucken,1860 Munchen,1 - 1
9276,2,1991-08-11,Fortuna Koln,Hertha BSC,1 - 1
9277,2,1991-08-11,KFC Uerdingen 05,SV Meppen,0 - 2
9278,2,1991-08-13,Eintracht Braunschweig,Fortuna Koln,1 - 1
