,Round Number,Date,Home Team,Away Team,Result
2280,0,1977-08-06,Alemannia Aachen,VfL Osnabruck,3 - 2
2281,0,1977-08-06,Rot-Weiss Essen,Preussen Munster,4 - 4
2282,0,1977-08-06,SV Bayer 04 Leverkusen,Westfalia Herne,2 - 1
2283,0,1977-08-06,SC Herford,Wuppertaler SV,1 - 1
2284,0,1977-08-06,Arminia Hannover,Hannover 96,0 - 1
2285,0,1977-08-06,OSC Bremerhaven,Arminia Bielefeld,0 - 3
2286,0,1977-08-06,Fortuna Koln,SG Wattenscheid 09,2 - 2
2287,0,1977-08-06,KFC Uerdingen 05,Tennis Borussia Berlin,2 - 0
2288,0,1977-08-06,1. FC Bocholt,SG Union Solingen,0 - 1
2289,0,1977-08-06,Rot-Weiss Ludenscheid,Schwarz-Weiss Essen,1 - 1
2290,0,1977-08-06,FC Augsburg,Stuttgarter Kickers,2 - 3
2291,0,1977-08-06,Waldhof Mannheim,FV Wurzburg 04,6 - 0
2292,0,1977-08-06,Wurzburger Kickers,SpVgg Bayreuth,0 - 1
2293,0,1977-08-06,SV Darmstadt 98,Eintracht Trier,3 - 1
2294,0,1977-08-06,Wormatia Worms,Kickers Offenbach,3 - 0
2295,0,1977-08-06,KSV Baunatal,FSV Frankfurt,4 - 2
2296,0,1977-08-06,FC 08 Homburg,FK Pirmasens,4 - 2
2297,0,1977-08-06,Freiburger FC,VfR Burstadt,0 - 1
2298,0,1977-08-06,FC Bayern Hof,SpVgg Greuther Furth,3 - 1
2299,0,1977-08-06,1. FC Nurnberg,Karlsruher SC,2 - 1
2300,0,1977-08-12,Wuppertaler SV,Fortuna Koln,1 - 1
2301,1,1977-08-12,Stuttgarter Kickers,FC 08 Homburg,0 - 1
2302,1,1977-08-12,SG Union Solingen,KFC Uerdingen 05,0 - 0
2303,1,1977-08-12,Arminia Bielefeld,SV Bayer 04 Leverkusen,1 - 3
2304,1,1977-08-12,VfL Osnabruck,SC Herford,0 - 1
2305,1,1977-08-12,Westfalia Herne,Rot-Weiss Ludenscheid,3 - 0
2306,1,1977-08-12,Preussen Munster,1. FC Bocholt,3 - 2
2307,1,1977-08-12,SG Wattenscheid 09,OSC Bremerhaven,2 - 2
2308,1,1977-08-12,Tennis Borussia Berlin,Alemannia Aachen,2 - 2
2309,1,1977-08-12,Hannover 96,Rot-Weiss Essen,0 - 1
2310,1,1977-08-12,Schwarz-Weiss Essen,Arminia Hannover,2 - 4
2311,1,1977-08-12,Eintracht Trier,FC Augsburg,2 - 2
2312,1,1977-08-12,Karlsruher SC,FC Bayern Hof,3 - 0
2313,1,1977-08-12,SpVgg Bayreuth,SV Darmstadt 98,3 - 0
2314,1,1977-08-12,SpVgg Greuther Furth,Freiburger FC,6 - 2
2315,1,1977-08-12,VfR Burstadt,Wurzburger Kickers,3 - 0
2316,1,1977-08-12,FK Pirmasens,KSV Baunatal,1 - 2
