,Round Number,Date,Home Team,Away Team,Result
11782,0,1998-07-30,Hannover 96,Karlsruher SC,1 - 0
11783,0,1998-07-31,Fortuna Koln,Fortuna Dusseldorf,2 - 1
11784,0,1998-07-31,Energie Cottbus,Stuttgarter Kickers,2 - 0
11785,0,1998-07-31,FC St. Pauli,Tennis Borussia Berlin,1 - 0
11786,0,1998-08-02,Rot-Weiss Oberhausen,KFC Uerdingen 05,0 - 0
11787,0,1998-08-02,1. FSV Mainz 05,SpVgg Greuther Furth,3 - 0
11788,0,1998-08-02,SSV Ulm 1846,SG Wattenscheid 09,2 - 0
11789,0,1998-08-02,SpVgg Unterhaching,Arminia Bielefeld,0 - 2
11790,0,1998-08-02,FC Gutersloh,1. FC Koln,0 - 1
11791,0,1998-08-07,1. FC Koln,SpVgg Unterhaching,0 - 1
11792,1,1998-08-07,Stuttgarter Kickers,Rot-Weiss Oberhausen,2 - 0
11793,1,1998-08-07,KFC Uerdingen 05,Fortuna Koln,1 - 2
11794,1,1998-08-09,Karlsruher SC,SSV Ulm 1846,1 - 2
11795,1,1998-08-09,SG Wattenscheid 09,1. FSV Mainz 05,1 - 1
11796,1,1998-08-09,SpVgg Greuther Furth,FC St. Pauli,1 - 0
11797,1,1998-08-09,Tennis Borussia Berlin,Energie Cottbus,1 - 0
11798,1,1998-08-09,Fortuna Dusseldorf,FC Gutersloh,3 - 1
11799,1,1998-08-10,Arminia Bielefeld,Hannover 96,0 - 1
11800,1,1998-08-11,Fortuna Koln,Stuttgarter Kickers,2 - 1
11801,2,1998-08-12,Rot-Weiss Oberhausen,Tennis Borussia Berlin,0 - 2
11802,2,1998-08-13,FC Gutersloh,SpVgg Unterhaching,1 - 1
11803,2,1998-08-13,Energie Cottbus,SpVgg Greuther Furth,1 - 1
11804,2,1998-08-13,FC St. Pauli,SG Wattenscheid 09,1 - 0
11805,2,1998-08-13,1. FSV Mainz 05,Karlsruher SC,4 - 1
11806,2,1998-08-13,SSV Ulm 1846,Arminia Bielefeld,6 - 2
11807,2,1998-08-13,Fortuna Dusseldorf,KFC Uerdingen 05,2 - 2
11808,2,1998-08-15,Tennis Borussia Berlin,Fortuna Koln,3 - 2
11809,3,1998-08-16,1. FC Koln,SSV Ulm 1846,1 - 1
11810,3,1998-08-16,SG Wattenscheid 09,Energie Cottbus,1 - 1
11811,3,1998-08-16,SpVgg Greuther Furth,Rot-Weiss Oberhausen,1 - 1
11812,3,1998-08-16,Stuttgarter Kickers,Fortuna Dusseldorf,1 - 0
11813,3,1998-08-16,KFC Uerdingen 05,FC Gutersloh,2 - 0
11814,3,1998-08-16,SpVgg Unterhaching,Hannover 96,3 - 1
11815,3,1998-08-16,Arminia Bielefeld,1. FSV Mainz 05,1 - 0
11816,3,1998-08-17,Karlsruher SC,FC St. Pauli,3 - 0
11817,3,1998-08-21,1. FSV Mainz 05,1. FC Koln,2 - 1
11818,4,1998-08-21,SSV Ulm 1846,SpVgg Unterhaching,3 - 1
11819,4,1998-08-21,KFC Uerdingen 05,Stuttgarter Kickers,0 - 1
11820,4,1998-08-23,Fortuna Koln,SpVgg Greuther Furth,1 - 4
11821,4,1998-08-23,Rot-Weiss Oberhausen,SG Wattenscheid 09,1 - 0
11822,4,1998-08-23,Energie Cottbus,Karlsruher SC,4 - 0
11823,4,1998-08-23,FC Gutersloh,Hannover 96,2 - 1
11824,4,1998-08-24,FC St. Pauli,Arminia Bielefeld,1 - 2
11825,4,1998-09-09,Fortuna Dusseldorf,Tennis Borussia Berlin,2 - 2
11826,4,1998-09-10,Hannover 96,1. FC Koln,6 - 1
11827,5,1998-09-11,Karlsruher SC,Rot-Weiss Oberhausen,3 - 1
11828,5,1998-09-11,SG Wattenscheid 09,Fortuna Koln,0 - 0
11829,5,1998-09-11,Arminia Bielefeld,Energie Cottbus,2 - 0
11830,5,1998-09-13,SpVgg Greuther Furth,Fortuna Dusseldorf,1 - 0
11831,5,1998-09-13,Tennis Borussia Berlin,KFC Uerdingen 05,3 - 1
11832,5,1998-09-13,Stuttgarter Kickers,FC Gutersloh,2 - 1
11833,5,1998-09-13,Hannover 96,SSV Ulm 1846,1 - 1
11834,6,1998-09-13,SpVgg Unterhaching,1. FSV Mainz 05,1 - 0
11835,6,1998-09-14,1. FC Koln,FC St. Pauli,1 - 4
11836,6,1998-09-18,Rot-Weiss Oberhausen,Arminia Bielefeld,1 - 5
11837,6,1998-09-18,Stuttgarter Kickers,Tennis Borussia Berlin,1 - 0
11838,6,1998-09-19,Fortuna Dusseldorf,SG Wattenscheid 09,1 - 1
11839,6,1998-09-20,Fortuna Koln,Karlsruher SC,0 - 1
11840,6,1998-09-20,FC St. Pauli,SpVgg Unterhaching,1 - 1
11841,7,1998-09-20,1. FSV Mainz 05,Hannover 96,1 - 0
11842,7,1998-09-20,FC Gutersloh,SSV Ulm 1846,1 - 1
11843,7,1998-09-21,Energie Cottbus,1. FC Koln,2 - 3
11844,7,1998-09-25,Karlsruher SC,Fortuna Dusseldorf,3 - 1
11845,7,1998-09-25,Tennis Borussia Berlin,FC Gutersloh,2 - 0
11846,7,1998-09-26,Arminia Bielefeld,Fortuna Koln,2 - 1
11847,7,1998-09-27,1. FC Koln,Rot-Weiss Oberhausen,2 - 1
11848,8,1998-09-27,SG Wattenscheid 09,KFC Uerdingen 05,2 - 1
11849,8,1998-09-27,SpVgg Greuther Furth,Stuttgarter Kickers,1 - 0
11850,8,1998-09-27,Hannover 96,FC St. Pauli,3 - 0
11851,8,1998-09-27,SpVgg Unterhaching,Energie Cottbus,1 - 0
11852,8,1998-09-28,SSV Ulm 1846,1. FSV Mainz 05,4 - 2
11853,8,1998-10-02,Rot-Weiss Oberhausen,SpVgg Unterhaching,0 - 2
11854,9,1998-10-02,FC St. Pauli,SSV Ulm 1846,0 - 1
11855,9,1998-10-02,KFC Uerdingen 05,Karlsruher SC,1 - 3
11856,9,1998-10-02,Fortuna Dusseldorf,Arminia Bielefeld,2 - 2
11857,9,1998-10-04,Energie Cottbus,Hannover 96,1 - 0
11858,9,1998-10-04,Tennis Borussia Berlin,SpVgg Greuther Furth,2 - 1
11859,9,1998-10-04,Stuttgarter Kickers,SG Wattenscheid 09,0 - 2
11860,9,1998-10-04,FC Gutersloh,1. FSV Mainz 05,6 - 1
11861,9,1998-10-05,Fortuna Koln,1. FC Koln,4 - 2
11862,9,1998-10-16,Karlsruher SC,Stuttgarter Kickers,6 - 0
11863,10,1998-10-16,SG Wattenscheid 09,Tennis Borussia Berlin,0 - 1
11864,10,1998-10-16,Hannover 96,Rot-Weiss Oberhausen,1 - 1
11865,10,1998-10-18,SpVgg Greuther Furth,FC Gutersloh,3 - 2
11866,10,1998-10-18,1. FSV Mainz 05,FC St. Pauli,3 - 0
11867,10,1998-10-18,SSV Ulm 1846,Energie Cottbus,2 - 2
11868,10,1998-10-18,SpVgg Unterhaching,Fortuna Koln,3 - 0
11869,10,1998-10-18,Arminia Bielefeld,KFC Uerdingen 05,1 - 0
11870,10,1998-10-19,1. FC Koln,Fortuna Dusseldorf,1 - 0
11871,10,1998-10-21,KFC Uerdingen 05,SpVgg Greuther Furth,0 - 2
11872,11,1998-10-23,Rot-Weiss Oberhausen,SSV Ulm 1846,2 - 2
11873,11,1998-10-23,Energie Cottbus,1. FSV Mainz 05,2 - 2
11874,11,1998-10-23,Stuttgarter Kickers,Arminia Bielefeld,2 - 2
11875,11,1998-10-25,SpVgg Greuther Furth,SG Wattenscheid 09,2 - 1
11876,12,1998-10-25,Tennis Borussia Berlin,Karlsruher SC,3 - 2
11877,12,1998-10-25,KFC Uerdingen 05,1. FC Koln,2 - 2
11878,12,1998-10-25,Fortuna Dusseldorf,SpVgg Unterhaching,1 - 3
11879,12,1998-10-25,FC Gutersloh,FC St. Pauli,1 - 4
11880,12,1998-10-26,Fortuna Koln,Hannover 96,3 - 0
11881,12,1998-10-30,1. FC Koln,Stuttgarter Kickers,0 - 1
