,Round Number,Date,Home Team,Away Team,Result
12088,0,1999-08-13,Chemnitzer FC,Bor. Monchengladbach,2 - 0
12089,0,1999-08-13,FC St. Pauli,SpVgg Greuther Furth,0 - 0
12090,0,1999-08-13,1. FSV Mainz 05,Kickers Offenbach,1 - 1
12091,0,1999-08-13,Energie Cottbus,Fortuna Koln,2 - 0
12092,0,1999-08-14,1. FC Koln,Rot-Weiss Oberhausen,1 - 0
12093,0,1999-08-15,Alemannia Aachen,Stuttgarter Kickers,4 - 1
12094,0,1999-08-15,Hannover 96,Tennis Borussia Berlin,2 - 3
12095,0,1999-08-15,1. FC Nurnberg,Waldhof Mannheim,3 - 0
12096,0,1999-08-16,Karlsruher SC,VfL Bochum,1 - 3
12097,0,1999-08-20,Waldhof Mannheim,Chemnitzer FC,4 - 0
12098,1,1999-08-20,VfL Bochum,Alemannia Aachen,5 - 0
12099,1,1999-08-20,SpVgg Greuther Furth,1. FC Koln,0 - 0
12100,1,1999-08-21,Tennis Borussia Berlin,Karlsruher SC,2 - 2
12101,1,1999-08-22,Fortuna Koln,1. FSV Mainz 05,2 - 1
12102,1,1999-08-22,Bor. Monchengladbach,Hannover 96,2 - 3
12103,1,1999-08-22,Stuttgarter Kickers,FC St. Pauli,2 - 1
12104,1,1999-08-22,Rot-Weiss Oberhausen,Energie Cottbus,0 - 4
12105,1,1999-08-23,Kickers Offenbach,1. FC Nurnberg,1 - 3
12106,1,1999-08-27,Chemnitzer FC,Kickers Offenbach,3 - 0
12107,2,1999-08-27,1. FC Koln,Stuttgarter Kickers,4 - 1
12108,2,1999-08-27,Hannover 96,Waldhof Mannheim,2 - 2
12109,2,1999-08-28,Alemannia Aachen,Tennis Borussia Berlin,2 - 2
12110,2,1999-08-29,FC St. Pauli,VfL Bochum,0 - 0
12111,2,1999-08-29,1. FC Nurnberg,Fortuna Koln,2 - 1
12112,2,1999-08-29,Rot-Weiss Oberhausen,SpVgg Greuther Furth,3 - 4
12113,2,1999-08-29,Energie Cottbus,1. FSV Mainz 05,3 - 0
12114,2,1999-08-30,Karlsruher SC,Bor. Monchengladbach,3 - 0
12115,2,1999-09-10,Waldhof Mannheim,Karlsruher SC,1 - 1
12116,3,1999-09-10,Tennis Borussia Berlin,FC St. Pauli,2 - 0
12117,3,1999-09-10,Kickers Offenbach,Hannover 96,0 - 2
12118,3,1999-09-11,Bor. Monchengladbach,Alemannia Aachen,1 - 2
12119,3,1999-09-12,Fortuna Koln,Chemnitzer FC,1 - 0
12120,3,1999-09-12,Stuttgarter Kickers,Rot-Weiss Oberhausen,2 - 2
12121,3,1999-09-12,SpVgg Greuther Furth,Energie Cottbus,1 - 0
12122,3,1999-09-12,1. FSV Mainz 05,1. FC Nurnberg,1 - 1
12123,3,1999-09-13,VfL Bochum,1. FC Koln,2 - 3
12124,3,1999-09-17,FC St. Pauli,Bor. Monchengladbach,0 - 2
