,Round Number,Date,Home Team,Away Team,Result
15508,0,2014-08-22,Bayern Munchen,VfL Wolfsburg,2 - 1
15509,0,2014-08-23,1899 Hoffenheim,FC Augsburg,2 - 0
15510,0,2014-08-23,Hannover 96,FC Schalke 04,2 - 1
15511,0,2014-08-23,Hertha BSC,Werder Bremen,2 - 2
15512,0,2014-08-23,Eintracht Frankfurt,SC Freiburg,1 - 0
15513,0,2014-08-23,1. FC Koln,Hamburger SV,0 - 0
15514,0,2014-08-23,Borussia Dortmund,Bayer Leverkusen,0 - 2
15515,0,2014-08-24,SC Paderborn 07,1. FSV Mainz 05,2 - 2
15516,0,2014-08-24,Bor. Monchengladbach,VfB Stuttgart,1 - 1
15517,0,2014-08-29,FC Augsburg,Borussia Dortmund,2 - 3
15518,1,2014-08-30,Bayer Leverkusen,Hertha BSC,4 - 2
15519,1,2014-08-30,VfL Wolfsburg,Eintracht Frankfurt,2 - 2
15520,1,2014-08-30,Werder Bremen,1899 Hoffenheim,1 - 1
15521,1,2014-08-30,VfB Stuttgart,1. FC Koln,0 - 2
15522,1,2014-08-30,Hamburger SV,SC Paderborn 07,0 - 3
15523,1,2014-08-30,FC Schalke 04,Bayern Munchen,1 - 1
15524,1,2014-08-31,1. FSV Mainz 05,Hannover 96,0 - 0
15525,1,2014-08-31,SC Freiburg,Bor. Monchengladbach,0 - 0
15526,1,2014-09-12,Bayer Leverkusen,Werder Bremen,3 - 3
15527,2,2014-09-13,Bayern Munchen,VfB Stuttgart,2 - 0
15528,2,2014-09-13,Borussia Dortmund,SC Freiburg,3 - 1
15529,2,2014-09-13,1899 Hoffenheim,VfL Wolfsburg,1 - 1
15530,2,2014-09-13,Hertha BSC,1. FSV Mainz 05,1 - 3
15531,2,2014-09-13,SC Paderborn 07,1. FC Koln,0 - 0
15532,2,2014-09-13,Bor. Monchengladbach,FC Schalke 04,4 - 1
15533,2,2014-09-14,Eintracht Frankfurt,FC Augsburg,0 - 1
15534,2,2014-09-14,Hannover 96,Hamburger SV,2 - 0
15535,2,2014-09-19,SC Freiburg,Hertha BSC,2 - 2
15536,3,2014-09-20,FC Schalke 04,Eintracht Frankfurt,2 - 2
15537,3,2014-09-20,FC Augsburg,Werder Bremen,4 - 2
15538,3,2014-09-20,VfB Stuttgart,1899 Hoffenheim,0 - 2
15539,3,2014-09-20,Hamburger SV,Bayern Munchen,0 - 0
15540,3,2014-09-20,SC Paderborn 07,Hannover 96,2 - 0
15541,3,2014-09-20,1. FSV Mainz 05,Borussia Dortmund,2 - 0
15542,3,2014-09-21,VfL Wolfsburg,Bayer Leverkusen,4 - 1
15543,3,2014-09-21,1. FC Koln,Bor. Monchengladbach,0 - 0
15544,3,2014-09-23,Bayern Munchen,SC Paderborn 07,4 - 0
15545,4,2014-09-23,1899 Hoffenheim,SC Freiburg,3 - 3
15546,4,2014-09-23,Werder Bremen,FC Schalke 04,0 - 3
15547,4,2014-09-23,Eintracht Frankfurt,1. FSV Mainz 05,2 - 2
15548,4,2014-09-24,Borussia Dortmund,VfB Stuttgart,2 - 2
15549,4,2014-09-24,Bayer Leverkusen,FC Augsburg,1 - 0
15550,4,2014-09-24,Bor. Monchengladbach,Hamburger SV,1 - 0
15551,4,2014-09-24,Hannover 96,1. FC Koln,1 - 0
15552,4,2014-09-24,Hertha BSC,VfL Wolfsburg,1 - 0
15553,4,2014-09-26,1. FSV Mainz 05,1899 Hoffenheim,0 - 0
15554,5,2014-09-27,FC Schalke 04,Borussia Dortmund,2 - 1
15555,5,2014-09-27,SC Freiburg,Bayer Leverkusen,0 - 0
15556,5,2014-09-27,VfB Stuttgart,Hannover 96,1 - 0
15557,5,2014-09-27,1. FC Koln,Bayern Munchen,0 - 2
15558,5,2014-09-27,SC Paderborn 07,Bor. Monchengladbach,1 - 2
15559,5,2014-09-27,VfL Wolfsburg,Werder Bremen,2 - 1
15560,5,2014-09-28,FC Augsburg,Hertha BSC,1 - 0
15561,5,2014-09-28,Hamburger SV,Eintracht Frankfurt,1 - 2
15562,5,2014-10-03,Hertha BSC,VfB Stuttgart,3 - 2
15563,6,2014-10-04,Bayern Munchen,Hannover 96,4 - 0
15564,6,2014-10-04,Borussia Dortmund,Hamburger SV,0 - 1
15565,6,2014-10-04,Bayer Leverkusen,SC Paderborn 07,2 - 2
15566,6,2014-10-04,1899 Hoffenheim,FC Schalke 04,2 - 1
15567,6,2014-10-04,Werder Bremen,SC Freiburg,1 - 1
15568,6,2014-10-04,Eintracht Frankfurt,1. FC Koln,3 - 2
15569,6,2014-10-05,VfL Wolfsburg,FC Augsburg,1 - 0
15570,6,2014-10-05,Bor. Monchengladbach,1. FSV Mainz 05,1 - 1
15571,6,2014-10-18,Bayern Munchen,Werder Bremen,6 - 0
15572,7,2014-10-18,1. FSV Mainz 05,FC Augsburg,2 - 1
15573,7,2014-10-18,Hannover 96,Bor. Monchengladbach,0 - 3
15574,7,2014-10-18,SC Freiburg,VfL Wolfsburg,1 - 2
15575,7,2014-10-18,VfB Stuttgart,Bayer Leverkusen,3 - 3
15576,7,2014-10-18,1. FC Koln,Borussia Dortmund,2 - 1
15577,7,2014-10-18,FC Schalke 04,Hertha BSC,2 - 0
15578,7,2014-10-19,Hamburger SV,1899 Hoffenheim,1 - 1
15579,7,2014-10-19,SC Paderborn 07,Eintracht Frankfurt,3 - 1
15580,7,2014-10-24,Werder Bremen,1. FC Koln,0 - 1
15581,8,2014-10-25,Borussia Dortmund,Hannover 96,0 - 1
15582,8,2014-10-25,FC Augsburg,SC Freiburg,2 - 0
15583,8,2014-10-25,1899 Hoffenheim,SC Paderborn 07,1 - 0
15584,8,2014-10-25,Hertha BSC,Hamburger SV,3 - 0
15585,8,2014-10-25,Eintracht Frankfurt,VfB Stuttgart,4 - 5
15586,8,2014-10-25,Bayer Leverkusen,FC Schalke 04,1 - 0
15587,8,2014-10-26,VfL Wolfsburg,1. FSV Mainz 05,3 - 0
15588,8,2014-10-26,Bor. Monchengladbach,Bayern Munchen,0 - 0
15589,8,2014-10-31,FC Schalke 04,FC Augsburg,1 - 0
15590,9,2014-11-01,1. FSV Mainz 05,Werder Bremen,1 - 2
15591,9,2014-11-01,Hannover 96,Eintracht Frankfurt,1 - 0
15592,9,2014-11-01,VfB Stuttgart,VfL Wolfsburg,0 - 4
15593,9,2014-11-01,Hamburger SV,Bayer Leverkusen,1 - 0
15594,9,2014-11-01,Bayern Munchen,Borussia Dortmund,2 - 1
15595,9,2014-11-02,Bor. Monchengladbach,1899 Hoffenheim,3 - 1
15596,9,2014-11-02,1. FC Koln,SC Freiburg,0 - 1
15597,9,2014-11-02,SC Paderborn 07,Hertha BSC,3 - 1
15598,9,2014-11-07,Hertha BSC,Hannover 96,0 - 2
15599,10,2014-11-08,Bayer Leverkusen,1. FSV Mainz 05,0 - 0
15600,10,2014-11-08,FC Augsburg,SC Paderborn 07,3 - 0
15601,10,2014-11-08,1899 Hoffenheim,1. FC Koln,3 - 4
15602,10,2014-11-08,Eintracht Frankfurt,Bayern Munchen,0 - 4
15603,10,2014-11-08,SC Freiburg,FC Schalke 04,2 - 0
15604,10,2014-11-08,Werder Bremen,VfB Stuttgart,2 - 0
15605,10,2014-11-09,VfL Wolfsburg,Hamburger SV,2 - 0
15606,10,2014-11-09,Borussia Dortmund,Bor. Monchengladbach,1 - 0
15607,10,2014-11-22,Bayern Munchen,1899 Hoffenheim,4 - 0
15608,11,2014-11-22,FC Schalke 04,VfL Wolfsburg,3 - 2
15609,11,2014-11-22,Bor. Monchengladbach,Eintracht Frankfurt,1 - 3
15610,11,2014-11-22,1. FSV Mainz 05,SC Freiburg,2 - 2
