,Round Number,Date,Home Team,Away Team,Result
14896,0,1967-08-18,MSV Duisburg,Borussia Dortmund,2 - 2
14897,0,1967-08-19,TSV 1860 Munchen,Eintracht Braunschweig,1 - 0
14898,0,1967-08-19,FC Schalke 04,Bor. Monchengladbach,3 - 4
14899,0,1967-08-19,VfB Stuttgart,Frankfurter SG Eintracht,4 - 0
14900,0,1967-08-19,Alemannia Aachen,Bayern Munchen,0 - 4
14901,0,1967-08-19,1. FC Nurnberg,Karlsruher SC,2 - 0
14902,0,1967-08-19,Hannover 96,1. FC Koln,3 - 0
14903,0,1967-08-19,1. FC Kaiserslautern,Borussia Neunkirchen,2 - 1
14904,0,1967-08-19,Werder Bremen,Hamburger SV,1 - 4
14905,0,1967-08-26,Frankfurter SG Eintracht,Werder Bremen,5 - 3
14906,1,1967-08-26,Karlsruher SC,MSV Duisburg,0 - 2
14907,1,1967-08-26,Borussia Neunkirchen,1. FC Nurnberg,2 - 2
14908,1,1967-08-26,Eintracht Braunschweig,FC Schalke 04,1 - 0
14909,1,1967-08-26,Hamburger SV,1. FC Kaiserslautern,1 - 1
14910,1,1967-08-26,1. FC Koln,TSV 1860 Munchen,1 - 0
14911,1,1967-08-26,Bayern Munchen,Hannover 96,1 - 0
14912,1,1967-08-26,Bor. Monchengladbach,VfB Stuttgart,1 - 1
14913,1,1967-08-26,Borussia Dortmund,Alemannia Aachen,1 - 0
14914,1,1967-09-02,MSV Duisburg,Borussia Neunkirchen,3 - 1
14915,2,1967-09-02,VfB Stuttgart,Eintracht Braunschweig,0 - 0
14916,2,1967-09-02,Hannover 96,Borussia Dortmund,2 - 2
14917,2,1967-09-02,Werder Bremen,Bor. Monchengladbach,0 - 4
14918,2,1967-09-02,1. FC Kaiserslautern,Frankfurter SG Eintracht,1 - 1
14919,2,1967-09-02,1. FC Nurnberg,Hamburger SV,4 - 0
14920,2,1967-09-02,Alemannia Aachen,Karlsruher SC,2 - 1
14921,2,1967-09-02,FC Schalke 04,TSV 1860 Munchen,0 - 0
14922,2,1967-09-02,Bayern Munchen,1. FC Koln,0 - 3
14923,2,1967-09-09,Borussia Neunkirchen,Alemannia Aachen,0 - 1
14924,3,1967-09-09,Eintracht Braunschweig,Werder Bremen,0 - 3
14925,3,1967-09-09,1. FC Koln,FC Schalke 04,7 - 0
14926,3,1967-09-09,TSV 1860 Munchen,VfB Stuttgart,3 - 3
14927,3,1967-09-09,Frankfurter SG Eintracht,1. FC Nurnberg,1 - 2
14928,3,1967-09-09,Hamburger SV,MSV Duisburg,1 - 3
14929,3,1967-09-09,Bor. Monchengladbach,1. FC Kaiserslautern,8 - 2
14930,3,1967-09-09,Karlsruher SC,Hannover 96,3 - 1
14931,3,1967-09-09,Borussia Dortmund,Bayern Munchen,6 - 3
14932,3,1967-09-13,Borussia Dortmund,1. FC Koln,2 - 0
14933,4,1967-09-13,1. FC Kaiserslautern,Eintracht Braunschweig,2 - 2
14934,4,1967-09-13,Hannover 96,Borussia Neunkirchen,2 - 0
14935,4,1967-09-13,1. FC Nurnberg,Bor. Monchengladbach,1 - 0
14936,4,1967-09-13,MSV Duisburg,Frankfurter SG Eintracht,0 - 1
14937,4,1967-09-13,Alemannia Aachen,Hamburger SV,2 - 0
14938,4,1967-09-13,Werder Bremen,TSV 1860 Munchen,2 - 2
14939,4,1967-09-13,Bayern Munchen,Karlsruher SC,3 - 0
14940,4,1967-09-13,VfB Stuttgart,FC Schalke 04,2 - 0
14941,4,1967-09-16,Bor. Monchengladbach,MSV Duisburg,1 - 1
14942,5,1967-09-16,1. FC Koln,VfB Stuttgart,2 - 2
14943,5,1967-09-16,Karlsruher SC,Borussia Dortmund,2 - 0
14944,5,1967-09-16,FC Schalke 04,Werder Bremen,0 - 2
14945,5,1967-09-16,Borussia Neunkirchen,Bayern Munchen,1 - 1
14946,5,1967-09-16,TSV 1860 Munchen,1. FC Kaiserslautern,0 - 3
14947,5,1967-09-16,Frankfurter SG Eintracht,Alemannia Aachen,1 - 1
14948,5,1967-09-16,Hamburger SV,Hannover 96,2 - 3
14949,5,1967-09-16,Eintracht Braunschweig,1. FC Nurnberg,0 - 3
14950,5,1967-09-22,MSV Duisburg,Eintracht Braunschweig,2 - 3
14951,6,1967-09-23,Borussia Dortmund,Borussia Neunkirchen,6 - 0
14952,6,1967-09-23,Karlsruher SC,1. FC Koln,0 - 1
14953,6,1967-09-23,Werder Bremen,VfB Stuttgart,3 - 1
14954,6,1967-09-23,1. FC Kaiserslautern,FC Schalke 04,1 - 0
14955,6,1967-09-23,Bayern Munchen,Hamburger SV,1 - 0
14956,6,1967-09-23,1. FC Nurnberg,TSV 1860 Munchen,1 - 1
14957,6,1967-09-23,Alemannia Aachen,Bor. Monchengladbach,0 - 0
14958,6,1967-09-23,Hannover 96,Frankfurter SG Eintracht,2 - 1
14959,6,1967-09-30,TSV 1860 Munchen,MSV Duisburg,0 - 1
14960,7,1967-09-30,1. FC Koln,Werder Bremen,1 - 4
14961,7,1967-09-30,Borussia Neunkirchen,Karlsruher SC,3 - 2
14962,7,1967-09-30,Hamburger SV,Borussia Dortmund,3 - 2
14963,7,1967-09-30,FC Schalke 04,1. FC Nurnberg,0 - 0
14964,7,1967-09-30,Frankfurter SG Eintracht,Bayern Munchen,2 - 3
14965,7,1967-09-30,Bor. Monchengladbach,Hannover 96,5 - 1
14966,7,1967-09-30,Eintracht Braunschweig,Alemannia Aachen,2 - 0
14967,7,1967-10-06,VfB Stuttgart,1. FC Kaiserslautern,0 - 1
14968,7,1967-10-14,Bayern Munchen,Bor. Monchengladbach,3 - 1
14969,8,1967-10-14,MSV Duisburg,FC Schalke 04,1 - 1
14970,8,1967-10-14,Hannover 96,Eintracht Braunschweig,1 - 1
14971,8,1967-10-14,Borussia Dortmund,Frankfurter SG Eintracht,2 - 1
14972,8,1967-10-14,1. FC Nurnberg,VfB Stuttgart,5 - 1
14973,8,1967-10-14,Karlsruher SC,Hamburger SV,2 - 1
14974,8,1967-10-14,1. FC Kaiserslautern,Werder Bremen,2 - 2
14975,8,1967-10-14,Borussia Neunkirchen,1. FC Koln,2 - 1
14976,8,1967-10-14,Alemannia Aachen,TSV 1860 Munchen,3 - 3
14977,8,1967-10-21,Werder Bremen,1. FC Nurnberg,0 - 4
14978,9,1967-10-21,TSV 1860 Munchen,Hannover 96,3 - 1
14979,9,1967-10-21,Eintracht Braunschweig,Bayern Munchen,1 - 0
14980,9,1967-10-21,1. FC Koln,1. FC Kaiserslautern,5 - 0
14981,9,1967-10-21,Hamburger SV,Borussia Neunkirchen,0 - 0
14982,9,1967-10-21,Frankfurter SG Eintracht,Karlsruher SC,2 - 0
14983,9,1967-10-21,VfB Stuttgart,MSV Duisburg,3 - 0
14984,9,1967-10-21,Bor. Monchengladbach,Borussia Dortmund,2 - 2
14985,9,1967-10-21,FC Schalke 04,Alemannia Aachen,2 - 1
14986,9,1967-10-28,Bayern Munchen,TSV 1860 Munchen,2 - 2
14987,10,1967-10-28,Borussia Dortmund,Eintracht Braunschweig,0 - 1
14988,10,1967-10-28,Hannover 96,FC Schalke 04,2 - 1
14989,10,1967-10-28,Karlsruher SC,Bor. Monchengladbach,3 - 2
14990,10,1967-10-28,MSV Duisburg,Werder Bremen,1 - 1
14991,10,1967-10-28,Borussia Neunkirchen,Frankfurter SG Eintracht,2 - 2
14992,10,1967-10-28,1. FC Nurnberg,1. FC Kaiserslautern,4 - 1
14993,10,1967-10-28,Hamburger SV,1. FC Koln,3 - 1
14994,10,1967-10-28,Alemannia Aachen,VfB Stuttgart,3 - 2
14995,10,1967-11-04,FC Schalke 04,Bayern Munchen,0 - 1
14996,11,1967-11-04,Frankfurter SG Eintracht,Hamburger SV,1 - 1
14997,11,1967-11-04,Eintracht Braunschweig,Karlsruher SC,1 - 0
14998,11,1967-11-04,Bor. Monchengladbach,Borussia Neunkirchen,10 - 0
14999,11,1967-11-04,VfB Stuttgart,Hannover 96,2 - 0
15000,11,1967-11-04,1. FC Kaiserslautern,MSV Duisburg,0 - 1
15001,11,1967-11-04,TSV 1860 Munchen,Borussia Dortmund,3 - 0
15002,11,1967-11-04,Werder Bremen,Alemannia Aachen,0 - 1
15003,11,1967-11-04,1. FC Koln,1. FC Nurnberg,3 - 3
15004,11,1967-11-11,Borussia Neunkirchen,Eintracht Braunschweig,1 - 2
15005,12,1967-11-11,Hamburger SV,Bor. Monchengladbach,2 - 3
15006,12,1967-11-11,Borussia Dortmund,FC Schalke 04,2 - 1
15007,12,1967-11-11,Bayern Munchen,VfB Stuttgart,3 - 1
15008,12,1967-11-11,Karlsruher SC,TSV 1860 Munchen,0 - 3
15009,12,1967-11-11,Alemannia Aachen,1. FC Kaiserslautern,1 - 1
15010,12,1967-11-11,MSV Duisburg,1. FC Nurnberg,2 - 0
15011,12,1967-11-11,Hannover 96,Werder Bremen,4 - 2
15012,12,1967-11-11,Frankfurter SG Eintracht,1. FC Koln,1 - 2
15013,12,1967-11-18,VfB Stuttgart,Borussia Dortmund,4 - 1
15014,13,1967-11-18,Eintracht Braunschweig,Hamburger SV,0 - 1
15015,13,1967-11-18,Bor. Monchengladbach,Frankfurter SG Eintracht,1 - 1
15016,13,1967-11-18,1. FC Kaiserslautern,Hannover 96,0 - 0
15017,13,1967-11-18,FC Schalke 04,Karlsruher SC,2 - 0
15018,13,1967-11-18,1. FC Koln,MSV Duisburg,3 - 0
15019,13,1967-11-18,1. FC Nurnberg,Alemannia Aachen,4 - 1
15020,13,1967-11-18,TSV 1860 Munchen,Borussia Neunkirchen,5 - 0
15021,13,1967-11-18,Werder Bremen,Bayern Munchen,4 - 1
15022,13,1967-11-25,Bayern Munchen,1. FC Kaiserslautern,4 - 1
