,Round Number,Date,Home Team,Away Team,Result
2010,0,1972-09-16,Bor. Monchengladbach,MSV Duisburg,4 - 3
2011,0,1972-09-16,Rot-Weiss Oberhausen,Bayern Munchen,0 - 5
2012,0,1972-09-16,Eintracht Frankfurt,Hamburger SV,2 - 1
2013,0,1972-09-16,Eintracht Braunschweig,VfL Bochum,0 - 2
2014,0,1972-09-16,FC Schalke 04,Hannover 96,3 - 1
2015,0,1972-09-16,Hertha BSC,Fortuna Dusseldorf,2 - 3
2016,0,1972-09-16,Wuppertaler SV,1. FC Kaiserslautern,2 - 0
2017,0,1972-09-16,VfB Stuttgart,1. FC Koln,3 - 1
2018,0,1972-09-16,Werder Bremen,Kickers Offenbach,0 - 0
2019,0,1972-09-20,VfL Bochum,Hertha BSC,2 - 1
2020,1,1972-09-20,1. FC Koln,Rot-Weiss Oberhausen,3 - 1
2021,1,1972-09-20,Bayern Munchen,Werder Bremen,2 - 1
2022,1,1972-09-20,1. FC Kaiserslautern,FC Schalke 04,2 - 0
2023,1,1972-09-20,Hamburger SV,Bor. Monchengladbach,1 - 3
2024,1,1972-09-20,Kickers Offenbach,Eintracht Braunschweig,1 - 0
2025,1,1972-09-20,Hannover 96,Eintracht Frankfurt,2 - 1
2026,1,1972-09-20,Fortuna Dusseldorf,Wuppertaler SV,2 - 1
2027,1,1972-09-20,MSV Duisburg,VfB Stuttgart,0 - 1
2028,1,1972-09-23,Eintracht Frankfurt,1. FC Kaiserslautern,3 - 1
2029,2,1972-09-23,Wuppertaler SV,VfL Bochum,3 - 0
2030,2,1972-09-23,FC Schalke 04,Fortuna Dusseldorf,3 - 1
2031,2,1972-09-23,Bor. Monchengladbach,Hannover 96,3 - 1
2032,2,1972-09-23,Werder Bremen,Rot-Weiss Oberhausen,1 - 0
2033,2,1972-09-23,Hertha BSC,Kickers Offenbach,2 - 5
2034,2,1972-09-23,Eintracht Braunschweig,Bayern Munchen,0 - 2
2035,2,1972-09-23,VfB Stuttgart,Hamburger SV,2 - 1
2036,2,1972-09-23,MSV Duisburg,1. FC Koln,1 - 1
2037,2,1972-09-29,Rot-Weiss Oberhausen,Eintracht Braunschweig,0 - 1
2038,3,1972-09-30,Fortuna Dusseldorf,Eintracht Frankfurt,2 - 2
2039,3,1972-09-30,1. FC Koln,Werder Bremen,1 - 0
2040,3,1972-09-30,VfL Bochum,FC Schalke 04,2 - 0
2041,3,1972-09-30,Kickers Offenbach,Wuppertaler SV,3 - 1
2042,3,1972-09-30,1. FC Kaiserslautern,Bor. Monchengladbach,3 - 1
2043,3,1972-09-30,Hannover 96,VfB Stuttgart,3 - 1
2044,3,1972-09-30,Bayern Munchen,Hertha BSC,4 - 0
2045,3,1972-09-30,Hamburger SV,MSV Duisburg,1 - 2
2046,3,1972-10-03,Eintracht Frankfurt,VfL Bochum,4 - 1
2047,4,1972-10-04,Hamburger SV,1. FC Koln,0 - 0
2048,4,1972-10-04,Wuppertaler SV,Bayern Munchen,1 - 1
2049,4,1972-10-04,Bor. Monchengladbach,Fortuna Dusseldorf,2 - 3
2050,4,1972-10-04,Hertha BSC,Rot-Weiss Oberhausen,3 - 1
2051,4,1972-10-04,MSV Duisburg,Hannover 96,3 - 1
2052,4,1972-10-04,Eintracht Braunschweig,Werder Bremen,1 - 0
2053,4,1972-10-04,FC Schalke 04,Kickers Offenbach,6 - 1
2054,4,1972-10-04,VfB Stuttgart,1. FC Kaiserslautern,3 - 1
2055,4,1972-10-07,1. FC Koln,Eintracht Braunschweig,4 - 3
2056,5,1972-10-07,Werder Bremen,Hertha BSC,1 - 1
2057,5,1972-10-07,1. FC Kaiserslautern,MSV Duisburg,0 - 0
2058,5,1972-10-07,Rot-Weiss Oberhausen,Wuppertaler SV,2 - 1
2059,5,1972-10-07,VfL Bochum,Bor. Monchengladbach,3 - 0
2060,5,1972-10-07,Kickers Offenbach,Eintracht Frankfurt,3 - 2
2061,5,1972-10-07,Fortuna Dusseldorf,VfB Stuttgart,6 - 1
2062,5,1972-10-07,Bayern Munchen,FC Schalke 04,5 - 0
2063,5,1972-10-07,Hannover 96,Hamburger SV,3 - 2
2064,5,1972-10-14,Eintracht Frankfurt,Bayern Munchen,2 - 1
2065,6,1972-10-14,MSV Duisburg,Fortuna Dusseldorf,0 - 0
2066,6,1972-10-14,VfB Stuttgart,VfL Bochum,4 - 0
2067,6,1972-10-14,Bor. Monchengladbach,Kickers Offenbach,3 - 2
2068,6,1972-10-14,FC Schalke 04,Rot-Weiss Oberhausen,3 - 0
2069,6,1972-10-14,Wuppertaler SV,Werder Bremen,1 - 1
2070,6,1972-10-14,Hamburger SV,1. FC Kaiserslautern,2 - 2
2071,6,1972-10-14,Hertha BSC,Eintracht Braunschweig,3 - 0
2072,6,1972-10-14,Hannover 96,1. FC Koln,0 - 0
2073,6,1972-10-21,Kickers Offenbach,VfB Stuttgart,1 - 3
2074,7,1972-10-21,Rot-Weiss Oberhausen,Eintracht Frankfurt,1 - 0
