,Round Number,Date,Home Team,Away Team,Result
8470,0,1994-08-19,FC Schalke 04,Bor. Monchengladbach,1 - 1
8471,0,1994-08-19,VfB Stuttgart,Hamburger SV,2 - 1
8472,0,1994-08-19,Bayer Leverkusen,1. FC Kaiserslautern,0 - 1
8473,0,1994-08-20,Dynamo Dresden,Werder Bremen,1 - 1
8474,0,1994-08-20,Bayern Munchen,VfL Bochum,3 - 1
8475,0,1994-08-20,Karlsruher SC,SC Freiburg,2 - 0
8476,0,1994-08-20,Bayer 05 Uerdingen,MSV Duisburg,1 - 1
8477,0,1994-08-20,Borussia Dortmund,TSV 1860 Munchen,4 - 0
8478,0,1994-08-20,Eintracht Frankfurt,1. FC Koln,0 - 0
8479,0,1994-08-23,SC Freiburg,Bayern Munchen,5 - 1
8480,1,1994-08-23,TSV 1860 Munchen,VfB Stuttgart,0 - 2
8481,1,1994-08-23,VfL Bochum,Dynamo Dresden,2 - 0
8482,1,1994-08-23,1. FC Koln,Borussia Dortmund,1 - 6
8483,1,1994-08-23,1. FC Kaiserslautern,Eintracht Frankfurt,1 - 1
8484,1,1994-08-24,MSV Duisburg,FC Schalke 04,2 - 2
8485,1,1994-08-24,Hamburger SV,Bayer 05 Uerdingen,0 - 0
8486,1,1994-08-24,Bor. Monchengladbach,Karlsruher SC,2 - 2
8487,1,1994-08-24,Werder Bremen,Bayer Leverkusen,3 - 2
8488,1,1994-08-26,Dynamo Dresden,SC Freiburg,1 - 3
8489,2,1994-08-26,Borussia Dortmund,1. FC Kaiserslautern,2 - 1
8490,2,1994-08-27,Bayern Munchen,Bor. Monchengladbach,3 - 0
8491,2,1994-08-27,Karlsruher SC,MSV Duisburg,4 - 1
8492,2,1994-08-27,FC Schalke 04,Hamburger SV,0 - 1
8493,2,1994-08-27,Bayer 05 Uerdingen,TSV 1860 Munchen,1 - 1
8494,2,1994-08-27,VfB Stuttgart,1. FC Koln,2 - 2
8495,2,1994-08-27,Werder Bremen,VfL Bochum,3 - 0
8496,2,1994-08-28,Bayer Leverkusen,Eintracht Frankfurt,4 - 0
8497,2,1994-09-02,MSV Duisburg,Bayern Munchen,0 - 3
8498,3,1994-09-02,SC Freiburg,Werder Bremen,1 - 3
8499,3,1994-09-02,Bor. Monchengladbach,Dynamo Dresden,2 - 0
8500,3,1994-09-03,1. FC Kaiserslautern,VfB Stuttgart,3 - 2
8501,3,1994-09-03,TSV 1860 Munchen,FC Schalke 04,0 - 1
8502,3,1994-09-03,Hamburger SV,Karlsruher SC,3 - 1
8503,3,1994-09-03,VfL Bochum,Bayer Leverkusen,1 - 3
8504,3,1994-09-03,Eintracht Frankfurt,Borussia Dortmund,4 - 1
8505,3,1994-09-03,1. FC Koln,Bayer 05 Uerdingen,2 - 0
8506,3,1994-09-16,Karlsruher SC,TSV 1860 Munchen,3 - 1
8507,4,1994-09-16,VfL Bochum,SC Freiburg,1 - 3
8508,4,1994-09-17,Dynamo Dresden,MSV Duisburg,4 - 2
8509,4,1994-09-17,Bayern Munchen,Hamburger SV,1 - 1
8510,4,1994-09-17,FC Schalke 04,1. FC Koln,3 - 1
8511,4,1994-09-17,Bayer 05 Uerdingen,1. FC Kaiserslautern,1 - 3
8512,4,1994-09-17,Werder Bremen,Bor. Monchengladbach,1 - 0
8513,4,1994-09-17,Bayer Leverkusen,Borussia Dortmund,2 - 2
8514,4,1994-09-18,VfB Stuttgart,Eintracht Frankfurt,4 - 1
8515,4,1994-09-21,TSV 1860 Munchen,Bayern Munchen,1 - 3
8516,5,1994-09-23,MSV Duisburg,Werder Bremen,0 - 2
8517,5,1994-09-23,Eintracht Frankfurt,Bayer 05 Uerdingen,0 - 3
8518,5,1994-09-24,1. FC Kaiserslautern,FC Schalke 04,3 - 1
8519,5,1994-09-24,Hamburger SV,Dynamo Dresden,2 - 1
8520,5,1994-09-24,Bor. Monchengladbach,VfL Bochum,7 - 1
8521,5,1994-09-24,SC Freiburg,Bayer Leverkusen,1 - 1
8522,5,1994-09-24,Borussia Dortmund,VfB Stuttgart,5 - 0
8523,5,1994-09-24,1. FC Koln,Karlsruher SC,3 - 4
8524,5,1994-09-30,Dynamo Dresden,TSV 1860 Munchen,1 - 1
8525,6,1994-09-30,VfL Bochum,MSV Duisburg,1 - 0
8526,6,1994-10-01,Bayern Munchen,1. FC Koln,2 - 2
8527,6,1994-10-01,Karlsruher SC,1. FC Kaiserslautern,3 - 3
8528,6,1994-10-01,FC Schalke 04,Eintracht Frankfurt,0 - 0
8529,6,1994-10-01,Bayer 05 Uerdingen,Borussia Dortmund,0 - 2
8530,6,1994-10-01,Bayer Leverkusen,VfB Stuttgart,3 - 1
8531,6,1994-10-02,SC Freiburg,Bor. Monchengladbach,1 - 1
8532,6,1994-10-06,Werder Bremen,Hamburger SV,1 - 4
8533,6,1994-10-05,1. FC Kaiserslautern,Bayern Munchen,1 - 1
8534,7,1994-10-07,Bor. Monchengladbach,Bayer Leverkusen,3 - 3
8535,7,1994-10-07,Eintracht Frankfurt,Karlsruher SC,1 - 0
8536,7,1994-10-08,MSV Duisburg,SC Freiburg,1 - 2
8537,7,1994-10-08,VfB Stuttgart,Bayer 05 Uerdingen,3 - 1
8538,7,1994-10-08,Borussia Dortmund,FC Schalke 04,3 - 2
8539,7,1994-10-08,1. FC Koln,Dynamo Dresden,1 - 2
8540,7,1994-10-09,TSV 1860 Munchen,Werder Bremen,1 - 2
8541,7,1994-10-09,Hamburger SV,VfL Bochum,3 - 1
8542,7,1994-10-14,SC Freiburg,Hamburger SV,3 - 0
8543,8,1994-10-14,VfL Bochum,TSV 1860 Munchen,2 - 2
8544,8,1994-10-15,Dynamo Dresden,1. FC Kaiserslautern,1 - 0
8545,8,1994-10-15,Bayern Munchen,Eintracht Frankfurt,3 - 3
8546,8,1994-10-15,Karlsruher SC,Borussia Dortmund,0 - 0
8547,8,1994-10-15,FC Schalke 04,VfB Stuttgart,1 - 1
8548,8,1994-10-15,Bor. Monchengladbach,MSV Duisburg,1 - 0
8549,8,1994-10-15,Werder Bremen,1. FC Koln,2 - 2
8550,8,1994-10-15,Bayer Leverkusen,Bayer 05 Uerdingen,1 - 1
8551,8,1994-10-21,Hamburger SV,Bor. Monchengladbach,1 - 2
8552,9,1994-10-21,1. FC Koln,VfL Bochum,2 - 1
8553,9,1994-10-22,TSV 1860 Munchen,SC Freiburg,4 - 0
8554,9,1994-10-22,MSV Duisburg,Bayer Leverkusen,0 - 2
8555,9,1994-10-22,Bayer 05 Uerdingen,FC Schalke 04,1 - 1
8556,9,1994-10-22,VfB Stuttgart,Karlsruher SC,4 - 0
8557,9,1994-10-22,Borussia Dortmund,Bayern Munchen,1 - 0
8558,9,1994-10-22,Eintracht Frankfurt,Dynamo Dresden,2 - 0
8559,9,1994-10-23,1. FC Kaiserslautern,Werder Bremen,1 - 1
8560,9,1994-10-28,Karlsruher SC,Bayer 05 Uerdingen,2 - 1
8561,10,1994-10-28,VfL Bochum,1. FC Kaiserslautern,0 - 2
8562,10,1994-10-29,Dynamo Dresden,Borussia Dortmund,0 - 1
8563,10,1994-10-29,Bayern Munchen,VfB Stuttgart,2 - 2
8564,10,1994-10-29,Bor. Monchengladbach,TSV 1860 Munchen,2 - 0
8565,10,1994-10-29,SC Freiburg,1. FC Koln,4 - 2
8566,10,1994-10-29,Werder Bremen,Eintracht Frankfurt,2 - 0
8567,10,1994-10-29,Bayer Leverkusen,FC Schalke 04,2 - 2
8568,10,1994-10-30,MSV Duisburg,Hamburger SV,0 - 5
8569,10,1994-11-04,FC Schalke 04,Karlsruher SC,0 - 0
8570,11,1994-11-04,VfB Stuttgart,Dynamo Dresden,4 - 2
8571,11,1994-11-05,1. FC Kaiserslautern,SC Freiburg,3 - 2
8572,11,1994-11-05,TSV 1860 Munchen,MSV Duisburg,1 - 1
8573,11,1994-11-05,Hamburger SV,Bayer Leverkusen,1 - 2
8574,11,1994-11-05,Bayer 05 Uerdingen,Bayern Munchen,1 - 1
8575,11,1994-11-05,Eintracht Frankfurt,VfL Bochum,2 - 1
8576,11,1994-11-05,1. FC Koln,Bor. Monchengladbach,1 - 3
8577,11,1994-11-06,Borussia Dortmund,Werder Bremen,2 - 0
8578,11,1994-11-11,Bor. Monchengladbach,1. FC Kaiserslautern,4 - 0
8579,12,1994-11-11,VfL Bochum,Borussia Dortmund,0 - 2
8580,12,1994-11-12,Dynamo Dresden,Bayer 05 Uerdingen,1 - 2
8581,12,1994-11-12,Bayern Munchen,FC Schalke 04,2 - 0
8582,12,1994-11-12,MSV Duisburg,1. FC Koln,1 - 3
8583,12,1994-11-12,SC Freiburg,Eintracht Frankfurt,2 - 0
8584,12,1994-11-12,Werder Bremen,VfB Stuttgart,4 - 0
8585,12,1994-11-12,Bayer Leverkusen,Karlsruher SC,0 - 0
8586,12,1994-11-13,Hamburger SV,TSV 1860 Munchen,3 - 0
8587,12,1994-11-18,FC Schalke 04,Dynamo Dresden,4 - 0
8588,13,1994-11-18,1. FC Koln,Hamburger SV,1 - 1
8589,13,1994-11-19,1. FC Kaiserslautern,MSV Duisburg,1 - 0
8590,13,1994-11-19,TSV 1860 Munchen,Bayer Leverkusen,1 - 1
8591,13,1994-11-19,Karlsruher SC,Bayern Munchen,2 - 2
8592,13,1994-11-19,Bayer 05 Uerdingen,Werder Bremen,1 - 3
8593,13,1994-11-19,VfB Stuttgart,VfL Bochum,2 - 2
8594,13,1994-11-19,Borussia Dortmund,SC Freiburg,1 - 1
8595,13,1994-11-19,Eintracht Frankfurt,Bor. Monchengladbach,2 - 1
8596,13,1994-11-25,VfL Bochum,Bayer 05 Uerdingen,2 - 1
8597,14,1994-11-25,Werder Bremen,FC Schalke 04,2 - 1
8598,14,1994-11-26,Dynamo Dresden,Karlsruher SC,1 - 1
8599,14,1994-11-26,Bayern Munchen,Bayer Leverkusen,2 - 1
8600,14,1994-11-26,Hamburger SV,1. FC Kaiserslautern,0 - 0
8601,14,1994-11-26,Bor. Monchengladbach,Borussia Dortmund,3 - 3
8602,14,1994-11-26,SC Freiburg,VfB Stuttgart,2 - 0
8603,14,1994-11-26,1. FC Koln,TSV 1860 Munchen,2 - 1
8604,14,1994-11-27,MSV Duisburg,Eintracht Frankfurt,1 - 0
8605,14,1994-12-02,1. FC Kaiserslautern,TSV 1860 Munchen,1 - 1
8606,15,1994-12-02,Borussia Dortmund,MSV Duisburg,1 - 0
8607,15,1994-12-03,Bayern Munchen,Dynamo Dresden,2 - 1
8608,15,1994-12-03,Karlsruher SC,Werder Bremen,3 - 1
8609,15,1994-12-03,Bayer 05 Uerdingen,SC Freiburg,0 - 2
8610,15,1994-12-03,VfB Stuttgart,Bor. Monchengladbach,2 - 4
8611,15,1994-12-03,Eintracht Frankfurt,Hamburger SV,2 - 0
8612,15,1994-12-03,Bayer Leverkusen,1. FC Koln,3 - 1
8613,15,1994-12-04,FC Schalke 04,VfL Bochum,3 - 2
8614,15,1994-11-29,Bor. Monchengladbach,Bayer 05 Uerdingen,1 - 0
8615,16,1994-11-29,VfL Bochum,Karlsruher SC,0 - 1
8616,16,1994-11-29,1. FC Koln,1. FC Kaiserslautern,0 - 1
