,Round Number,Date,Home Team,Away Team,Result
32798,0,2014-08-01,Fortuna Dusseldorf,Eintracht Braunschweig,2 - 2
32799,0,2014-08-02,RasenBallsport Leipzig,VfR Aalen,0 - 0
32800,0,2014-08-02,FC St. Pauli,FC Ingolstadt 04,1 - 1
32801,0,2014-08-02,VfL Bochum,SpVgg Greuther Furth,1 - 1
32802,0,2014-08-03,1. FC Heidenheim,FSV Frankfurt,2 - 1
32803,0,2014-08-03,1. FC Nurnberg,Erzgebirge Aue,1 - 0
32804,0,2014-08-03,Karlsruher SC,1. FC Union Berlin,0 - 0
32805,0,2014-08-03,SV Darmstadt 98,SV Sandhausen,1 - 0
32806,0,2014-08-04,1. FC Kaiserslautern,1860 Munchen,3 - 2
32807,0,2014-08-08,VfR Aalen,FC St. Pauli,2 - 0
32808,1,2014-08-08,FSV Frankfurt,Karlsruher SC,2 - 3
32809,1,2014-08-08,1. FC Union Berlin,Fortuna Dusseldorf,1 - 1
32810,1,2014-08-09,Eintracht Braunschweig,1. FC Heidenheim,3 - 0
32811,1,2014-08-09,Erzgebirge Aue,VfL Bochum,1 - 5
32812,1,2014-08-10,FC Ingolstadt 04,SV Darmstadt 98,2 - 2
32813,1,2014-08-10,1860 Munchen,RasenBallsport Leipzig,0 - 3
32814,1,2014-08-10,SV Sandhausen,1. FC Kaiserslautern,1 - 1
32815,1,2014-08-11,SpVgg Greuther Furth,1. FC Nurnberg,5 - 1
32816,1,2014-08-22,FC St. Pauli,SV Sandhausen,2 - 1
32817,2,2014-08-22,1. FC Heidenheim,1860 Munchen,2 - 2
32818,2,2014-08-22,RasenBallsport Leipzig,Erzgebirge Aue,1 - 0
32819,2,2014-08-23,1. FC Nurnberg,FSV Frankfurt,0 - 1
32820,2,2014-08-23,Fortuna Dusseldorf,Karlsruher SC,0 - 2
32821,2,2014-08-24,1. FC Kaiserslautern,Eintracht Braunschweig,2 - 1
32822,2,2014-08-24,FC Ingolstadt 04,SpVgg Greuther Furth,2 - 0
32823,2,2014-08-24,SV Darmstadt 98,VfR Aalen,2 - 0
32824,2,2014-08-25,VfL Bochum,1. FC Union Berlin,1 - 1
32825,2,2014-08-29,1. FC Union Berlin,1. FC Nurnberg,0 - 4
32826,3,2014-08-29,VfR Aalen,1. FC Kaiserslautern,2 - 2
32827,3,2014-08-29,FSV Frankfurt,RasenBallsport Leipzig,0 - 0
32828,3,2014-08-30,Karlsruher SC,1. FC Heidenheim,1 - 1
32829,3,2014-08-30,Erzgebirge Aue,Fortuna Dusseldorf,0 - 3
32830,3,2014-08-31,Eintracht Braunschweig,VfL Bochum,1 - 2
32831,3,2014-08-31,1860 Munchen,SV Darmstadt 98,1 - 1
32832,3,2014-08-31,SV Sandhausen,FC Ingolstadt 04,0 - 3
32833,3,2014-09-01,SpVgg Greuther Furth,FC St. Pauli,3 - 0
32834,3,2014-09-12,1. FC Kaiserslautern,FSV Frankfurt,1 - 0
32835,4,2014-09-12,FC Ingolstadt 04,VfR Aalen,4 - 1
32836,4,2014-09-12,VfL Bochum,Karlsruher SC,1 - 1
32837,4,2014-09-13,RasenBallsport Leipzig,Eintracht Braunschweig,3 - 1
32838,4,2014-09-13,SV Darmstadt 98,Erzgebirge Aue,2 - 0
32839,4,2014-09-14,FC St. Pauli,1860 Munchen,1 - 2
32840,4,2014-09-14,SV Sandhausen,SpVgg Greuther Furth,1 - 0
32841,4,2014-09-14,1. FC Heidenheim,1. FC Union Berlin,3 - 1
32842,4,2014-09-15,1. FC Nurnberg,Fortuna Dusseldorf,0 - 2
32843,4,2014-09-19,Eintracht Braunschweig,SV Darmstadt 98,2 - 0
32844,5,2014-09-19,VfR Aalen,SV Sandhausen,0 - 1
32845,5,2014-09-19,Erzgebirge Aue,FC St. Pauli,3 - 0
32846,5,2014-09-20,SpVgg Greuther Furth,1. FC Kaiserslautern,2 - 1
32847,5,2014-09-20,1860 Munchen,FC Ingolstadt 04,1 - 1
32848,5,2014-09-20,FSV Frankfurt,VfL Bochum,1 - 5
32849,5,2014-09-21,Karlsruher SC,1. FC Nurnberg,3 - 0
32850,5,2014-09-21,Fortuna Dusseldorf,1. FC Heidenheim,3 - 2
32851,5,2014-09-21,1. FC Union Berlin,RasenBallsport Leipzig,2 - 1
32852,5,2014-09-23,SpVgg Greuther Furth,VfR Aalen,1 - 1
32853,6,2014-09-23,FC St. Pauli,Eintracht Braunschweig,1 - 0
32854,6,2014-09-23,FC Ingolstadt 04,Erzgebirge Aue,1 - 1
32855,6,2014-09-23,SV Sandhausen,1860 Munchen,1 - 0
32856,6,2014-09-24,1. FC Kaiserslautern,1. FC Union Berlin,1 - 0
32857,6,2014-09-24,1. FC Heidenheim,1. FC Nurnberg,3 - 0
32858,6,2014-09-24,RasenBallsport Leipzig,Karlsruher SC,3 - 1
32859,6,2014-09-24,SV Darmstadt 98,FSV Frankfurt,4 - 0
32860,6,2014-09-25,VfL Bochum,Fortuna Dusseldorf,1 - 1
32861,6,2014-09-26,Eintracht Braunschweig,SV Sandhausen,2 - 1
32862,7,2014-09-26,1860 Munchen,SpVgg Greuther Furth,2 - 0
32863,7,2014-09-26,Erzgebirge Aue,VfR Aalen,1 - 0
