,Round Number,Date,Home Team,Away Team,Result
33104,0,2015-07-24,MSV Duisburg,1. FC Kaiserslautern,1 - 3
33105,0,2015-07-25,SpVgg Greuther Furth,Karlsruher SC,1 - 0
33106,0,2015-07-25,FC St. Pauli,Arminia Bielefeld,0 - 0
33107,0,2015-07-25,FSV Frankfurt,RasenBallsport Leipzig,0 - 1
33108,0,2015-07-26,SC Paderborn 07,VfL Bochum,0 - 1
33109,0,2015-07-26,Eintracht Braunschweig,SV Sandhausen,1 - 3
33110,0,2015-07-26,1. FC Union Berlin,Fortuna Dusseldorf,1 - 1
33111,0,2015-07-26,1. FC Heidenheim,1860 Munchen,1 - 0
33112,0,2015-07-27,SC Freiburg,1. FC Nurnberg,6 - 3
33113,0,2015-07-31,1. FC Nurnberg,1. FC Heidenheim,3 - 2
33114,1,2015-07-31,Arminia Bielefeld,FSV Frankfurt,0 - 0
33115,1,2015-07-31,1. FC Kaiserslautern,Eintracht Braunschweig,0 - 0
33116,1,2015-08-01,VfL Bochum,MSV Duisburg,3 - 0
33117,1,2015-08-01,1860 Munchen,SC Freiburg,0 - 1
33118,1,2015-08-02,Fortuna Dusseldorf,SC Paderborn 07,1 - 2
33119,1,2015-08-02,Karlsruher SC,FC St. Pauli,1 - 2
33120,1,2015-08-02,SV Sandhausen,1. FC Union Berlin,4 - 3
33121,1,2015-08-03,RasenBallsport Leipzig,SpVgg Greuther Furth,2 - 2
33122,1,2015-08-14,SC Paderborn 07,SV Sandhausen,0 - 6
33123,2,2015-08-14,1. FC Heidenheim,Fortuna Dusseldorf,1 - 0
33124,2,2015-08-14,FSV Frankfurt,Karlsruher SC,1 - 2
33125,2,2015-08-15,SC Freiburg,VfL Bochum,1 - 3
33126,2,2015-08-15,Eintracht Braunschweig,RasenBallsport Leipzig,0 - 2
33127,2,2015-08-16,1. FC Union Berlin,1. FC Kaiserslautern,2 - 2
33128,2,2015-08-16,FC St. Pauli,SpVgg Greuther Furth,3 - 2
33129,2,2015-08-16,MSV Duisburg,Arminia Bielefeld,2 - 2
33130,2,2015-08-17,1. FC Nurnberg,1860 Munchen,2 - 2
33131,2,2015-08-21,Arminia Bielefeld,Eintracht Braunschweig,0 - 2
33132,3,2015-08-21,SV Sandhausen,1. FC Heidenheim,0 - 0
33133,3,2015-08-21,SpVgg Greuther Furth,FSV Frankfurt,0 - 2
33134,3,2015-08-22,Karlsruher SC,MSV Duisburg,2 - 0
33135,3,2015-08-22,Fortuna Dusseldorf,SC Freiburg,1 - 2
33136,3,2015-08-23,1860 Munchen,1. FC Union Berlin,0 - 0
33137,3,2015-08-23,VfL Bochum,1. FC Nurnberg,2 - 1
33138,3,2015-08-23,RasenBallsport Leipzig,FC St. Pauli,0 - 1
33139,3,2015-08-24,1. FC Kaiserslautern,SC Paderborn 07,1 - 0
33140,3,2015-08-28,SC Freiburg,SV Sandhausen,4 - 1
33141,4,2015-08-28,1. FC Union Berlin,RasenBallsport Leipzig,1 - 1
33142,4,2015-08-28,1. FC Heidenheim,1. FC Kaiserslautern,3 - 1
