Round Number,Date,Location,Home Team,Away Team,Result
1,16/08/2019 20:30,Denizli Atatürk Stadium,Denizlispor,Galatasaray,2 - 0
1,17/08/2019 19:15,Eryaman Stadium,Gençlerbirligi,Çaykur Rizespor,0 - 1
1,17/08/2019 21:45,Sivas Stadium,Sivasspor,Besiktas,3 - 0
1,17/08/2019 21:45,Kadir Has Stadium,Kayserispor,Alanyaspor,0 - 1
1,18/08/2019 19:15,Konya Büyüksehir Stadium,Konyaspor,Ankaragücü,0 - 0
1,18/08/2019 21:45,Malatya Arena,Yeni Malatyaspor,Istanbul Basaksehir,3 - 0
1,18/08/2019 21:45,Kasimpasa Stadium,Kasimpasa,Trabzonspor,1 - 1
1,18/08/2019 21:45,Doganlar Stadium,Göztepe,Antalyaspor,0 - 1
1,19/08/2019 20:00,Sükrü Saracoglu Stadium,Fenerbahçe,Gazisehir Gaziantep,5 - 0
2,23/08/2019 20:30,Vodafone Park,Besiktas,Göztepe,3 - 0
2,24/08/2019 19:15,Eryaman Stadium,Ankaragücü,Kayserispor,1 - 1
2,24/08/2019 21:45,Bahçesehir Okullari Stadium,Alanyaspor,Kasimpasa,4 - 1
2,24/08/2019 21:45,Fatih Terim Stadium,Istanbul Basaksehir,Fenerbahçe,1 - 2
2,25/08/2019 19:15,Yeni Rize Sehir Stadium,Çaykur Rizespor,Sivasspor,2 - 1
2,25/08/2019 19:15,Senol Günes Stadium,Trabzonspor,Yeni Malatyaspor,2 - 1
2,25/08/2019 21:45,Türk Telekom Stadium,Galatasaray,Konyaspor,1 - 1
2,25/08/2019 21:45,Antalya Arena,Antalyaspor,Denizlispor,0 - 2
2,26/08/2019 20:00,Gaziantep Arena,Gazisehir Gaziantep,Gençlerbirligi,4 - 1
3,30/08/2019 20:30,Kasimpasa Stadium,Kasimpasa,Ankaragücü,0 - 1
3,30/08/2019 20:30,Kadir Has Stadium,Kayserispor,Galatasaray,2 - 3
3,31/08/2019 19:15,Konya Büyüksehir Stadium,Konyaspor,Antalyaspor,2 - 2
3,31/08/2019 21:45,Doganlar Stadium,Göztepe,Denizlispor,0 - 0
3,31/08/2019 21:45,Vodafone Park,Besiktas,Çaykur Rizespor,1 - 1
3,01/09/2019 19:15,Eryaman Stadium,Gençlerbirligi,Istanbul Basaksehir,1 - 2
3,01/09/2019 19:15,Sivas Stadium,Sivasspor,Gazisehir Gaziantep,1 - 1
3,01/09/2019 21:45,Sükrü Saracoglu Stadium,Fenerbahçe,Trabzonspor,1 - 1
3,01/09/2019 21:45,Malatya Arena,Yeni Malatyaspor,Alanyaspor,2 - 3
4,13/09/2019 20:30,Türk Telekom Stadium,Galatasaray,Kasimpasa,1 - 0
4,14/09/2019 17:00,Fatih Terim Stadium,Istanbul Basaksehir,Sivasspor,1 - 1
4,14/09/2019 20:00,Gaziantep Arena,Gazisehir Gaziantep,Besiktas,3 - 2
4,14/09/2019 20:00,Antalya Arena,Antalyaspor,Kayserispor,2 - 2
4,15/09/2019 17:00,Eryaman Stadium,Ankaragücü,Yeni Malatyaspor,0 - 4
4,15/09/2019 17:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Göztepe,0 - 0
4,15/09/2019 20:00,Denizli Atatürk Stadium,Denizlispor,Konyaspor,0 - 1
4,15/09/2019 20:00,Senol Günes Stadium,Trabzonspor,Gençlerbirligi,2 - 2
4,16/09/2019 20:00,Bahçesehir Okullari Stadium,Alanyaspor,Fenerbahçe,3 - 1
5,20/09/2019 20:30,Doganlar Stadium,Göztepe,Konyaspor,1 - 0
5,21/09/2019 15:00,Kasimpasa Stadium,Kasimpasa,Antalyaspor,3 - 0
5,21/09/2019 17:30,Kadir Has Stadium,Kayserispor,Denizlispor,1 - 1
5,21/09/2019 20:00,Sükrü Saracoglu Stadium,Fenerbahçe,Ankaragücü,2 - 1
5,22/09/2019 14:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Gazisehir Gaziantep,1 - 2
5,22/09/2019 16:30,Eryaman Stadium,Gençlerbirligi,Alanyaspor,1 - 1
5,22/09/2019 19:00,Malatya Arena,Yeni Malatyaspor,Galatasaray,1 - 1
5,23/09/2019 20:00,Sivas Stadium,Sivasspor,Trabzonspor,2 - 1
5,23/09/2019 20:00,Vodafone Park,Besiktas,Istanbul Basaksehir,1 - 1
6,27/09/2019 20:30,Fatih Terim Stadium,Istanbul Basaksehir,Çaykur Rizespor,5 - 0
6,28/09/2019 15:00,Denizli Atatürk Stadium,Denizlispor,Kasimpasa,0 - 1
6,28/09/2019 17:30,Bahçesehir Okullari Stadium,Alanyaspor,Sivasspor,1 - 1
6,28/09/2019 20:00,Türk Telekom Stadium,Galatasaray,Fenerbahçe,0 - 0
6,29/09/2019 14:00,Konya Büyüksehir Stadium,Konyaspor,Kayserispor,2 - 1
6,29/09/2019 16:30,Antalya Arena,Antalyaspor,Yeni Malatyaspor,3 - 0
6,29/09/2019 16:30,Eryaman Stadium,Ankaragücü,Gençlerbirligi,2 - 1
6,29/09/2019 19:00,Senol Günes Stadium,Trabzonspor,Besiktas,4 - 1
6,30/09/2019 20:00,Gaziantep Arena,Gazisehir Gaziantep,Göztepe,1 - 1
7,04/10/2019 20:30,Malatya Arena,Yeni Malatyaspor,Denizlispor,5 - 1
7,04/10/2019 20:30,Sükrü Saracoglu Stadium,Fenerbahçe,Antalyaspor,0 - 1
7,05/10/2019 15:00,Kasimpasa Stadium,Kasimpasa,Konyaspor,1 - 4
7,05/10/2019 17:30,Doganlar Stadium,Göztepe,Kayserispor,4 - 0
7,05/10/2019 20:00,Eryaman Stadium,Gençlerbirligi,Galatasaray,0 - 0
7,06/10/2019 14:00,Sivas Stadium,Sivasspor,Ankaragücü,3 - 1
7,06/10/2019 16:30,Vodafone Park,Besiktas,Alanyaspor,2 - 0
7,06/10/2019 19:00,Gaziantep Arena,Gazisehir Gaziantep,Istanbul Basaksehir,1 - 2
7,06/10/2019 19:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Trabzonspor,1 - 2
8,18/10/2019 20:30,Türk Telekom Stadium,Galatasaray,Sivasspor,3 - 2
8,19/10/2019 15:00,Antalya Arena,Antalyaspor,Gençlerbirligi,0 - 6
8,19/10/2019 17:30,Senol Günes Stadium,Trabzonspor,Gazisehir Gaziantep,4 - 1
8,19/10/2019 17:30,Fatih Terim Stadium,Istanbul Basaksehir,Göztepe,2 - 1
8,19/10/2019 20:00,Eryaman Stadium,Ankaragücü,Besiktas,0 - 0
8,20/10/2019 14:00,Kadir Has Stadium,Kayserispor,Kasimpasa,1 - 1
8,20/10/2019 16:30,Bahçesehir Okullari Stadium,Alanyaspor,Çaykur Rizespor,5 - 2
8,20/10/2019 19:00,Denizli Atatürk Stadium,Denizlispor,Fenerbahçe,1 - 2
8,21/10/2019 20:00,Konya Büyüksehir Stadium,Konyaspor,Yeni Malatyaspor,0 - 2
9,25/10/2019 20:30,Yeni Rize Sehir Stadium,Çaykur Rizespor,Ankaragücü,2 - 0
9,26/10/2019 15:00,Sivas Stadium,Sivasspor,Antalyaspor,2 - 1
9,26/10/2019 17:30,Gaziantep Arena,Gazisehir Gaziantep,Alanyaspor,1 - 1
9,26/10/2019 20:00,Sükrü Saracoglu Stadium,Fenerbahçe,Konyaspor,5 - 1
