Round Number,Date,Location,Home Team,Away Team,Result
41,12/05/2021 16:00,Eryaman Stadium,Gençlerbirligi,Göztepe,
41,12/05/2021 16:00,Konya Büyüksehir Stadium,Konyaspor,Trabzonspor,
42,16/05/2021 16:00,Türk Telekom Stadium,Galatasaray,Yeni Malatyaspor,
42,16/05/2021 16:00,Eryaman Stadium,Ankaragücü,Alanyaspor,
42,16/05/2021 16:00,4 Eylül Stadium,Sivasspor,Kasimpasa,
42,16/05/2021 16:00,Kadir Has Stadium,Kayserispor,Fenerbahçe,
42,16/05/2021 16:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Istanbul Basaksehir,
42,16/05/2021 16:00,Antakya Atatürk Stadium,Hatayspor,Gaziantep F.K.,
42,16/05/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Denizlispor,
42,16/05/2021 16:00,Gürsel Aksel Stadium,Göztepe,Besiktas,
42,16/05/2021 16:00,Senol Günes Stadium,Trabzonspor,Gençlerbirligi,
42,16/05/2021 16:00,Antalya Stadium,Antalyaspor,Konyaspor,
