Round Number,Date,Location,Home Team,Away Team,Result
18,10/01/2021 13:30,Atatürk Olympic Stadium,Fatih Karagümrük,Konyaspor,2 - 1
18,10/01/2021 16:00,Eryaman Stadium,Ankaragücü,Istanbul Basaksehir,1 - 2
18,10/01/2021 16:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Denizlispor,1 - 1
18,10/01/2021 19:00,Antakya Atatürk Stadium,Hatayspor,Besiktas,2 - 2
18,11/01/2021 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Fenerbahçe,0 - 3
18,11/01/2021 19:00,Bahçesehir Okullari Stadium,Alanyaspor,Kasimpasa,1 - 2
19,15/01/2021 19:00,Eryaman Stadium,Gençlerbirligi,Fatih Karagümrük,
19,16/01/2021 13:30,Konya Büyüksehir Stadium,Konyaspor,Göztepe,
19,16/01/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Sivasspor,
19,16/01/2021 16:00,Gaziantep Arena,Gaziantep F.K.,Kayserispor,
19,16/01/2021 19:00,Antalya Stadium,Antalyaspor,Trabzonspor,
19,17/01/2021 13:30,Denizli Atatürk Stadium,Denizlispor,Hatayspor,
19,17/01/2021 16:00,Malatya Stadium,Yeni Malatyaspor,Çaykur Rizespor,
19,17/01/2021 19:00,Vodafone Park,Besiktas,Galatasaray,
19,18/01/2021 19:00,Recep Tayyip Erdogan Stadium,Kasimpasa,BB Erzurumspor,
19,18/01/2021 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Ankaragücü,
20,19/01/2021 16:00,Kadir Has Stadium,Kayserispor,Istanbul Basaksehir,
20,19/01/2021 16:00,Gürsel Aksel Stadium,Göztepe,Gençlerbirligi,
20,19/01/2021 19:00,Senol Günes Stadium,Trabzonspor,Konyaspor,
20,20/01/2021 16:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Gaziantep F.K.,
20,20/01/2021 16:00,Antakya Atatürk Stadium,Hatayspor,Yeni Malatyaspor,
20,20/01/2021 19:00,Türk Telekom Stadium,Galatasaray,Denizlispor,
20,21/01/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Besiktas,
20,21/01/2021 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Alanyaspor,
20,21/01/2021 19:00,Eryaman Stadium,Ankaragücü,Kasimpasa,
20,21/01/2021 19:00,4 Eylül Stadium,Sivasspor,Fenerbahçe,
21,23/01/2021 16:00,Eryaman Stadium,Gençlerbirligi,Trabzonspor,
21,23/01/2021 19:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Çaykur Rizespor,
21,24/01/2021 13:30,Konya Büyüksehir Stadium,Konyaspor,Antalyaspor,
21,24/01/2021 16:00,Malatya Stadium,Yeni Malatyaspor,Galatasaray,
21,24/01/2021 16:00,Denizli Atatürk Stadium,Denizlispor,Fatih Karagümrük,
21,24/01/2021 19:00,Gaziantep Arena,Gaziantep F.K.,Hatayspor,
21,24/01/2021 19:00,Vodafone Park,Besiktas,Göztepe,
21,25/01/2021 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Sivasspor,
21,25/01/2021 19:00,Bahçesehir Okullari Stadium,Alanyaspor,Ankaragücü,
21,25/01/2021 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Kayserispor,
22,31/01/2021 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Ankaragücü,
22,31/01/2021 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Sivasspor,
22,31/01/2021 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Kayserispor,
22,31/01/2021 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Çaykur Rizespor,
22,31/01/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Hatayspor,
22,31/01/2021 16:00,Gaziantep Arena,Gaziantep F.K.,Galatasaray,
22,31/01/2021 16:00,Malatya Stadium,Yeni Malatyaspor,Fatih Karagümrük,
22,31/01/2021 16:00,Denizli Atatürk Stadium,Denizlispor,Göztepe,
22,31/01/2021 16:00,Vodafone Park,Besiktas,Trabzonspor,
22,31/01/2021 16:00,Eryaman Stadium,Gençlerbirligi,Antalyaspor,
23,03/02/2021 16:00,Türk Telekom Stadium,Galatasaray,Istanbul Basaksehir,
23,03/02/2021 16:00,4 Eylül Stadium,Sivasspor,BB Erzurumspor,
23,03/02/2021 16:00,Konya Büyüksehir Stadium,Konyaspor,Gençlerbirligi,
23,03/02/2021 16:00,Antalya Stadium,Antalyaspor,Besiktas,
23,03/02/2021 16:00,Senol Günes Stadium,Trabzonspor,Denizlispor,
23,03/02/2021 16:00,Gürsel Aksel Stadium,Göztepe,Yeni Malatyaspor,
23,03/02/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Gaziantep F.K.,
23,03/02/2021 16:00,Antakya Atatürk Stadium,Hatayspor,Fenerbahçe,
23,03/02/2021 16:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Kasimpasa,
23,03/02/2021 16:00,Kadir Has Stadium,Kayserispor,Alanyaspor,
24,07/02/2021 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Kayserispor,
24,07/02/2021 16:00,Eryaman Stadium,Ankaragücü,Sivasspor,
24,07/02/2021 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Çaykur Rizespor,
24,07/02/2021 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Hatayspor,
24,07/02/2021 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Galatasaray,
24,07/02/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Fatih Karagümrük,
24,07/02/2021 16:00,Gaziantep Arena,Gaziantep F.K.,Göztepe,
24,07/02/2021 16:00,Malatya Stadium,Yeni Malatyaspor,Trabzonspor,
24,07/02/2021 16:00,Denizli Atatürk Stadium,Denizlispor,Antalyaspor,
24,07/02/2021 16:00,Vodafone Park,Besiktas,Konyaspor,
25,14/02/2021 16:00,Türk Telekom Stadium,Galatasaray,Kasimpasa,
25,14/02/2021 16:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,BB Erzurumspor,
25,14/02/2021 16:00,Kadir Has Stadium,Kayserispor,Ankaragücü,
25,14/02/2021 16:00,Antakya Atatürk Stadium,Hatayspor,Alanyaspor,
25,14/02/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Fenerbahçe,
25,14/02/2021 16:00,Gürsel Aksel Stadium,Göztepe,Istanbul Basaksehir,
25,14/02/2021 16:00,Senol Günes Stadium,Trabzonspor,Gaziantep F.K.,
25,14/02/2021 16:00,Antalya Stadium,Antalyaspor,Yeni Malatyaspor,
25,14/02/2021 16:00,Konya Büyüksehir Stadium,Konyaspor,Denizlispor,
25,14/02/2021 16:00,Eryaman Stadium,Gençlerbirligi,Besiktas,
26,21/02/2021 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Hatayspor,
26,21/02/2021 16:00,Eryaman Stadium,Ankaragücü,Çaykur Rizespor,
26,21/02/2021 16:00,4 Eylül Stadium,Sivasspor,Kayserispor,
26,21/02/2021 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Galatasaray,
26,21/02/2021 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Fatih Karagümrük,
26,21/02/2021 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Göztepe,
26,21/02/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Trabzonspor,
26,21/02/2021 16:00,Gaziantep Arena,Gaziantep F.K.,Antalyaspor,
26,21/02/2021 16:00,Malatya Stadium,Yeni Malatyaspor,Konyaspor,
26,21/02/2021 16:00,Denizli Atatürk Stadium,Denizlispor,Gençlerbirligi,
27,28/02/2021 16:00,Türk Telekom Stadium,Galatasaray,BB Erzurumspor,
27,28/02/2021 16:00,Antakya Atatürk Stadium,Hatayspor,Ankaragücü,
27,28/02/2021 16:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Sivasspor,
27,28/02/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Alanyaspor,
27,28/02/2021 16:00,Gürsel Aksel Stadium,Göztepe,Kasimpasa,
27,28/02/2021 16:00,Senol Günes Stadium,Trabzonspor,Fenerbahçe,
27,28/02/2021 16:00,Antalya Stadium,Antalyaspor,Istanbul Basaksehir,
27,28/02/2021 16:00,Konya Büyüksehir Stadium,Konyaspor,Gaziantep F.K.,
27,28/02/2021 16:00,Eryaman Stadium,Gençlerbirligi,Yeni Malatyaspor,
27,28/02/2021 16:00,Vodafone Park,Besiktas,Denizlispor,
28,03/03/2021 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Fatih Karagümrük,
28,03/03/2021 16:00,Eryaman Stadium,Ankaragücü,Galatasaray,
28,03/03/2021 16:00,4 Eylül Stadium,Sivasspor,Hatayspor,
28,03/03/2021 16:00,Kadir Has Stadium,Kayserispor,Çaykur Rizespor,
28,03/03/2021 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Göztepe,
28,03/03/2021 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Trabzonspor,
28,03/03/2021 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Antalyaspor,
