,Round Number,Date,Home Team,Away Team,Result
102613,0,1972-08-12,Bradford City,Barnsley,3 - 1
102614,0,1972-08-12,Cambridge United,Darlington,0 - 3
102615,0,1972-08-12,Chester,Bury,2 - 0
102616,0,1972-08-12,Colchester United,Hereford United,1 - 0
102617,0,1972-08-12,Gillingham,Newport County,0 - 0
102618,0,1972-08-12,Lincoln City,Hartlepool United,1 - 2
102619,0,1972-08-12,Mansfield Town,Northampton Town,1 - 0
102620,0,1972-08-12,Reading,Crewe Alexandra,1 - 1
102621,0,1972-08-12,Southport,Exeter City,1 - 0
102622,0,1972-08-12,Stockport County,Peterborough United,3 - 2
102623,0,1972-08-12,Torquay United,Aldershot,1 - 1
102624,0,1972-08-12,Workington,Doncaster Rovers,2 - 0
102671,0,1972-08-19,Aldershot,Workington,2 - 0
102672,1,1972-08-19,Barnsley,Cambridge United,3 - 1
102673,1,1972-08-19,Bury,Gillingham,2 - 1
102674,1,1972-08-19,Crewe Alexandra,Torquay United,1 - 1
102675,1,1972-08-19,Darlington,Lincoln City,1 - 1
102676,1,1972-08-19,Doncaster Rovers,Mansfield Town,0 - 1
102677,1,1972-08-19,Exeter City,Bradford City,5 - 1
102678,1,1972-08-19,Hartlepool United,Colchester United,2 - 1
102679,1,1972-08-19,Hereford United,Reading,3 - 0
102680,1,1972-08-19,Newport County,Chester,3 - 2
102681,1,1972-08-19,Peterborough United,Southport,0 - 1
102696,1,1972-08-25,Gillingham,Northampton Town,1 - 3
102697,2,1972-08-25,Stockport County,Barnsley,2 - 0
102729,2,1972-08-26,Bradford City,Hereford United,1 - 1
102730,2,1972-08-26,Cambridge United,Doncaster Rovers,3 - 1
102731,2,1972-08-26,Chester,Peterborough United,8 - 2
102732,2,1972-08-26,Colchester United,Newport County,1 - 3
102733,2,1972-08-26,Lincoln City,Aldershot,0 - 2
102734,2,1972-08-26,Mansfield Town,Exeter City,3 - 0
102735,2,1972-08-26,Reading,Bury,0 - 0
102736,2,1972-08-26,Southport,Darlington,2 - 1
102737,2,1972-08-26,Torquay United,Hartlepool United,1 - 0
102738,2,1972-08-26,Workington,Crewe Alexandra,1 - 1
102747,2,1972-08-28,Darlington,Aldershot,1 - 4
102748,3,1972-08-28,Exeter City,Hartlepool United,1 - 1
102749,3,1972-08-28,Peterborough United,Northampton Town,1 - 2
102767,3,1972-08-29,Barnsley,Doncaster Rovers,4 - 2
102768,3,1972-08-29,Bury,Newport County,0 - 0
102778,3,1972-08-30,Chester,Colchester United,4 - 0
102779,3,1972-08-30,Crewe Alexandra,Hereford United,2 - 1
102780,3,1972-08-30,Mansfield Town,Cambridge United,3 - 1
102781,3,1972-08-30,Workington,Lincoln City,0 - 3
102783,3,1972-09-01,Doncaster Rovers,Stockport County,2 - 2
102784,4,1972-09-01,Northampton Town,Chester,1 - 0
102818,4,1972-09-02,Aldershot,Southport,2 - 2
102819,4,1972-09-02,Barnsley,Gillingham,1 - 1
102820,4,1972-09-02,Bury,Torquay United,0 - 0
102821,4,1972-09-02,Crewe Alexandra,Lincoln City,1 - 1
102822,4,1972-09-02,Darlington,Colchester United,2 - 1
102823,4,1972-09-02,Exeter City,Cambridge United,3 - 1
102824,4,1972-09-02,Hartlepool United,Reading,1 - 2
102825,4,1972-09-02,Hereford United,Workington,0 - 0
102826,4,1972-09-02,Newport County,Mansfield Town,0 - 1
102827,4,1972-09-02,Peterborough United,Bradford City,3 - 0
102829,4,1972-09-08,Colchester United,Crewe Alexandra,5 - 1
102830,5,1972-09-08,Gillingham,Doncaster Rovers,3 - 0
102831,5,1972-09-08,Stockport County,Darlington,3 - 1
102865,5,1972-09-09,Bradford City,Northampton Town,2 - 1
102866,5,1972-09-09,Cambridge United,Hartlepool United,1 - 1
102867,5,1972-09-09,Chester,Aldershot,0 - 0
102868,5,1972-09-09,Lincoln City,Hereford United,4 - 1
102869,5,1972-09-09,Mansfield Town,Bury,1 - 1
102870,5,1972-09-09,Reading,Peterborough United,2 - 0
102871,5,1972-09-09,Southport,Barnsley,1 - 0
102872,5,1972-09-09,Torquay United,Newport County,2 - 2
102873,5,1972-09-09,Workington,Exeter City,3 - 1
102874,5,1972-09-11,Southport,Bradford City,3 - 1
102875,6,1972-09-11,Stockport County,Gillingham,2 - 3
102877,6,1972-09-15,Doncaster Rovers,Southport,2 - 0
102911,6,1972-09-16,Aldershot,Mansfield Town,0 - 1
102912,6,1972-09-16,Barnsley,Colchester United,4 - 0
102913,6,1972-09-16,Bury,Lincoln City,0 - 4
102914,6,1972-09-16,Crewe Alexandra,Bradford City,1 - 2
102915,6,1972-09-16,Darlington,Chester,1 - 1
102916,6,1972-09-16,Exeter City,Stockport County,3 - 0
102917,6,1972-09-16,Hartlepool United,Workington,1 - 0
102918,6,1972-09-16,Hereford United,Gillingham,0 - 0
102919,6,1972-09-16,Newport County,Cambridge United,0 - 2
102920,6,1972-09-16,Northampton Town,Reading,1 - 1
102921,6,1972-09-16,Peterborough United,Torquay United,0 - 1
102925,6,1972-09-18,Hartlepool United,Darlington,0 - 0
102926,7,1972-09-18,Mansfield Town,Gillingham,2 - 0
102938,7,1972-09-19,Bury,Northampton Town,2 - 2
102939,7,1972-09-19,Hereford United,Barnsley,1 - 2
102940,7,1972-09-19,Newport County,Peterborough United,1 - 1
102946,7,1972-09-20,Cambridge United,Stockport County,1 - 0
102947,7,1972-09-20,Crewe Alexandra,Doncaster Rovers,0 - 1
102948,7,1972-09-20,Exeter City,Aldershot,1 - 0
102949,7,1972-09-20,Reading,Lincoln City,1 - 1
102950,7,1972-09-20,Southport,Colchester United,1 - 0
102951,7,1972-09-20,Torquay United,Workington,3 - 0
102953,7,1972-09-22,Colchester United,Northampton Town,2 - 2
102954,8,1972-09-22,Southport,Hereford United,2 - 0
102955,8,1972-09-22,Stockport County,Bury,0 - 0
102989,8,1972-09-23,Bradford City,Hartlepool United,0 - 2
102990,8,1972-09-23,Cambridge United,Peterborough United,3 - 1
102991,8,1972-09-23,Chester,Crewe Alexandra,2 - 1
102992,8,1972-09-23,Gillingham,Aldershot,1 - 2
102993,8,1972-09-23,Lincoln City,Doncaster Rovers,2 - 1
102994,8,1972-09-23,Mansfield Town,Barnsley,3 - 1
102995,8,1972-09-23,Reading,Newport County,5 - 0
102996,8,1972-09-23,Torquay United,Exeter City,0 - 2
102997,8,1972-09-23,Workington,Darlington,2 - 1
103004,8,1972-09-25,Colchester United,Bradford City,0 - 0
103005,9,1972-09-25,Darlington,Exeter City,0 - 0
103006,9,1972-09-25,Peterborough United,Bury,1 - 1
103007,9,1972-09-25,Stockport County,Mansfield Town,2 - 1
103018,9,1972-09-26,Barnsley,Crewe Alexandra,2 - 2
103019,9,1972-09-26,Chester,Southport,0 - 0
103020,9,1972-09-26,Doncaster Rovers,Hereford United,0 - 0
103021,9,1972-09-26,Gillingham,Cambridge United,1 - 2
103022,9,1972-09-26,Northampton Town,Newport County,0 - 1
103030,9,1972-09-27,Aldershot,Hartlepool United,2 - 1
103031,9,1972-09-27,Lincoln City,Torquay United,3 - 1
103032,9,1972-09-27,Workington,Reading,0 - 0
103034,9,1972-09-29,Doncaster Rovers,Bradford City,1 - 0
103068,10,1972-09-30,Aldershot,Reading,1 - 0
103069,10,1972-09-30,Barnsley,Chester,0 - 0
103070,10,1972-09-30,Bury,Workington,3 - 0
103071,10,1972-09-30,Crewe Alexandra,Gillingham,1 - 1
103072,10,1972-09-30,Darlington,Mansfield Town,2 - 3
103073,10,1972-09-30,Exeter City,Colchester United,1 - 0
103074,10,1972-09-30,Hartlepool United,Southport,0 - 2
103075,10,1972-09-30,Hereford United,Torquay United,2 - 1
103076,10,1972-09-30,Newport County,Stockport County,1 - 0
103077,10,1972-09-30,Northampton Town,Cambridge United,2 - 2
103078,10,1972-09-30,Peterborough United,Lincoln City,2 - 2
103080,10,1972-10-04,Bradford City,Chester,0 - 1
103082,11,1972-10-06,Doncaster Rovers,Northampton Town,3 - 0
103116,11,1972-10-07,Barnsley,Peterborough United,3 - 2
103117,11,1972-10-07,Bury,Darlington,1 - 0
103118,11,1972-10-07,Cambridge United,Bradford City,2 - 1
103119,11,1972-10-07,Crewe Alexandra,Exeter City,1 - 0
103120,11,1972-10-07,Hereford United,Hartlepool United,0 - 0
103121,11,1972-10-07,Lincoln City,Colchester United,3 - 2
103122,11,1972-10-07,Mansfield Town,Southport,3 - 3
103123,11,1972-10-07,Newport County,Aldershot,2 - 1
103124,11,1972-10-07,Reading,Stockport County,0 - 0
103125,11,1972-10-07,Torquay United,Gillingham,0 - 0
103126,11,1972-10-07,Workington,Chester,3 - 1
103131,11,1972-10-09,Colchester United,Aldershot,2 - 3
103132,12,1972-10-09,Mansfield Town,Peterborough United,4 - 2
103133,12,1972-10-09,Stockport County,Crewe Alexandra,0 - 0
103139,12,1972-10-10,Gillingham,Darlington,4 - 0
103141,12,1972-10-11,Bradford City,Newport County,2 - 1
103142,12,1972-10-11,Cambridge United,Hereford United,1 - 0
103143,12,1972-10-11,Chester,Hartlepool United,2 - 0
103144,12,1972-10-11,Lincoln City,Northampton Town,1 - 1
103145,12,1972-10-11,Reading,Exeter City,2 - 0
103146,12,1972-10-11,Southport,Bury,2 - 1
103147,12,1972-10-11,Torquay United,Doncaster Rovers,1 - 0
103148,12,1972-10-11,Workington,Barnsley,3 - 2
103150,12,1972-10-13,Colchester United,Workington,1 - 1
103151,13,1972-10-13,Southport,Cambridge United,1 - 1
103152,13,1972-10-13,Stockport County,Torquay United,2 - 0
103186,13,1972-10-14,Aldershot,Bury,2 - 0
103187,13,1972-10-14,Bradford City,Mansfield Town,1 - 1
103188,13,1972-10-14,Chester,Lincoln City,2 - 1
103189,13,1972-10-14,Darlington,Newport County,2 - 3
103190,13,1972-10-14,Exeter City,Hereford United,1 - 0
103191,13,1972-10-14,Gillingham,Reading,1 - 0
103192,13,1972-10-14,Hartlepool United,Crewe Alexandra,1 - 1
103193,13,1972-10-14,Northampton Town,Barnsley,2 - 2
103194,13,1972-10-14,Peterborough United,Doncaster Rovers,3 - 1
103199,13,1972-10-20,Cambridge United,Colchester United,3 - 0
103234,14,1972-10-21,Barnsley,Darlington,0 - 2
103235,14,1972-10-21,Bury,Exeter City,2 - 1
103236,14,1972-10-21,Crewe Alexandra,Peterborough United,0 - 2
103237,14,1972-10-21,Doncaster Rovers,Aldershot,1 - 0
103238,14,1972-10-21,Hereford United,Northampton Town,2 - 0
103239,14,1972-10-21,Lincoln City,Gillingham,1 - 0
