,Round Number,Date,Home Team,Away Team,Result
33993,0,1930-08-30,Bradford City,Charlton Athletic,3 - 2
33994,0,1930-08-30,Burnley,Bury,0 - 2
33995,0,1930-08-30,Millwall,Stoke City,1 - 3
33996,0,1930-08-30,Nottingham Forest,Wolverhampton Wanderers,3 - 4
33997,0,1930-08-30,Oldham Athletic,Bradford Park Avenue,2 - 0
33998,0,1930-08-30,Plymouth Argyle,Everton,2 - 3
33999,0,1930-08-30,Port Vale,Barnsley,5 - 2
34000,0,1930-08-30,Preston North End,Southampton,5 - 0
34001,0,1930-08-30,Swansea City,Cardiff City,3 - 2
34002,0,1930-08-30,Tottenham Hotspur,Reading,7 - 1
34003,0,1930-08-30,West Bromwich Albion,Bristol City,3 - 0
34032,0,1930-09-01,Barnsley,Swansea City,1 - 0
34033,1,1930-09-01,Charlton Athletic,West Bromwich Albion,0 - 4
34034,1,1930-09-01,Southampton,Nottingham Forest,0 - 0
34035,1,1930-09-01,Stoke City,Bradford Park Avenue,1 - 1
34036,1,1930-09-01,Tottenham Hotspur,Burnley,8 - 1
34037,1,1930-09-01,Wolverhampton Wanderers,Millwall,2 - 0
34054,1,1930-09-03,Bradford City,Port Vale,2 - 1
34055,1,1930-09-03,Bristol City,Plymouth Argyle,2 - 1
34056,1,1930-09-03,Bury,Cardiff City,3 - 0
34057,1,1930-09-03,Everton,Preston North End,2 - 1
34058,1,1930-09-03,Reading,Oldham Athletic,1 - 3
34081,1,1930-09-06,Barnsley,Bradford City,2 - 1
34082,2,1930-09-06,Bradford Park Avenue,Nottingham Forest,4 - 1
34083,2,1930-09-06,Bristol City,Port Vale,1 - 1
34084,2,1930-09-06,Bury,Plymouth Argyle,2 - 0
34085,2,1930-09-06,Cardiff City,West Bromwich Albion,3 - 6
34086,2,1930-09-06,Charlton Athletic,Millwall,2 - 0
34087,2,1930-09-06,Everton,Swansea City,5 - 1
34088,2,1930-09-06,Reading,Preston North End,1 - 4
34089,2,1930-09-06,Southampton,Burnley,1 - 1
34090,2,1930-09-06,Stoke City,Oldham Athletic,4 - 0
34091,2,1930-09-06,Wolverhampton Wanderers,Tottenham Hotspur,3 - 1
34118,2,1930-09-08,Bradford Park Avenue,Port Vale,5 - 1
34119,3,1930-09-08,Burnley,Nottingham Forest,5 - 2
34120,3,1930-09-08,Cardiff City,Everton,1 - 2
34121,3,1930-09-08,Millwall,Reading,4 - 0
34122,3,1930-09-08,Oldham Athletic,Southampton,2 - 1
34123,3,1930-09-08,Preston North End,Tottenham Hotspur,2 - 1
34124,3,1930-09-08,Swansea City,Charlton Athletic,1 - 1
34125,3,1930-09-08,West Bromwich Albion,Bradford City,1 - 0
34126,3,1930-09-08,Wolverhampton Wanderers,Stoke City,5 - 1
34147,3,1930-09-10,Bury,Bristol City,6 - 0
34148,3,1930-09-10,Plymouth Argyle,Barnsley,4 - 0
34169,3,1930-09-13,Bradford City,Bristol City,1 - 1
34170,4,1930-09-13,Burnley,Reading,8 - 1
34171,4,1930-09-13,Charlton Athletic,Barnsley,1 - 1
34172,4,1930-09-13,Nottingham Forest,Stoke City,3 - 0
34173,4,1930-09-13,Oldham Athletic,Millwall,3 - 1
34174,4,1930-09-13,Plymouth Argyle,Southampton,2 - 3
34175,4,1930-09-13,Port Vale,Cardiff City,2 - 0
34176,4,1930-09-13,Preston North End,Wolverhampton Wanderers,5 - 4
34177,4,1930-09-13,Swansea City,Bury,5 - 2
34178,4,1930-09-13,Tottenham Hotspur,Bradford Park Avenue,3 - 2
34179,4,1930-09-13,West Bromwich Albion,Everton,1 - 2
34206,4,1930-09-15,Charlton Athletic,Swansea City,3 - 0
34207,5,1930-09-15,Southampton,Oldham Athletic,1 - 0
34208,5,1930-09-15,Stoke City,Wolverhampton Wanderers,1 - 2
34209,5,1930-09-15,Tottenham Hotspur,Preston North End,0 - 0
34222,5,1930-09-17,Bradford City,West Bromwich Albion,2 - 3
34223,5,1930-09-17,Bristol City,Bury,4 - 2
34224,5,1930-09-17,Everton,Cardiff City,1 - 1
34225,5,1930-09-17,Nottingham Forest,Burnley,3 - 3
34226,5,1930-09-17,Reading,Millwall,2 - 1
34251,5,1930-09-20,Barnsley,Oldham Athletic,1 - 2
34252,5,1930-09-20,Bradford Park Avenue,Preston North End,2 - 2
34253,5,1930-09-20,Bristol City,Charlton Athletic,3 - 0
34254,6,1930-09-20,Bury,West Bromwich Albion,2 - 2
34255,6,1930-09-20,Cardiff City,Bradford City,1 - 1
34256,6,1930-09-20,Everton,Port Vale,2 - 3
34257,6,1930-09-20,Millwall,Nottingham Forest,5 - 1
34258,6,1930-09-20,Plymouth Argyle,Swansea City,0 - 0
34259,6,1930-09-20,Reading,Southampton,1 - 1
34260,6,1930-09-20,Stoke City,Tottenham Hotspur,2 - 1
34261,6,1930-09-20,Wolverhampton Wanderers,Burnley,2 - 4
34284,6,1930-09-22,Cardiff City,Plymouth Argyle,4 - 1
34285,7,1930-09-22,Port Vale,Bradford Park Avenue,8 - 2
34300,7,1930-09-27,Barnsley,Bristol City,1 - 0
34301,7,1930-09-27,Bradford City,Everton,0 - 3
34302,7,1930-09-27,Burnley,Bradford Park Avenue,3 - 2
34303,7,1930-09-27,Charlton Athletic,Cardiff City,4 - 1
34304,7,1930-09-27,Nottingham Forest,Oldham Athletic,4 - 1
34305,7,1930-09-27,Port Vale,Bury,0 - 1
34306,8,1930-09-27,Preston North End,Stoke City,5 - 1
34307,8,1930-09-27,Southampton,Wolverhampton Wanderers,2 - 0
34308,8,1930-09-27,Swansea City,Reading,2 - 1
34309,8,1930-09-27,Tottenham Hotspur,Millwall,4 - 1
34310,8,1930-09-27,West Bromwich Albion,Plymouth Argyle,1 - 2
34347,8,1930-10-04,Bradford Park Avenue,Southampton,1 - 1
34348,8,1930-10-04,Bristol City,Nottingham Forest,1 - 4
34349,8,1930-10-04,Bury,Bradford City,3 - 1
34350,9,1930-10-04,Cardiff City,Barnsley,2 - 0
34351,9,1930-10-04,Everton,Charlton Athletic,7 - 1
34352,9,1930-10-04,Millwall,Preston North End,5 - 7
34353,9,1930-10-04,Oldham Athletic,Tottenham Hotspur,1 - 2
34354,9,1930-10-04,Plymouth Argyle,Port Vale,2 - 1
34355,9,1930-10-04,Stoke City,Burnley,1 - 1
34356,9,1930-10-04,Swansea City,West Bromwich Albion,1 - 1
34357,9,1930-10-04,Wolverhampton Wanderers,Reading,3 - 1
34392,9,1930-10-11,Barnsley,Everton,1 - 1
34393,10,1930-10-11,Bradford City,Plymouth Argyle,1 - 0
34394,10,1930-10-11,Bristol City,Cardiff City,1 - 0
34395,10,1930-10-11,Burnley,Millwall,2 - 1
34396,10,1930-10-11,Charlton Athletic,Bury,3 - 2
34397,10,1930-10-11,Port Vale,Swansea City,2 - 0
34398,10,1930-10-11,Preston North End,Oldham Athletic,1 - 0
34399,10,1930-10-11,Reading,Bradford Park Avenue,3 - 0
34400,10,1930-10-11,Southampton,Stoke City,2 - 1
34401,10,1930-10-11,Tottenham Hotspur,Nottingham Forest,2 - 1
34402,10,1930-10-11,West Bromwich Albion,Wolverhampton Wanderers,2 - 1
34436,10,1930-10-18,Bradford Park Avenue,Charlton Athletic,3 - 2
34437,11,1930-10-18,Burnley,Swansea City,2 - 2
34438,11,1930-10-18,Millwall,Bristol City,2 - 0
34439,11,1930-10-18,Nottingham Forest,Everton,2 - 2
34440,11,1930-10-18,Oldham Athletic,Cardiff City,4 - 2
34441,11,1930-10-18,Preston North End,Plymouth Argyle,2 - 1
34442,11,1930-10-18,Reading,Port Vale,0 - 3
34443,11,1930-10-18,Southampton,West Bromwich Albion,1 - 1
34444,11,1930-10-18,Stoke City,Barnsley,0 - 0
34445,11,1930-10-18,Tottenham Hotspur,Bury,3 - 1
34446,11,1930-10-18,Wolverhampton Wanderers,Bradford City,0 - 1
34480,11,1930-10-25,Barnsley,Millwall,2 - 3
34481,12,1930-10-25,Bradford City,Bradford Park Avenue,0 - 4
34482,12,1930-10-25,Bristol City,Oldham Athletic,1 - 0
34483,12,1930-10-25,Bury,Preston North End,3 - 0
34484,12,1930-10-25,Cardiff City,Nottingham Forest,1 - 1
34485,12,1930-10-25,Charlton Athletic,Stoke City,1 - 2
34486,12,1930-10-25,Everton,Tottenham Hotspur,4 - 2
34487,12,1930-10-25,Plymouth Argyle,Burnley,1 - 2
34488,12,1930-10-25,Port Vale,Wolverhampton Wanderers,0 - 1
34489,12,1930-10-25,Swansea City,Southampton,0 - 1
34490,12,1930-10-25,West Bromwich Albion,Reading,1 - 0
34524,12,1930-11-01,Bradford Park Avenue,Plymouth Argyle,7 - 1
34525,13,1930-11-01,Burnley,Bristol City,4 - 2
34526,13,1930-11-01,Millwall,West Bromwich Albion,2 - 0
34527,13,1930-11-01,Nottingham Forest,Bradford City,4 - 1
34528,13,1930-11-01,Oldham Athletic,Port Vale,3 - 3
34529,13,1930-11-01,Preston North End,Barnsley,1 - 1
34530,13,1930-11-01,Reading,Everton,0 - 2
34531,13,1930-11-01,Southampton,Cardiff City,0 - 1
34532,13,1930-11-01,Stoke City,Swansea City,5 - 0
34533,13,1930-11-01,Tottenham Hotspur,Charlton Athletic,5 - 0
34534,13,1930-11-01,Wolverhampton Wanderers,Bury,7 - 0
34568,13,1930-11-08,Barnsley,Burnley,0 - 1
34569,14,1930-11-08,Bradford City,Tottenham Hotspur,2 - 0
34570,14,1930-11-08,Bristol City,Southampton,2 - 1
34571,14,1930-11-08,Bury,Bradford Park Avenue,3 - 1
34572,14,1930-11-08,Cardiff City,Reading,5 - 0
34573,14,1930-11-08,Charlton Athletic,Preston North End,1 - 3
34574,14,1930-11-08,Everton,Wolverhampton Wanderers,4 - 0
34575,14,1930-11-08,Plymouth Argyle,Stoke City,1 - 2
34576,14,1930-11-08,Port Vale,Nottingham Forest,3 - 2
34577,14,1930-11-08,Swansea City,Millwall,4 - 1
34578,14,1930-11-08,West Bromwich Albion,Oldham Athletic,2 - 0
34612,14,1930-11-15,Bradford Park Avenue,Bristol City,5 - 2
34613,15,1930-11-15,Burnley,Port Vale,1 - 2
34614,15,1930-11-15,Millwall,Everton,1 - 3
34615,15,1930-11-15,Nottingham Forest,Plymouth Argyle,1 - 1
34616,15,1930-11-15,Oldham Athletic,Bury,3 - 2
34617,15,1930-11-15,Preston North End,West Bromwich Albion,2 - 3
34618,15,1930-11-15,Reading,Charlton Athletic,2 - 0
34619,15,1930-11-15,Southampton,Bradford City,4 - 1
34620,15,1930-11-15,Stoke City,Cardiff City,1 - 0
34621,15,1930-11-15,Tottenham Hotspur,Swansea City,1 - 1
34622,15,1930-11-15,Wolverhampton Wanderers,Barnsley,2 - 0
34656,15,1930-11-22,Barnsley,Reading,3 - 2
34657,16,1930-11-22,Bradford City,Burnley,2 - 3
34658,16,1930-11-22,Bristol City,Wolverhampton Wanderers,0 - 3
34659,16,1930-11-22,Bury,Millwall,5 - 0
34660,16,1930-11-22,Cardiff City,Bradford Park Avenue,0 - 3
34661,16,1930-11-22,Charlton Athletic,Southampton,3 - 1
34662,16,1930-11-22,Everton,Stoke City,5 - 0
34663,16,1930-11-22,Plymouth Argyle,Oldham Athletic,1 - 1
34664,16,1930-11-22,Port Vale,Preston North End,1 - 0
34665,16,1930-11-22,Swansea City,Nottingham Forest,3 - 2
34666,16,1930-11-22,West Bromwich Albion,Tottenham Hotspur,0 - 2
34699,16,1930-11-29,Bradford Park Avenue,Everton,4 - 1
34700,17,1930-11-29,Burnley,Charlton Athletic,1 - 1
34701,17,1930-11-29,Millwall,Plymouth Argyle,4 - 1
34702,17,1930-11-29,Nottingham Forest,West Bromwich Albion,1 - 6
34703,17,1930-11-29,Oldham Athletic,Swansea City,2 - 1
34704,17,1930-11-29,Preston North End,Bradford City,4 - 2
34705,17,1930-11-29,Reading,Bristol City,4 - 1
34706,17,1930-11-29,Southampton,Barnsley,4 - 0
34707,17,1930-11-29,Stoke City,Bury,3 - 1
34708,17,1930-11-29,Tottenham Hotspur,Port Vale,5 - 0
34709,17,1930-11-29,Wolverhampton Wanderers,Cardiff City,4 - 1
34721,17,1930-12-06,Barnsley,Bradford Park Avenue,1 - 0
34722,18,1930-12-06,Bradford City,Reading,6 - 1
34723,18,1930-12-06,Bristol City,Stoke City,1 - 1
34724,18,1930-12-06,Bury,Nottingham Forest,1 - 0
34725,18,1930-12-06,Cardiff City,Millwall,4 - 4
34726,18,1930-12-06,Charlton Athletic,Wolverhampton Wanderers,1 - 2
34727,18,1930-12-06,Everton,Oldham Athletic,6 - 4
34728,18,1930-12-06,Plymouth Argyle,Tottenham Hotspur,2 - 0
34729,18,1930-12-06,Port Vale,Southampton,1 - 0
34730,18,1930-12-06,Swansea City,Preston North End,2 - 1
34731,18,1930-12-06,West Bromwich Albion,Burnley,2 - 0
34765,18,1930-12-13,Bradford Park Avenue,West Bromwich Albion,3 - 1
34766,19,1930-12-13,Burnley,Everton,5 - 2
34767,19,1930-12-13,Millwall,Bradford City,1 - 1
34768,19,1930-12-13,Nottingham Forest,Barnsley,3 - 3
34769,19,1930-12-13,Oldham Athletic,Charlton Athletic,0 - 3
34770,19,1930-12-13,Preston North End,Cardiff City,7 - 0
34771,19,1930-12-13,Reading,Plymouth Argyle,1 - 2
34772,19,1930-12-13,Southampton,Bury,5 - 0
34773,19,1930-12-13,Stoke City,Port Vale,1 - 0
34774,19,1930-12-13,Tottenham Hotspur,Bristol City,4 - 1
34775,19,1930-12-13,Wolverhampton Wanderers,Swansea City,3 - 1
34803,19,1930-12-20,Barnsley,Tottenham Hotspur,0 - 1
34804,20,1930-12-20,Bradford City,Oldham Athletic,0 - 0
34805,20,1930-12-20,Bristol City,Preston North End,1 - 1
34806,20,1930-12-20,Bury,Reading,2 - 2
34807,20,1930-12-20,Cardiff City,Burnley,4 - 0
34808,20,1930-12-20,Charlton Athletic,Nottingham Forest,1 - 1
34809,20,1930-12-20,Everton,Southampton,2 - 1
