,Round Number,Date,Home Team,Away Team,Result
15215,0,1919-08-30,Birmingham City,Hull City,4 - 1
15216,0,1919-08-30,Blackpool,Leeds City,4 - 2
15217,0,1919-08-30,Bristol City,Bury,1 - 0
15218,0,1919-08-30,Coventry City,Tottenham Hotspur,0 - 5
15219,0,1919-08-30,Fulham,South Shields,1 - 0
15220,0,1919-08-30,Grimsby Town,Stockport County,0 - 3
15221,0,1919-08-30,Huddersfield Town,Leyton Orient,2 - 1
15222,0,1919-08-30,Leicester City,Wolverhampton Wanderers,1 - 2
15223,0,1919-08-30,Rotherham County,Nottingham Forest,2 - 0
15224,0,1919-08-30,Stoke City,Barnsley,2 - 0
15225,0,1919-08-30,West Ham United,Lincoln City,1 - 1
15234,0,1919-09-01,Barnsley,West Ham United,7 - 0
15235,1,1919-09-01,Bury,Huddersfield Town,2 - 0
15236,1,1919-09-01,Hull City,Stoke City,3 - 0
15237,1,1919-09-01,Lincoln City,Blackpool,0 - 3
15238,1,1919-09-01,Nottingham Forest,Bristol City,1 - 2
15239,1,1919-09-01,South Shields,Birmingham City,1 - 0
15240,1,1919-09-01,Stockport County,Rotherham County,4 - 1
15241,1,1919-09-01,Tottenham Hotspur,Leicester City,4 - 0
15242,1,1919-09-01,Wolverhampton Wanderers,Grimsby Town,6 - 1
15246,1,1919-09-03,Leeds City,Coventry City,3 - 0
15247,1,1919-09-04,Leyton Orient,Fulham,0 - 1
15259,1,1919-09-06,Barnsley,Stoke City,1 - 2
15260,2,1919-09-06,Bury,Bristol City,0 - 1
15261,2,1919-09-06,Hull City,Birmingham City,0 - 0
15262,2,1919-09-06,Leeds City,Blackpool,1 - 0
15263,2,1919-09-06,Leyton Orient,Huddersfield Town,0 - 1
15264,2,1919-09-06,Lincoln City,West Ham United,1 - 4
15265,2,1919-09-06,Nottingham Forest,Rotherham County,4 - 1
15266,2,1919-09-06,South Shields,Fulham,2 - 0
15267,2,1919-09-06,Stockport County,Grimsby Town,1 - 2
15268,2,1919-09-06,Tottenham Hotspur,Coventry City,4 - 1
15269,2,1919-09-06,Wolverhampton Wanderers,Leicester City,1 - 1
15277,2,1919-09-08,Blackpool,Lincoln City,6 - 0
15278,3,1919-09-08,Bristol City,Nottingham Forest,0 - 0
15279,3,1919-09-08,Grimsby Town,Wolverhampton Wanderers,0 - 1
15280,3,1919-09-08,Rotherham County,Stockport County,1 - 0
15281,3,1919-09-08,Stoke City,Hull City,3 - 1
15282,3,1919-09-08,West Ham United,Barnsley,0 - 2
15283,3,1919-09-09,Huddersfield Town,Bury,5 - 0
15287,3,1919-09-10,Birmingham City,South Shields,4 - 0
15288,3,1919-09-11,Coventry City,Leeds City,0 - 4
15289,3,1919-09-11,Leicester City,Tottenham Hotspur,2 - 4
15301,3,1919-09-13,Birmingham City,Coventry City,4 - 1
15302,4,1919-09-13,Bury,Stockport County,0 - 2
15303,4,1919-09-13,Grimsby Town,Huddersfield Town,1 - 0
15304,4,1919-09-13,Leeds City,Hull City,1 - 2
15305,4,1919-09-13,Leicester City,Fulham,3 - 2
15306,4,1919-09-13,Leyton Orient,Wolverhampton Wanderers,0 - 0
15307,4,1919-09-13,Lincoln City,Bristol City,0 - 0
15308,4,1919-09-13,Nottingham Forest,Barnsley,0 - 1
15309,4,1919-09-13,Rotherham County,West Ham United,0 - 1
15310,4,1919-09-13,Stoke City,Blackpool,2 - 0
15311,4,1919-09-13,Tottenham Hotspur,South Shields,2 - 0
15313,4,1919-09-15,Fulham,Leyton Orient,2 - 1
15326,5,1919-09-20,Barnsley,Nottingham Forest,2 - 2
15327,5,1919-09-20,Blackpool,Stoke City,3 - 1
15328,5,1919-09-20,Bristol City,Lincoln City,6 - 0
15329,5,1919-09-20,Coventry City,Birmingham City,1 - 3
15330,5,1919-09-20,Fulham,Leicester City,5 - 0
15331,6,1919-09-20,Huddersfield Town,Grimsby Town,3 - 0
15332,6,1919-09-20,Hull City,Leeds City,1 - 1
15333,6,1919-09-20,South Shields,Tottenham Hotspur,0 - 3
15334,6,1919-09-20,Stockport County,Bury,1 - 1
15335,6,1919-09-20,West Ham United,Rotherham County,2 - 1
15336,6,1919-09-20,Wolverhampton Wanderers,Leyton Orient,1 - 2
15349,6,1919-09-27,Birmingham City,Huddersfield Town,4 - 2
15350,6,1919-09-27,Bury,Hull City,2 - 0
15351,7,1919-09-27,Grimsby Town,Blackpool,1 - 1
15352,7,1919-09-27,Leeds City,Wolverhampton Wanderers,1 - 1
15353,7,1919-09-27,Leicester City,Coventry City,1 - 0
15354,7,1919-09-27,Leyton Orient,South Shields,4 - 0
15355,7,1919-09-27,Nottingham Forest,Stockport County,1 - 1
15356,7,1919-09-27,Rotherham County,Barnsley,1 - 0
15357,7,1919-09-27,Stoke City,West Ham United,2 - 1
15358,7,1919-09-27,Tottenham Hotspur,Lincoln City,6 - 1
15359,7,1919-09-29,Fulham,Rotherham County,3 - 0
15361,7,1919-10-03,Nottingham Forest,Blackpool,2 - 0
15373,8,1919-10-04,Barnsley,Rotherham County,4 - 0
15374,8,1919-10-04,Blackpool,Grimsby Town,2 - 0
15375,9,1919-10-04,Bristol City,Fulham,0 - 3
15376,9,1919-10-04,Coventry City,Leicester City,1 - 2
15377,9,1919-10-04,Huddersfield Town,Birmingham City,0 - 0
15378,9,1919-10-04,Hull City,Bury,4 - 2
15379,9,1919-10-04,Lincoln City,Tottenham Hotspur,1 - 1
15380,9,1919-10-04,South Shields,Leyton Orient,2 - 0
15381,9,1919-10-04,Stockport County,Nottingham Forest,0 - 0
15382,9,1919-10-04,West Ham United,Stoke City,1 - 1
15383,9,1919-10-04,Wolverhampton Wanderers,Leeds City,2 - 4
15395,9,1919-10-11,Birmingham City,Blackpool,4 - 2
15396,10,1919-10-11,Bury,Wolverhampton Wanderers,2 - 0
15397,10,1919-10-11,Coventry City,Fulham,0 - 1
15398,10,1919-10-11,Grimsby Town,West Ham United,0 - 1
15399,10,1919-10-11,Leicester City,Huddersfield Town,0 - 4
15400,10,1919-10-11,Lincoln City,Barnsley,0 - 4
15401,10,1919-10-11,Nottingham Forest,Hull City,0 - 2
15402,10,1919-10-11,Rotherham County,Bristol City,2 - 2
15403,10,1919-10-11,Stoke City,Stockport County,2 - 1
15404,10,1919-10-11,Tottenham Hotspur,Leyton Orient,2 - 1
15405,10,1919-10-13,Fulham,Bristol City,1 - 1
15406,11,1919-10-13,Hull City,Leyton Orient,3 - 1
15418,11,1919-10-18,Barnsley,Lincoln City,5 - 3
15419,11,1919-10-18,Blackpool,Birmingham City,3 - 0
15420,11,1919-10-18,Bristol City,Rotherham County,2 - 1
15421,12,1919-10-18,Fulham,Coventry City,0 - 0
15422,12,1919-10-18,Huddersfield Town,Leicester City,0 - 0
15423,12,1919-10-18,Hull City,Nottingham Forest,2 - 0
15424,12,1919-10-18,Leyton Orient,Tottenham Hotspur,0 - 4
15425,12,1919-10-18,South Shields,Port Vale,2 - 0
15426,12,1919-10-18,Stockport County,Stoke City,3 - 1
15427,12,1919-10-18,West Ham United,Grimsby Town,1 - 0
15428,12,1919-10-18,Wolverhampton Wanderers,Bury,0 - 1
15441,12,1919-10-25,Barnsley,Stockport County,0 - 0
15442,12,1919-10-25,Birmingham City,West Ham United,0 - 1
15443,12,1919-10-25,Bury,South Shields,2 - 1
15444,13,1919-10-25,Coventry City,Bristol City,0 - 0
15445,13,1919-10-25,Fulham,Huddersfield Town,2 - 2
15446,13,1919-10-25,Grimsby Town,Hull City,2 - 1
15447,13,1919-10-25,Leicester City,Blackpool,2 - 3
15448,13,1919-10-25,Lincoln City,Leyton Orient,2 - 1
15449,13,1919-10-25,Nottingham Forest,Wolverhampton Wanderers,1 - 0
15450,13,1919-10-25,Stoke City,Rotherham County,3 - 0
15451,13,1919-10-27,Port Vale,Tottenham Hotspur,0 - 1
15463,13,1919-11-01,Blackpool,Leicester City,3 - 0
15464,14,1919-11-01,Bristol City,Coventry City,1 - 0
15465,14,1919-11-01,Huddersfield Town,Fulham,3 - 0
15466,14,1919-11-01,Hull City,Grimsby Town,4 - 1
15467,14,1919-11-01,Leyton Orient,Lincoln City,1 - 0
15468,14,1919-11-01,Rotherham County,Stoke City,1 - 3
15469,14,1919-11-01,South Shields,Bury,0 - 0
15470,14,1919-11-01,Stockport County,Barnsley,1 - 0
15471,14,1919-11-01,Tottenham Hotspur,Port Vale,2 - 0
15472,14,1919-11-01,West Ham United,Birmingham City,1 - 2
15473,14,1919-11-01,Wolverhampton Wanderers,Nottingham Forest,4 - 0
15484,14,1919-11-08,Barnsley,Hull City,2 - 3
15485,15,1919-11-08,Birmingham City,Wolverhampton Wanderers,2 - 0
15486,15,1919-11-08,Bury,Tottenham Hotspur,2 - 1
15487,15,1919-11-08,Coventry City,Huddersfield Town,0 - 2
15488,15,1919-11-08,Fulham,Blackpool,1 - 2
15489,15,1919-11-08,Grimsby Town,Rotherham County,0 - 1
15490,15,1919-11-08,Leicester City,West Ham United,0 - 0
15491,15,1919-11-08,Lincoln City,Stockport County,2 - 0
15492,15,1919-11-08,Nottingham Forest,South Shields,0 - 0
15494,15,1919-11-10,Port Vale,South Shields,1 - 0
15505,15,1919-11-15,Blackpool,Fulham,1 - 1
15506,16,1919-11-15,Bristol City,Stoke City,1 - 2
15507,16,1919-11-15,Huddersfield Town,Coventry City,5 - 0
15508,16,1919-11-15,Hull City,Barnsley,3 - 1
15509,16,1919-11-15,Leyton Orient,Port Vale,2 - 1
15510,16,1919-11-15,Rotherham County,Grimsby Town,3 - 1
15511,16,1919-11-15,South Shields,Nottingham Forest,5 - 2
15512,16,1919-11-15,Stockport County,Lincoln City,3 - 0
15513,16,1919-11-15,Tottenham Hotspur,Bury,2 - 1
15514,16,1919-11-15,West Ham United,Leicester City,1 - 0
15515,16,1919-11-15,Wolverhampton Wanderers,Birmingham City,0 - 2
15516,16,1919-11-17,Stoke City,Bristol City,2 - 0
15528,17,1919-11-22,Barnsley,Wolverhampton Wanderers,4 - 1
15529,17,1919-11-22,Birmingham City,Rotherham County,2 - 2
15530,17,1919-11-22,Bury,Leyton Orient,3 - 0
15531,17,1919-11-22,Coventry City,Blackpool,0 - 0
15532,17,1919-11-22,Fulham,West Ham United,1 - 2
15533,17,1919-11-22,Huddersfield Town,Bristol City,1 - 0
15534,17,1919-11-22,Hull City,Stockport County,4 - 1
15535,17,1919-11-22,Leicester City,South Shields,0 - 0
15536,17,1919-11-22,Lincoln City,Port Vale,0 - 0
15537,17,1919-11-22,Nottingham Forest,Tottenham Hotspur,1 - 1
15538,17,1919-11-22,Stoke City,Grimsby Town,3 - 0
15539,18,1919-11-24,Port Vale,Leyton Orient,4 - 2
15549,18,1919-11-29,Blackpool,Coventry City,2 - 0
