,Round Number,Date,Home Team,Away Team,Result
11410,0,1910-09-01,Bolton Wanderers,Stockport County,2 - 2
11411,0,1910-09-01,Lincoln City,Bradford Park Avenue,0 - 0
11422,0,1910-09-03,Barnsley,Wolverhampton Wanderers,2 - 2
11423,0,1910-09-03,Bradford Park Avenue,Huddersfield Town,0 - 1
11424,1,1910-09-03,Burnley,Lincoln City,3 - 1
11425,1,1910-09-03,Derby County,Chelsea,1 - 4
11426,1,1910-09-03,Fulham,Birmingham City,3 - 0
11427,1,1910-09-03,Gainsborough Trinity,Glossop North End,3 - 0
11428,1,1910-09-03,Hull City,West Bromwich Albion,1 - 1
11429,1,1910-09-03,Leeds City,Blackpool,1 - 2
11430,1,1910-09-03,Leicester City,Bolton Wanderers,5 - 0
11431,1,1910-09-03,Stockport County,Leyton Orient,0 - 3
11432,1,1910-09-05,Bolton Wanderers,West Bromwich Albion,3 - 1
11433,2,1910-09-05,Burnley,Glossop North End,0 - 0
11434,2,1910-09-05,Wolverhampton Wanderers,Derby County,1 - 2
11445,2,1910-09-10,Birmingham City,Bradford Park Avenue,1 - 0
11446,2,1910-09-10,Blackpool,Stockport County,2 - 1
11447,2,1910-09-10,Bolton Wanderers,Hull City,2 - 1
11448,3,1910-09-10,Chelsea,Barnsley,3 - 1
11449,3,1910-09-10,Glossop North End,Leeds City,2 - 1
11450,3,1910-09-10,Huddersfield Town,Burnley,0 - 1
11451,3,1910-09-10,Leyton Orient,Derby County,1 - 0
11452,3,1910-09-10,Lincoln City,Gainsborough Trinity,0 - 0
11453,3,1910-09-10,West Bromwich Albion,Fulham,2 - 1
11454,3,1910-09-10,Wolverhampton Wanderers,Leicester City,1 - 0
11455,3,1910-09-14,Lincoln City,Glossop North End,2 - 2
11466,4,1910-09-17,Barnsley,Leyton Orient,1 - 2
11467,4,1910-09-17,Bradford Park Avenue,West Bromwich Albion,3 - 3
11468,4,1910-09-17,Burnley,Birmingham City,2 - 2
11469,4,1910-09-17,Derby County,Blackpool,1 - 1
11470,4,1910-09-17,Fulham,Hull City,0 - 1
11471,4,1910-09-17,Gainsborough Trinity,Huddersfield Town,3 - 1
11472,4,1910-09-17,Leeds City,Lincoln City,0 - 1
11473,4,1910-09-17,Leicester City,Chelsea,1 - 0
11474,4,1910-09-17,Stockport County,Glossop North End,2 - 1
11475,4,1910-09-17,Wolverhampton Wanderers,Bolton Wanderers,3 - 0
11487,4,1910-09-24,Birmingham City,Gainsborough Trinity,1 - 1
11488,5,1910-09-24,Blackpool,Barnsley,1 - 0
11489,5,1910-09-24,Bolton Wanderers,Fulham,2 - 0
11490,5,1910-09-24,Chelsea,Wolverhampton Wanderers,2 - 0
11491,5,1910-09-24,Glossop North End,Derby County,2 - 2
11492,5,1910-09-24,Huddersfield Town,Leeds City,3 - 2
11493,5,1910-09-24,Hull City,Bradford Park Avenue,2 - 2
11494,5,1910-09-24,Leyton Orient,Leicester City,3 - 1
11495,5,1910-09-24,Lincoln City,Stockport County,2 - 0
11496,5,1910-09-24,West Bromwich Albion,Burnley,2 - 1
11507,5,1910-10-01,Barnsley,Glossop North End,4 - 0
11508,6,1910-10-01,Bradford Park Avenue,Fulham,1 - 0
11509,6,1910-10-01,Burnley,Hull City,0 - 0
11510,6,1910-10-01,Chelsea,Bolton Wanderers,3 - 0
11511,6,1910-10-01,Derby County,Lincoln City,5 - 0
11512,6,1910-10-01,Gainsborough Trinity,West Bromwich Albion,1 - 1
11513,6,1910-10-01,Leeds City,Birmingham City,1 - 1
11514,6,1910-10-01,Leicester City,Blackpool,2 - 0
11515,6,1910-10-01,Wolverhampton Wanderers,Leyton Orient,1 - 0
11516,6,1910-10-03,Stockport County,Huddersfield Town,1 - 0
11528,6,1910-10-08,Birmingham City,Stockport County,1 - 3
11529,7,1910-10-08,Blackpool,Wolverhampton Wanderers,2 - 0
11530,7,1910-10-08,Bolton Wanderers,Bradford Park Avenue,1 - 0
11531,7,1910-10-08,Derby County,Huddersfield Town,1 - 1
11532,7,1910-10-08,Fulham,Burnley,3 - 0
11533,7,1910-10-08,Glossop North End,Leicester City,1 - 0
11534,7,1910-10-08,Hull City,Gainsborough Trinity,3 - 2
11535,7,1910-10-08,Leyton Orient,Chelsea,0 - 0
11536,7,1910-10-08,Lincoln City,Barnsley,1 - 0
11537,7,1910-10-08,West Bromwich Albion,Leeds City,2 - 0
11548,7,1910-10-15,Burnley,Bradford Park Avenue,1 - 1
11549,8,1910-10-15,Chelsea,Blackpool,0 - 0
