,Round Number,Date,Home Team,Away Team,Result
56139,0,1949-08-20,Barnsley,Chesterfield,1 - 2
56140,0,1949-08-20,Blackburn Rovers,Cardiff City,1 - 0
56141,0,1949-08-20,Brentford,Tottenham Hotspur,1 - 4
56142,0,1949-08-20,Coventry City,Sheffield United,2 - 4
56143,0,1949-08-20,Hull City,Bury,3 - 2
56144,0,1949-08-20,Leeds United,Queens Park Rangers,1 - 1
56145,0,1949-08-20,Luton Town,West Ham United,2 - 2
56146,0,1949-08-20,Plymouth Argyle,Bradford Park Avenue,1 - 1
56147,0,1949-08-20,Sheffield Wednesday,Leicester City,3 - 1
56148,0,1949-08-20,Southampton,Grimsby Town,1 - 2
56149,0,1949-08-20,Swansea City,Preston North End,2 - 1
56174,0,1949-08-22,Blackburn Rovers,Hull City,4 - 2
56175,1,1949-08-22,Cardiff City,Sheffield Wednesday,1 - 0
56176,1,1949-08-22,Sheffield United,Swansea City,1 - 1
56177,1,1949-08-22,Tottenham Hotspur,Plymouth Argyle,4 - 1
56178,1,1949-08-22,West Ham United,Leeds United,3 - 1
56195,1,1949-08-24,Barnsley,Southampton,2 - 1
56196,1,1949-08-24,Bradford Park Avenue,Leicester City,2 - 2
56197,1,1949-08-24,Chesterfield,Bury,2 - 1
56198,1,1949-08-24,Luton Town,Coventry City,2 - 0
56199,1,1949-08-24,Preston North End,Grimsby Town,2 - 0
56200,1,1949-08-24,Queens Park Rangers,Brentford,3 - 3
56227,1,1949-08-27,Bradford Park Avenue,Sheffield Wednesday,1 - 3
56228,2,1949-08-27,Bury,Brentford,1 - 2
56229,2,1949-08-27,Cardiff City,Swansea City,1 - 0
56230,2,1949-08-27,Chesterfield,Plymouth Argyle,2 - 0
56231,2,1949-08-27,Grimsby Town,Coventry City,3 - 2
56232,2,1949-08-27,Leicester City,Hull City,1 - 2
56233,2,1949-08-27,Preston North End,Leeds United,1 - 1
56234,2,1949-08-27,Queens Park Rangers,Southampton,1 - 0
56235,2,1949-08-27,Sheffield United,Luton Town,2 - 2
56236,2,1949-08-27,Tottenham Hotspur,Blackburn Rovers,2 - 3
56237,2,1949-08-27,West Ham United,Barnsley,2 - 1
56261,2,1949-08-29,Coventry City,Luton Town,1 - 0
56262,3,1949-08-29,Leicester City,Bradford Park Avenue,4 - 1
56263,3,1949-08-29,Sheffield Wednesday,Cardiff City,1 - 1
56283,3,1949-08-31,Brentford,Queens Park Rangers,0 - 2
56284,3,1949-08-31,Grimsby Town,Preston North End,1 - 3
56285,3,1949-08-31,Leeds United,West Ham United,2 - 2
56286,3,1949-08-31,Plymouth Argyle,Tottenham Hotspur,0 - 2
56287,3,1949-08-31,Southampton,Barnsley,0 - 0
56296,3,1949-09-01,Hull City,Blackburn Rovers,3 - 1
56297,3,1949-09-01,Swansea City,Sheffield United,1 - 0
56314,3,1949-09-03,Barnsley,Sheffield United,2 - 2
56315,4,1949-09-03,Blackburn Rovers,Bury,2 - 1
56316,4,1949-09-03,Brentford,Leicester City,0 - 1
56317,4,1949-09-03,Cardiff City,Tottenham Hotspur,0 - 1
56318,4,1949-09-03,Coventry City,Queens Park Rangers,0 - 0
56319,4,1949-09-03,Hull City,Bradford Park Avenue,3 - 3
56320,4,1949-09-03,Leeds United,Swansea City,1 - 2
56321,4,1949-09-03,Luton Town,Grimsby Town,0 - 0
56322,4,1949-09-03,Plymouth Argyle,West Ham United,0 - 3
56323,4,1949-09-03,Sheffield Wednesday,Chesterfield,4 - 2
56324,4,1949-09-03,Southampton,Preston North End,1 - 0
56351,4,1949-09-05,Cardiff City,Hull City,2 - 0
56352,5,1949-09-05,Sheffield United,Leeds United,0 - 1
56353,5,1949-09-05,Tottenham Hotspur,Sheffield Wednesday,1 - 0
56354,5,1949-09-05,West Ham United,Southampton,1 - 2
56373,5,1949-09-07,Barnsley,Coventry City,4 - 3
56374,5,1949-09-07,Bradford Park Avenue,Luton Town,1 - 0
56375,5,1949-09-07,Bury,Chesterfield,2 - 0
56376,5,1949-09-07,Grimsby Town,Swansea City,2 - 1
56377,5,1949-09-07,Queens Park Rangers,Preston North End,0 - 0
56398,5,1949-09-10,Bradford Park Avenue,Brentford,0 - 2
56399,6,1949-09-10,Bury,Cardiff City,2 - 2
56400,6,1949-09-10,Chesterfield,Hull City,0 - 1
56401,6,1949-09-10,Grimsby Town,Barnsley,2 - 2
56402,6,1949-09-10,Leicester City,Blackburn Rovers,3 - 3
56403,6,1949-09-10,Plymouth Argyle,Sheffield Wednesday,0 - 1
56404,6,1949-09-10,Preston North End,Coventry City,1 - 1
56405,6,1949-09-10,Queens Park Rangers,Luton Town,3 - 0
56406,6,1949-09-10,Sheffield United,West Ham United,0 - 0
56407,6,1949-09-10,Swansea City,Southampton,4 - 0
56408,6,1949-09-10,Tottenham Hotspur,Leeds United,2 - 0
56432,6,1949-09-12,Chesterfield,Leicester City,1 - 0
56439,7,1949-09-14,Brentford,Blackburn Rovers,2 - 0
56440,7,1949-09-14,Bury,Plymouth Argyle,5 - 1
56441,7,1949-09-14,Leeds United,Sheffield United,0 - 1
56442,7,1949-09-14,Preston North End,Queens Park Rangers,3 - 2
56463,7,1949-09-17,Barnsley,Queens Park Rangers,3 - 1
56464,7,1949-09-17,Blackburn Rovers,Bradford Park Avenue,0 - 1
56465,8,1949-09-17,Brentford,Chesterfield,0 - 0
56466,8,1949-09-17,Cardiff City,Leicester City,2 - 4
56467,8,1949-09-17,Coventry City,Swansea City,1 - 2
56468,8,1949-09-17,Hull City,Plymouth Argyle,4 - 2
56469,8,1949-09-17,Luton Town,Preston North End,1 - 1
56470,8,1949-09-17,Sheffield Wednesday,Sheffield United,2 - 1
56471,8,1949-09-17,Southampton,Leeds United,2 - 1
56472,8,1949-09-17,Tottenham Hotspur,Bury,3 - 1
56473,8,1949-09-17,West Ham United,Grimsby Town,4 - 3
56496,8,1949-09-19,Blackburn Rovers,Brentford,4 - 1
56497,9,1949-09-19,Leicester City,Chesterfield,0 - 1
56512,9,1949-09-24,Bradford Park Avenue,Cardiff City,3 - 3
56513,9,1949-09-24,Bury,Southampton,1 - 1
56514,9,1949-09-24,Chesterfield,Blackburn Rovers,2 - 1
56515,10,1949-09-24,Grimsby Town,Sheffield United,4 - 0
56516,10,1949-09-24,Leeds United,Coventry City,3 - 3
56517,10,1949-09-24,Leicester City,Tottenham Hotspur,1 - 2
56518,10,1949-09-24,Plymouth Argyle,Brentford,2 - 0
56519,10,1949-09-24,Preston North End,Barnsley,1 - 1
56520,10,1949-09-24,Queens Park Rangers,West Ham United,0 - 1
56521,10,1949-09-24,Sheffield Wednesday,Hull City,6 - 2
56522,10,1949-09-24,Swansea City,Luton Town,0 - 0
56558,10,1949-10-01,Barnsley,Swansea City,5 - 2
56559,11,1949-10-01,Blackburn Rovers,Plymouth Argyle,1 - 0
56560,11,1949-10-01,Brentford,Sheffield Wednesday,1 - 1
56561,11,1949-10-01,Bury,Leicester City,3 - 0
56562,11,1949-10-01,Cardiff City,Chesterfield,2 - 0
56563,11,1949-10-01,Coventry City,Southampton,1 - 2
56564,11,1949-10-01,Hull City,Grimsby Town,2 - 2
56565,11,1949-10-01,Luton Town,Leeds United,1 - 0
56566,11,1949-10-01,Sheffield United,Queens Park Rangers,1 - 1
56567,11,1949-10-01,Tottenham Hotspur,Bradford Park Avenue,5 - 0
56568,11,1949-10-01,West Ham United,Preston North End,0 - 3
56602,11,1949-10-08,Barnsley,Bradford Park Avenue,3 - 2
56603,12,1949-10-08,Coventry City,Bury,1 - 2
56604,12,1949-10-08,Grimsby Town,Sheffield Wednesday,4 - 1
56605,12,1949-10-08,Leeds United,Cardiff City,2 - 0
56606,12,1949-10-08,Luton Town,Leicester City,1 - 0
56607,12,1949-10-08,Preston North End,Brentford,2 - 0
56608,12,1949-10-08,Queens Park Rangers,Hull City,1 - 4
56609,12,1949-10-08,Sheffield United,Plymouth Argyle,1 - 1
56610,12,1949-10-08,Southampton,Tottenham Hotspur,1 - 1
56611,12,1949-10-08,Swansea City,Blackburn Rovers,2 - 0
56612,12,1949-10-08,West Ham United,Chesterfield,1 - 1
56646,12,1949-10-15,Blackburn Rovers,Leeds United,0 - 1
56647,13,1949-10-15,Bradford Park Avenue,West Ham United,2 - 1
56648,13,1949-10-15,Brentford,Swansea City,0 - 0
56649,13,1949-10-15,Bury,Luton Town,5 - 2
56650,13,1949-10-15,Chesterfield,Sheffield United,0 - 1
56651,13,1949-10-15,Hull City,Preston North End,4 - 2
56652,13,1949-10-15,Leicester City,Barnsley,2 - 2
56653,13,1949-10-15,Plymouth Argyle,Grimsby Town,4 - 2
56654,13,1949-10-15,Sheffield Wednesday,Queens Park Rangers,1 - 0
56655,13,1949-10-15,Tottenham Hotspur,Coventry City,3 - 1
56689,13,1949-10-22,Barnsley,Bury,1 - 0
56690,14,1949-10-22,Coventry City,Cardiff City,2 - 1
56691,14,1949-10-22,Grimsby Town,Chesterfield,5 - 2
56692,14,1949-10-22,Leeds United,Brentford,1 - 0
56693,14,1949-10-22,Luton Town,Tottenham Hotspur,1 - 1
56694,14,1949-10-22,Preston North End,Sheffield Wednesday,0 - 1
56695,14,1949-10-22,Queens Park Rangers,Plymouth Argyle,0 - 2
56696,14,1949-10-22,Sheffield United,Bradford Park Avenue,2 - 1
56697,14,1949-10-22,Southampton,Blackburn Rovers,3 - 1
56698,14,1949-10-22,Swansea City,Hull City,1 - 2
56699,14,1949-10-22,West Ham United,Leicester City,2 - 2
56733,14,1949-10-29,Blackburn Rovers,Coventry City,0 - 1
56734,15,1949-10-29,Bradford Park Avenue,Grimsby Town,4 - 1
56735,15,1949-10-29,Brentford,Southampton,0 - 1
56736,15,1949-10-29,Bury,West Ham United,3 - 1
56737,15,1949-10-29,Cardiff City,Luton Town,0 - 0
56738,15,1949-10-29,Chesterfield,Queens Park Rangers,2 - 1
56739,15,1949-10-29,Hull City,Leeds United,1 - 0
56740,15,1949-10-29,Leicester City,Sheffield United,1 - 1
56741,15,1949-10-29,Plymouth Argyle,Preston North End,1 - 0
56742,15,1949-10-29,Sheffield Wednesday,Swansea City,3 - 0
56743,15,1949-10-29,Tottenham Hotspur,Barnsley,2 - 0
56777,15,1949-11-05,Barnsley,Cardiff City,1 - 0
56778,16,1949-11-05,Coventry City,Brentford,1 - 1
56779,16,1949-11-05,Grimsby Town,Leicester City,2 - 1
56780,16,1949-11-05,Leeds United,Sheffield Wednesday,1 - 1
56781,16,1949-11-05,Luton Town,Blackburn Rovers,5 - 2
56782,16,1949-11-05,Preston North End,Chesterfield,0 - 0
56783,16,1949-11-05,Queens Park Rangers,Bradford Park Avenue,0 - 1
56784,16,1949-11-05,Sheffield United,Bury,4 - 4
56785,16,1949-11-05,Southampton,Hull City,5 - 0
56786,16,1949-11-05,Swansea City,Plymouth Argyle,2 - 2
56787,16,1949-11-05,West Ham United,Tottenham Hotspur,0 - 1
56821,16,1949-11-12,Blackburn Rovers,Barnsley,4 - 0
56822,17,1949-11-12,Bradford Park Avenue,Preston North End,1 - 2
56823,17,1949-11-12,Brentford,Luton Town,1 - 0
56824,17,1949-11-12,Bury,Grimsby Town,3 - 1
56825,17,1949-11-12,Cardiff City,West Ham United,0 - 1
56826,17,1949-11-12,Chesterfield,Swansea City,4 - 1
56827,17,1949-11-12,Hull City,Coventry City,2 - 1
56828,17,1949-11-12,Leicester City,Queens Park Rangers,3 - 2
56829,17,1949-11-12,Plymouth Argyle,Leeds United,1 - 2
56830,17,1949-11-12,Sheffield Wednesday,Southampton,2 - 2
56831,17,1949-11-12,Tottenham Hotspur,Sheffield United,7 - 0
56863,17,1949-11-19,Barnsley,Brentford,0 - 1
56864,18,1949-11-19,Grimsby Town,Tottenham Hotspur,2 - 3
56865,18,1949-11-19,Leeds United,Chesterfield,0 - 0
56866,18,1949-11-19,Luton Town,Hull City,0 - 3
56867,18,1949-11-19,Preston North End,Leicester City,2 - 1
56868,18,1949-11-19,Queens Park Rangers,Bury,1 - 0
56869,18,1949-11-19,Sheffield United,Cardiff City,2 - 0
56870,18,1949-11-19,Southampton,Plymouth Argyle,3 - 3
56871,18,1949-11-19,Swansea City,Bradford Park Avenue,2 - 0
56872,18,1949-11-19,West Ham United,Blackburn Rovers,0 - 2
56904,18,1949-11-26,Blackburn Rovers,Sheffield United,0 - 2
56905,19,1949-11-26,Bradford Park Avenue,Leeds United,1 - 2
