,Round Number,Date,Home Team,Away Team,Result
3322,0,1898-09-01,Lincoln City,Barnsley,1 - 0
3332,0,1898-09-03,Burton Swifts,Birmingham City,2 - 6
3333,0,1898-09-03,Gainsborough Trinity,Manchester United,0 - 2
3334,0,1898-09-03,Glossop North End,Blackpool,4 - 1
3335,0,1898-09-03,Leicester City,Lincoln City,3 - 2
3336,0,1898-09-03,Luton Town,Arsenal,0 - 1
3337,0,1898-09-03,Manchester City,Grimsby Town,7 - 2
3338,0,1898-09-03,Port Vale,Barnsley,2 - 0
3339,0,1898-09-03,Walsall,Loughborough,7 - 0
3341,0,1898-09-05,Birmingham City,Lincoln City,4 - 1
3342,1,1898-09-05,Port Vale,Arsenal,3 - 0
3352,1,1898-09-10,Arsenal,Leicester City,4 - 0
3353,2,1898-09-10,Barnsley,Luton Town,2 - 1
3354,2,1898-09-10,Birmingham City,Port Vale,1 - 2
3355,2,1898-09-10,Blackpool,Walsall,1 - 2
3356,2,1898-09-10,Grimsby Town,Glossop North End,1 - 1
3357,2,1898-09-10,Lincoln City,Darwen,2 - 0
3358,2,1898-09-10,Loughborough,Burton Swifts,1 - 0
3359,2,1898-09-10,Manchester United,Manchester City,3 - 0
3360,2,1898-09-10,New Brighton Tower,Gainsborough Trinity,3 - 2
3371,2,1898-09-17,Birmingham City,Barnsley,3 - 1
3372,3,1898-09-17,Burton Swifts,Blackpool,3 - 1
3373,3,1898-09-17,Darwen,Arsenal,1 - 4
3374,3,1898-09-17,Gainsborough Trinity,Lincoln City,2 - 2
3375,3,1898-09-17,Glossop North End,Manchester United,1 - 2
3376,3,1898-09-17,Leicester City,Luton Town,1 - 1
3377,3,1898-09-17,Manchester City,New Brighton Tower,1 - 1
3378,3,1898-09-17,Port Vale,Loughborough,3 - 0
3379,3,1898-09-17,Walsall,Grimsby Town,4 - 1
3390,3,1898-09-24,Arsenal,Gainsborough Trinity,5 - 1
3391,4,1898-09-24,Barnsley,Leicester City,3 - 4
3392,4,1898-09-24,Blackpool,Port Vale,0 - 4
3393,4,1898-09-24,Grimsby Town,Burton Swifts,1 - 3
3394,4,1898-09-24,Lincoln City,Manchester City,3 - 1
3395,4,1898-09-24,Loughborough,Birmingham City,1 - 1
3396,4,1898-09-24,Luton Town,Darwen,8 - 1
3397,4,1898-09-24,Manchester United,Walsall,1 - 0
3398,4,1898-09-24,New Brighton Tower,Glossop North End,2 - 2
