,Round Number,Date,Home Team,Away Team,Result
16139,0,1920-08-28,Barnsley,Sheffield Wednesday,0 - 0
16140,0,1920-08-28,Bristol City,Notts County,0 - 1
16141,0,1920-08-28,Bury,Blackpool,2 - 2
16142,0,1920-08-28,Fulham,Wolverhampton Wanderers,2 - 0
16143,0,1920-08-28,Leyton Orient,Leicester City,2 - 0
16144,0,1920-08-28,Nottingham Forest,Stoke City,2 - 2
16145,0,1920-08-28,Port Vale,Leeds United,2 - 0
16146,0,1920-08-28,Rotherham County,Coventry City,2 - 3
16147,0,1920-08-28,South Shields,Birmingham City,3 - 0
16148,0,1920-08-28,Stockport County,Cardiff City,2 - 5
16149,0,1920-08-28,West Ham United,Hull City,1 - 1
16168,0,1920-08-30,Birmingham City,Hull City,5 - 1
16169,1,1920-08-30,Blackpool,Bristol City,1 - 2
16170,1,1920-08-30,Cardiff City,Leyton Orient,0 - 0
16171,1,1920-08-30,Coventry City,Port Vale,0 - 0
16172,1,1920-08-30,Fulham,Stockport County,3 - 1
16173,1,1920-08-30,Notts County,Barnsley,1 - 0
16174,1,1920-08-30,Sheffield Wednesday,Nottingham Forest,0 - 0
16175,1,1920-08-30,Stoke City,Rotherham County,2 - 0
16176,1,1920-08-30,Wolverhampton Wanderers,West Ham United,1 - 2
16185,1,1920-09-01,Leeds United,South Shields,1 - 2
16191,1,1920-09-02,Leicester City,Bury,4 - 0
16205,1,1920-09-04,Birmingham City,South Shields,1 - 1
16206,2,1920-09-04,Blackpool,Bury,0 - 1
16207,2,1920-09-04,Cardiff City,Stockport County,3 - 0
16208,2,1920-09-04,Coventry City,Rotherham County,0 - 1
16209,2,1920-09-04,Hull City,West Ham United,2 - 1
16210,2,1920-09-04,Leeds United,Port Vale,3 - 1
16211,2,1920-09-04,Leicester City,Leyton Orient,2 - 1
16212,2,1920-09-04,Notts County,Bristol City,2 - 2
16213,2,1920-09-04,Sheffield Wednesday,Barnsley,0 - 0
16214,2,1920-09-04,Stoke City,Nottingham Forest,4 - 0
16215,2,1920-09-04,Wolverhampton Wanderers,Fulham,1 - 0
16235,2,1920-09-06,Barnsley,Notts County,2 - 2
16236,3,1920-09-06,Hull City,Birmingham City,1 - 0
16237,3,1920-09-06,Leyton Orient,Cardiff City,2 - 0
16238,3,1920-09-06,Port Vale,Coventry City,0 - 0
16239,3,1920-09-06,Rotherham County,Stoke City,1 - 1
16240,3,1920-09-06,West Ham United,Wolverhampton Wanderers,1 - 0
16248,3,1920-09-08,Bristol City,Blackpool,1 - 1
16249,3,1920-09-08,Bury,Leicester City,4 - 0
16250,3,1920-09-08,South Shields,Leeds United,3 - 0
16268,3,1920-09-11,Blackpool,Coventry City,4 - 0
16269,4,1920-09-11,Cardiff City,Birmingham City,2 - 1
16270,4,1920-09-11,Fulham,West Ham United,0 - 0
16271,4,1920-09-11,Hull City,Bristol City,2 - 0
16272,4,1920-09-11,Leicester City,Leeds United,1 - 1
16273,4,1920-09-11,Nottingham Forest,Notts County,1 - 0
16274,4,1920-09-11,Port Vale,Rotherham County,1 - 1
16275,4,1920-09-11,Sheffield Wednesday,Stoke City,1 - 3
16276,4,1920-09-11,South Shields,Barnsley,3 - 2
16277,4,1920-09-11,Stockport County,Leyton Orient,6 - 0
16278,4,1920-09-11,Wolverhampton Wanderers,Bury,2 - 1
16290,4,1920-09-13,Blackpool,Leyton Orient,2 - 2
16291,5,1920-09-13,Stockport County,Fulham,1 - 1
16307,5,1920-09-18,Barnsley,South Shields,1 - 1
16308,5,1920-09-18,Birmingham City,Cardiff City,1 - 1
16309,5,1920-09-18,Bristol City,Hull City,2 - 1
16310,5,1920-09-18,Bury,Wolverhampton Wanderers,3 - 1
16311,5,1920-09-18,Coventry City,Blackpool,0 - 2
16312,5,1920-09-18,Leeds United,Leicester City,3 - 1
16313,5,1920-09-18,Leyton Orient,Stockport County,5 - 0
16314,6,1920-09-18,Notts County,Nottingham Forest,2 - 0
16315,6,1920-09-18,Rotherham County,Port Vale,1 - 1
16316,6,1920-09-18,Stoke City,Sheffield Wednesday,0 - 1
16317,6,1920-09-18,West Ham United,Fulham,2 - 0
16330,6,1920-09-20,Rotherham County,Bristol City,0 - 0
16343,7,1920-09-25,Blackpool,Leeds United,1 - 0
16344,7,1920-09-25,Cardiff City,West Ham United,0 - 0
16345,7,1920-09-25,Fulham,Notts County,3 - 1
16346,7,1920-09-25,Hull City,Barnsley,3 - 0
16347,7,1920-09-25,Leicester City,Birmingham City,3 - 0
16348,7,1920-09-25,Nottingham Forest,Leyton Orient,1 - 1
16349,7,1920-09-25,Port Vale,Stoke City,2 - 1
16350,7,1920-09-25,Sheffield Wednesday,Coventry City,3 - 0
16351,7,1920-09-25,South Shields,Rotherham County,1 - 0
16352,7,1920-09-25,Stockport County,Bury,1 - 2
16353,7,1920-09-25,Wolverhampton Wanderers,Bristol City,0 - 0
16377,7,1920-10-02,Barnsley,Hull City,0 - 0
16378,8,1920-10-02,Birmingham City,Leicester City,5 - 0
16379,8,1920-10-02,Bristol City,Wolverhampton Wanderers,2 - 0
16380,8,1920-10-02,Bury,Stockport County,1 - 1
16381,8,1920-10-02,Coventry City,Sheffield Wednesday,2 - 3
16382,8,1920-10-02,Leeds United,Blackpool,2 - 0
16383,8,1920-10-02,Leyton Orient,Nottingham Forest,2 - 1
16384,8,1920-10-02,Notts County,Fulham,2 - 1
16385,8,1920-10-02,Rotherham County,South Shields,5 - 4
16386,8,1920-10-02,Stoke City,Port Vale,0 - 1
16387,8,1920-10-02,West Ham United,Cardiff City,1 - 1
16400,8,1920-10-04,Coventry City,West Ham United,0 - 1
16401,9,1920-10-07,Nottingham Forest,Sheffield Wednesday,4 - 2
16413,9,1920-10-09,Blackpool,Birmingham City,3 - 0
16414,9,1920-10-09,Bury,Leyton Orient,0 - 1
16415,9,1920-10-09,Fulham,Cardiff City,0 - 3
16416,9,1920-10-09,Hull City,Rotherham County,1 - 1
16417,9,1920-10-09,Leicester City,West Ham United,1 - 0
16418,9,1920-10-09,Nottingham Forest,Port Vale,1 - 4
16419,10,1920-10-09,Sheffield Wednesday,Leeds United,2 - 0
16420,10,1920-10-09,South Shields,Coventry City,4 - 1
16421,10,1920-10-09,Stockport County,Bristol City,0 - 2
16422,10,1920-10-09,Stoke City,Notts County,1 - 0
16423,10,1920-10-09,Wolverhampton Wanderers,Barnsley,1 - 1
16446,10,1920-10-16,Barnsley,Wolverhampton Wanderers,3 - 2
16447,11,1920-10-16,Birmingham City,Blackpool,3 - 0
16448,11,1920-10-16,Bristol City,Stockport County,5 - 1
16449,11,1920-10-16,Cardiff City,Fulham,3 - 0
16450,11,1920-10-16,Coventry City,South Shields,1 - 0
16451,11,1920-10-16,Leeds United,Sheffield Wednesday,2 - 0
16452,11,1920-10-16,Leyton Orient,Bury,1 - 0
16453,11,1920-10-16,Notts County,Stoke City,3 - 0
16454,11,1920-10-16,Port Vale,Nottingham Forest,0 - 1
16455,11,1920-10-16,Rotherham County,Hull City,1 - 1
16456,11,1920-10-16,West Ham United,Leicester City,0 - 1
16481,11,1920-10-23,Blackpool,West Ham United,1 - 0
16482,12,1920-10-23,Bury,Nottingham Forest,2 - 2
16483,12,1920-10-23,Hull City,Leeds United,0 - 1
16484,12,1920-10-23,Leicester City,Fulham,1 - 1
16485,12,1920-10-23,Leyton Orient,Bristol City,0 - 0
16486,12,1920-10-23,Notts County,Cardiff City,1 - 2
16487,12,1920-10-23,Sheffield Wednesday,Birmingham City,1 - 2
16488,12,1920-10-23,South Shields,Port Vale,6 - 1
16489,12,1920-10-23,Stockport County,Barnsley,3 - 2
16490,12,1920-10-23,Stoke City,Coventry City,4 - 1
16491,12,1920-10-23,Wolverhampton Wanderers,Rotherham County,3 - 0
16514,12,1920-10-30,Barnsley,Stockport County,2 - 0
16515,13,1920-10-30,Birmingham City,Sheffield Wednesday,4 - 0
16516,13,1920-10-30,Bristol City,Leyton Orient,2 - 0
16517,13,1920-10-30,Cardiff City,Notts County,1 - 1
16518,13,1920-10-30,Coventry City,Stoke City,1 - 0
16519,13,1920-10-30,Fulham,Leicester City,1 - 1
16520,13,1920-10-30,Leeds United,Hull City,1 - 1
16521,13,1920-10-30,Nottingham Forest,Bury,4 - 2
16522,13,1920-10-30,Port Vale,South Shields,0 - 2
16523,13,1920-10-30,Rotherham County,Wolverhampton Wanderers,1 - 0
16524,13,1920-10-30,West Ham United,Blackpool,1 - 1
16536,13,1920-11-01,Rotherham County,Sheffield Wednesday,2 - 0
16549,14,1920-11-06,Blackpool,Fulham,1 - 0
16550,14,1920-11-06,Bury,Bristol City,2 - 0
16551,14,1920-11-06,Hull City,Port Vale,1 - 1
16552,14,1920-11-06,Leicester City,Cardiff City,2 - 0
16553,14,1920-11-06,Notts County,Coventry City,1 - 1
16554,14,1920-11-06,Sheffield Wednesday,West Ham United,0 - 1
16555,15,1920-11-06,South Shields,Nottingham Forest,0 - 1
16556,15,1920-11-06,Stockport County,Rotherham County,0 - 1
16557,15,1920-11-06,Stoke City,Leeds United,4 - 0
16558,15,1920-11-06,Wolverhampton Wanderers,Birmingham City,0 - 3
16581,15,1920-11-13,Barnsley,Leyton Orient,1 - 0
16582,15,1920-11-13,Birmingham City,Wolverhampton Wanderers,4 - 1
16583,16,1920-11-13,Bristol City,Bury,1 - 0
16584,16,1920-11-13,Cardiff City,Leicester City,2 - 0
16585,16,1920-11-13,Coventry City,Notts County,1 - 1
16586,16,1920-11-13,Fulham,Blackpool,1 - 2
16587,16,1920-11-13,Leeds United,Stoke City,0 - 0
16588,16,1920-11-13,Nottingham Forest,South Shields,1 - 2
16589,16,1920-11-13,Port Vale,Hull City,4 - 0
16590,16,1920-11-13,Rotherham County,Stockport County,1 - 0
16591,16,1920-11-13,West Ham United,Sheffield Wednesday,4 - 0
16613,16,1920-11-20,Blackpool,Cardiff City,2 - 4
16614,17,1920-11-20,Bristol City,Nottingham Forest,1 - 0
16615,17,1920-11-20,Bury,Barnsley,0 - 0
16616,17,1920-11-20,Leyton Orient,Rotherham County,2 - 0
16617,17,1920-11-20,Notts County,Leicester City,1 - 1
16618,17,1920-11-20,Sheffield Wednesday,Fulham,3 - 0
16619,17,1920-11-20,South Shields,Hull City,0 - 0
16620,17,1920-11-20,Stockport County,West Ham United,2 - 0
16621,17,1920-11-20,Stoke City,Birmingham City,1 - 2
16622,17,1920-11-20,Wolverhampton Wanderers,Port Vale,2 - 2
16632,17,1920-11-25,Leyton Orient,Barnsley,3 - 2
16644,18,1920-11-27,Barnsley,Bury,5 - 0
16645,19,1920-11-27,Birmingham City,Stoke City,3 - 0
16646,19,1920-11-27,Cardiff City,Blackpool,0 - 0
16647,19,1920-11-27,Coventry City,Leeds United,1 - 1
16648,19,1920-11-27,Fulham,Sheffield Wednesday,2 - 0
16649,19,1920-11-27,Hull City,South Shields,0 - 2
16650,19,1920-11-27,Leicester City,Notts County,0 - 3
16651,19,1920-11-27,Nottingham Forest,Bristol City,0 - 1
16652,19,1920-11-27,Port Vale,Wolverhampton Wanderers,2 - 3
16653,19,1920-11-27,Rotherham County,Leyton Orient,0 - 0
16654,19,1920-11-27,West Ham United,Stockport County,5 - 0
16666,19,1920-12-01,Leeds United,Coventry City,4 - 0
16678,20,1920-12-04,Birmingham City,Coventry City,3 - 2
16679,20,1920-12-04,Blackpool,Leicester City,2 - 0
16680,20,1920-12-04,Bristol City,Barnsley,1 - 0
16681,20,1920-12-04,Bury,Rotherham County,1 - 0
16682,20,1920-12-04,Hull City,Nottingham Forest,0 - 3
16683,20,1920-12-04,Leyton Orient,Fulham,3 - 0
16684,20,1920-12-04,Notts County,Leeds United,1 - 2
