,Round Number,Date,Home Team,Away Team,Result
90433,0,1966-08-20,Brighton & Hove Albion,Swindon Town,2 - 2
90434,0,1966-08-20,Bristol Rovers,Swansea City,3 - 3
90435,0,1966-08-20,Colchester United,Middlesbrough,2 - 3
90436,0,1966-08-20,Darlington,Watford,1 - 0
90437,0,1966-08-20,Oldham Athletic,Leyton Orient,3 - 1
90438,0,1966-08-20,Oxford United,AFC Bournemouth,1 - 1
90439,0,1966-08-20,Peterborough United,Doncaster Rovers,3 - 3
90440,0,1966-08-20,Queens Park Rangers,Shrewsbury Town,2 - 2
90441,0,1966-08-20,Scunthorpe United,Gillingham,1 - 2
90442,0,1966-08-20,Torquay United,Reading,3 - 0
90443,0,1966-08-20,Walsall,Mansfield Town,1 - 2
90444,0,1966-08-20,Workington,Grimsby Town,2 - 1
90499,0,1966-08-27,AFC Bournemouth,Oldham Athletic,2 - 1
90500,1,1966-08-27,Doncaster Rovers,Torquay United,2 - 1
90501,1,1966-08-27,Gillingham,Workington,1 - 1
90502,1,1966-08-27,Grimsby Town,Walsall,3 - 1
90503,1,1966-08-27,Leyton Orient,Scunthorpe United,3 - 1
90504,1,1966-08-27,Mansfield Town,Peterborough United,0 - 0
90505,1,1966-08-27,Middlesbrough,Bristol Rovers,1 - 2
90506,1,1966-08-27,Reading,Brighton & Hove Albion,1 - 1
90507,1,1966-08-27,Shrewsbury Town,Colchester United,2 - 1
90508,1,1966-08-27,Swansea City,Oxford United,0 - 1
90509,1,1966-08-27,Swindon Town,Darlington,4 - 0
90510,1,1966-08-27,Watford,Queens Park Rangers,1 - 0
90523,1,1966-08-29,Swansea City,Oldham Athletic,3 - 0
90544,2,1966-09-02,Workington,Leyton Orient,3 - 1
90571,2,1966-09-03,Brighton & Hove Albion,Doncaster Rovers,0 - 0
90572,2,1966-09-03,Bristol Rovers,Shrewsbury Town,1 - 0
90573,2,1966-09-03,Colchester United,Watford,2 - 1
90574,2,1966-09-03,Darlington,Reading,0 - 1
90575,2,1966-09-03,Gillingham,Walsall,0 - 0
90576,2,1966-09-03,Oldham Athletic,Swansea City,4 - 1
90577,3,1966-09-03,Oxford United,Middlesbrough,1 - 1
90578,3,1966-09-03,Peterborough United,Grimsby Town,2 - 1
90579,3,1966-09-03,Queens Park Rangers,Swindon Town,3 - 1
90580,3,1966-09-03,Scunthorpe United,AFC Bournemouth,0 - 1
90581,3,1966-09-03,Torquay United,Mansfield Town,1 - 2
90593,3,1966-09-05,Darlington,Swansea City,1 - 0
90594,3,1966-09-05,Leyton Orient,Torquay United,0 - 0
90595,3,1966-09-05,Mansfield Town,Oldham Athletic,2 - 4
90596,4,1966-09-05,Peterborough United,Gillingham,2 - 0
90612,4,1966-09-06,Doncaster Rovers,Oxford United,2 - 1
90613,4,1966-09-06,Queens Park Rangers,Middlesbrough,4 - 0
90614,4,1966-09-06,Swindon Town,Colchester United,1 - 1
90615,4,1966-09-06,Walsall,Workington,2 - 0
90616,4,1966-09-06,Watford,Shrewsbury Town,1 - 0
90630,4,1966-09-07,Brighton & Hove Albion,AFC Bournemouth,0 - 3
90631,4,1966-09-07,Grimsby Town,Scunthorpe United,7 - 1
90632,4,1966-09-07,Reading,Bristol Rovers,1 - 2
90636,4,1966-09-09,Doncaster Rovers,Darlington,0 - 4
90637,5,1966-09-09,Leyton Orient,Gillingham,0 - 1
90662,5,1966-09-10,AFC Bournemouth,Workington,0 - 2
90663,5,1966-09-10,Colchester United,Bristol Rovers,3 - 1
90664,5,1966-09-10,Grimsby Town,Torquay United,1 - 0
90665,5,1966-09-10,Mansfield Town,Brighton & Hove Albion,2 - 1
90666,5,1966-09-10,Middlesbrough,Oldham Athletic,0 - 2
90667,5,1966-09-10,Reading,Queens Park Rangers,2 - 2
90668,5,1966-09-10,Shrewsbury Town,Oxford United,1 - 0
90669,5,1966-09-10,Swansea City,Scunthorpe United,0 - 1
90670,5,1966-09-10,Swindon Town,Watford,1 - 2
90671,5,1966-09-10,Walsall,Peterborough United,1 - 1
90682,5,1966-09-16,Workington,Swansea City,6 - 3
90709,6,1966-09-17,Brighton & Hove Albion,Grimsby Town,0 - 2
90710,6,1966-09-17,Bristol Rovers,Swindon Town,3 - 0
90711,6,1966-09-17,Darlington,Mansfield Town,1 - 1
90712,6,1966-09-17,Gillingham,AFC Bournemouth,0 - 0
90713,6,1966-09-17,Leyton Orient,Peterborough United,1 - 1
90714,6,1966-09-17,Oldham Athletic,Shrewsbury Town,4 - 1
90715,6,1966-09-17,Oxford United,Colchester United,1 - 1
90716,6,1966-09-17,Queens Park Rangers,Doncaster Rovers,6 - 0
90717,6,1966-09-17,Scunthorpe United,Middlesbrough,3 - 2
90718,6,1966-09-17,Torquay United,Walsall,5 - 2
90719,6,1966-09-17,Watford,Reading,1 - 0
90734,6,1966-09-21,Reading,Darlington,1 - 0
90735,7,1966-09-21,Shrewsbury Town,Torquay United,3 - 2
90737,7,1966-09-23,Doncaster Rovers,Watford,0 - 0
90761,7,1966-09-24,AFC Bournemouth,Leyton Orient,1 - 0
90762,7,1966-09-24,Bristol Rovers,Oxford United,2 - 1
90763,7,1966-09-24,Colchester United,Oldham Athletic,3 - 2
90764,7,1966-09-24,Grimsby Town,Darlington,4 - 1
90765,7,1966-09-24,Mansfield Town,Queens Park Rangers,1 - 7
90766,7,1966-09-24,Middlesbrough,Workington,3 - 2
90767,7,1966-09-24,Peterborough United,Torquay United,0 - 1
90768,7,1966-09-24,Reading,Swindon Town,2 - 1
90769,8,1966-09-24,Shrewsbury Town,Scunthorpe United,4 - 3
90770,8,1966-09-24,Swansea City,Gillingham,1 - 1
90771,8,1966-09-24,Walsall,Brighton & Hove Albion,2 - 1
90783,8,1966-09-26,Colchester United,Swindon Town,2 - 1
90784,8,1966-09-26,Middlesbrough,Queens Park Rangers,2 - 2
90785,8,1966-09-26,Shrewsbury Town,Watford,1 - 1
90794,9,1966-09-27,Bristol Rovers,Reading,2 - 1
90795,9,1966-09-27,Oldham Athletic,Mansfield Town,0 - 0
90796,9,1966-09-27,Scunthorpe United,Grimsby Town,0 - 0
90797,9,1966-09-27,Swansea City,Darlington,1 - 1
90804,9,1966-09-28,AFC Bournemouth,Brighton & Hove Albion,2 - 1
90805,9,1966-09-28,Oxford United,Doncaster Rovers,6 - 1
90806,9,1966-09-28,Torquay United,Leyton Orient,1 - 1
90807,9,1966-09-28,Workington,Walsall,4 - 0
90811,9,1966-09-30,Scunthorpe United,Colchester United,3 - 1
90838,10,1966-10-01,AFC Bournemouth,Torquay United,1 - 0
90839,10,1966-10-01,Brighton & Hove Albion,Peterborough United,5 - 2
90840,10,1966-10-01,Darlington,Walsall,0 - 1
90841,10,1966-10-01,Gillingham,Middlesbrough,5 - 1
90842,10,1966-10-01,Leyton Orient,Swansea City,1 - 0
90843,10,1966-10-01,Oldham Athletic,Bristol Rovers,3 - 0
90844,10,1966-10-01,Oxford United,Reading,1 - 3
90845,10,1966-10-01,Queens Park Rangers,Grimsby Town,5 - 1
90846,10,1966-10-01,Swindon Town,Doncaster Rovers,0 - 1
90847,10,1966-10-01,Watford,Mansfield Town,0 - 1
90856,10,1966-10-04,Bristol Rovers,Darlington,3 - 0
90857,11,1966-10-05,Gillingham,Peterborough United,2 - 2
90858,11,1966-10-07,Doncaster Rovers,Bristol Rovers,3 - 2
90884,11,1966-10-08,Brighton & Hove Albion,Leyton Orient,1 - 0
90885,11,1966-10-08,Darlington,AFC Bournemouth,1 - 2
90886,12,1966-10-08,Grimsby Town,Oldham Athletic,1 - 0
90887,12,1966-10-08,Mansfield Town,Oxford United,1 - 1
90888,12,1966-10-08,Peterborough United,Workington,3 - 0
90889,12,1966-10-08,Queens Park Rangers,Swansea City,4 - 2
90890,12,1966-10-08,Reading,Colchester United,2 - 3
90891,12,1966-10-08,Swindon Town,Shrewsbury Town,2 - 2
90892,12,1966-10-08,Torquay United,Gillingham,4 - 1
90893,12,1966-10-08,Walsall,Scunthorpe United,2 - 0
90894,12,1966-10-08,Watford,Middlesbrough,2 - 0
90905,12,1966-10-11,Walsall,Gillingham,3 - 0
90908,13,1966-10-14,Scunthorpe United,Peterborough United,1 - 0
90909,13,1966-10-14,Workington,Torquay United,1 - 2
90933,13,1966-10-15,AFC Bournemouth,Queens Park Rangers,1 - 3
90934,13,1966-10-15,Bristol Rovers,Mansfield Town,4 - 4
90935,13,1966-10-15,Colchester United,Doncaster Rovers,5 - 0
90936,13,1966-10-15,Gillingham,Brighton & Hove Albion,2 - 0
90937,14,1966-10-15,Leyton Orient,Darlington,1 - 2
90938,14,1966-10-15,Middlesbrough,Swindon Town,4 - 0
90939,14,1966-10-15,Oldham Athletic,Walsall,6 - 2
90940,14,1966-10-15,Oxford United,Grimsby Town,3 - 1
90941,14,1966-10-15,Shrewsbury Town,Reading,1 - 0
90942,14,1966-10-15,Swansea City,Watford,2 - 2
90953,14,1966-10-17,Colchester United,Leyton Orient,2 - 2
90954,14,1966-10-17,Mansfield Town,Doncaster Rovers,3 - 1
90955,14,1966-10-17,Middlesbrough,Swansea City,4 - 1
90956,15,1966-10-17,Peterborough United,Watford,2 - 2
90962,15,1966-10-18,Bristol Rovers,Gillingham,4 - 1
90963,15,1966-10-18,Oldham Athletic,Scunthorpe United,2 - 0
90964,15,1966-10-18,Walsall,Swindon Town,1 - 1
90967,15,1966-10-19,Brighton & Hove Albion,Darlington,5 - 0
90968,15,1966-10-19,Grimsby Town,Reading,2 - 0
90969,15,1966-10-19,Oxford United,Workington,3 - 0
90970,15,1966-10-19,Shrewsbury Town,AFC Bournemouth,4 - 1
90971,15,1966-10-19,Torquay United,Queens Park Rangers,1 - 1
90976,15,1966-10-21,Doncaster Rovers,Shrewsbury Town,2 - 1
90991,15,1966-10-22,Brighton & Hove Albion,Workington,0 - 0
90992,16,1966-10-22,Darlington,Gillingham,1 - 1
90993,16,1966-10-22,Grimsby Town,Bristol Rovers,0 - 0
90994,16,1966-10-22,Mansfield Town,Colchester United,2 - 0
90995,16,1966-10-22,Peterborough United,Oldham Athletic,3 - 1
90996,16,1966-10-22,Queens Park Rangers,Leyton Orient,4 - 1
