,Round Number,Date,Home Team,Away Team,Result
6384,0,1903-09-01,Bolton Wanderers,Burton United,3 - 0
6385,0,1903-09-01,Grimsby Town,Bradford City,2 - 0
6397,0,1903-09-05,Arsenal,Blackpool,3 - 0
6398,0,1903-09-05,Barnsley,Leicester City,1 - 1
6399,0,1903-09-05,Bradford City,Gainsborough Trinity,1 - 3
6400,1,1903-09-05,Chesterfield,Burnley,0 - 0
6401,1,1903-09-05,Glossop North End,Burton United,0 - 1
6402,1,1903-09-05,Lincoln City,Grimsby Town,2 - 1
6403,1,1903-09-05,Manchester United,Bristol City,2 - 2
6404,1,1903-09-05,Stockport County,Preston North End,1 - 5
6406,1,1903-09-07,Burnley,Manchester United,2 - 0
6407,2,1903-09-07,Port Vale,Bolton Wanderers,2 - 3
6417,2,1903-09-12,Blackpool,Barnsley,0 - 2
6418,2,1903-09-12,Bristol City,Glossop North End,5 - 0
6419,2,1903-09-12,Burnley,Bolton Wanderers,0 - 0
6420,3,1903-09-12,Burton United,Bradford City,0 - 2
6421,3,1903-09-12,Gainsborough Trinity,Arsenal,0 - 2
6422,3,1903-09-12,Grimsby Town,Stockport County,2 - 1
6423,3,1903-09-12,Leicester City,Lincoln City,2 - 2
6424,3,1903-09-12,Port Vale,Manchester United,1 - 0
6425,3,1903-09-12,Preston North End,Chesterfield,2 - 1
6435,3,1903-09-19,Arsenal,Burton United,8 - 0
6436,4,1903-09-19,Barnsley,Gainsborough Trinity,2 - 0
6437,4,1903-09-19,Bolton Wanderers,Preston North End,0 - 2
6438,4,1903-09-19,Bradford City,Bristol City,1 - 0
6439,4,1903-09-19,Burnley,Port Vale,1 - 0
6440,4,1903-09-19,Chesterfield,Grimsby Town,0 - 1
6441,4,1903-09-19,Glossop North End,Manchester United,0 - 5
6442,4,1903-09-19,Lincoln City,Blackpool,0 - 0
6443,4,1903-09-19,Stockport County,Leicester City,2 - 0
6453,4,1903-09-26,Blackpool,Stockport County,4 - 1
6454,5,1903-09-26,Bristol City,Arsenal,0 - 4
6455,5,1903-09-26,Burton United,Barnsley,1 - 1
6456,5,1903-09-26,Gainsborough Trinity,Lincoln City,0 - 0
6457,5,1903-09-26,Grimsby Town,Bolton Wanderers,0 - 0
6458,5,1903-09-26,Leicester City,Chesterfield,0 - 0
6459,5,1903-09-26,Manchester United,Bradford City,3 - 1
6460,5,1903-09-26,Port Vale,Glossop North End,1 - 1
6461,5,1903-09-26,Preston North End,Burnley,2 - 0
6472,5,1903-10-03,Arsenal,Manchester United,4 - 0
6473,6,1903-10-03,Barnsley,Bristol City,2 - 0
6474,6,1903-10-03,Bolton Wanderers,Leicester City,3 - 1
6475,6,1903-10-03,Burnley,Grimsby Town,2 - 0
6476,6,1903-10-03,Chesterfield,Blackpool,2 - 1
6477,6,1903-10-03,Lincoln City,Burton United,1 - 0
6478,6,1903-10-03,Preston North End,Port Vale,3 - 1
6479,6,1903-10-03,Stockport County,Gainsborough Trinity,1 - 4
6489,6,1903-10-10,Blackpool,Bolton Wanderers,1 - 4
6490,7,1903-10-10,Bristol City,Lincoln City,3 - 1
6491,7,1903-10-10,Burton United,Stockport County,7 - 0
6492,7,1903-10-10,Gainsborough Trinity,Chesterfield,1 - 0
6493,7,1903-10-10,Glossop North End,Arsenal,1 - 3
6494,7,1903-10-10,Grimsby Town,Preston North End,1 - 1
6495,7,1903-10-10,Leicester City,Burnley,0 - 0
6496,7,1903-10-10,Manchester United,Barnsley,4 - 0
6497,7,1903-10-10,Port Vale,Bradford City,5 - 2
6507,7,1903-10-17,Barnsley,Glossop North End,4 - 0
6508,8,1903-10-17,Bolton Wanderers,Gainsborough Trinity,5 - 0
6509,8,1903-10-17,Burnley,Blackpool,1 - 4
6510,8,1903-10-17,Chesterfield,Burton United,2 - 1
6511,8,1903-10-17,Grimsby Town,Port Vale,3 - 1
6512,8,1903-10-17,Lincoln City,Manchester United,0 - 0
6513,8,1903-10-17,Preston North End,Leicester City,4 - 3
6514,8,1903-10-17,Stockport County,Bristol City,1 - 1
6524,8,1903-10-24,Blackpool,Preston North End,0 - 3
6525,9,1903-10-24,Bradford City,Barnsley,3 - 1
6526,9,1903-10-24,Bristol City,Chesterfield,3 - 2
6527,9,1903-10-24,Burton United,Bolton Wanderers,2 - 1
6528,9,1903-10-24,Gainsborough Trinity,Burnley,1 - 2
6529,9,1903-10-24,Glossop North End,Lincoln City,5 - 0
6530,9,1903-10-24,Leicester City,Grimsby Town,1 - 1
6531,9,1903-10-24,Manchester United,Stockport County,3 - 1
6532,9,1903-10-24,Port Vale,Arsenal,2 - 3
6533,9,1903-10-26,Arsenal,Leicester City,8 - 0
6543,10,1903-10-31,Barnsley,Arsenal,2 - 1
6544,10,1903-10-31,Bolton Wanderers,Bristol City,1 - 1
6545,10,1903-10-31,Preston North End,Grimsby Town,2 - 0
6554,10,1903-11-07,Arsenal,Lincoln City,4 - 0
6555,11,1903-11-07,Blackpool,Leicester City,1 - 2
6556,11,1903-11-07,Bristol City,Burnley,6 - 0
6557,11,1903-11-07,Glossop North End,Chesterfield,0 - 2
6558,11,1903-11-07,Manchester United,Bolton Wanderers,0 - 0
6559,11,1903-11-07,Port Vale,Barnsley,3 - 0
6569,11,1903-11-14,Bolton Wanderers,Glossop North End,0 - 1
6570,12,1903-11-14,Preston North End,Bristol City,3 - 0
6580,12,1903-11-21,Arsenal,Chesterfield,6 - 0
6581,12,1903-11-21,Barnsley,Stockport County,0 - 0
6582,12,1903-11-21,Bradford City,Bolton Wanderers,3 - 3
6583,12,1903-11-21,Bristol City,Grimsby Town,4 - 0
6584,13,1903-11-21,Burton United,Leicester City,0 - 0
6585,13,1903-11-21,Gainsborough Trinity,Blackpool,3 - 1
6586,13,1903-11-21,Glossop North End,Burnley,6 - 2
6587,13,1903-11-21,Manchester United,Preston North End,0 - 2
6588,13,1903-11-21,Port Vale,Lincoln City,2 - 2
6599,13,1903-11-28,Bolton Wanderers,Arsenal,2 - 1
6600,13,1903-11-28,Burnley,Bradford City,3 - 2
6601,14,1903-11-28,Preston North End,Glossop North End,3 - 0
6602,14,1903-11-28,Stockport County,Lincoln City,4 - 0
6609,14,1903-12-05,Bradford City,Preston North End,1 - 1
6610,15,1903-12-05,Bristol City,Blackpool,5 - 0
6611,15,1903-12-05,Burton United,Gainsborough Trinity,2 - 1
6612,15,1903-12-05,Glossop North End,Grimsby Town,1 - 1
6613,15,1903-12-05,Lincoln City,Chesterfield,0 - 2
6614,15,1903-12-05,Port Vale,Stockport County,2 - 0
6623,15,1903-12-12,Bolton Wanderers,Lincoln City,1 - 2
6624,15,1903-12-12,Bradford City,Stockport County,0 - 0
6625,16,1903-12-12,Leicester City,Glossop North End,4 - 2
6636,16,1903-12-19,Arsenal,Grimsby Town,5 - 1
6637,16,1903-12-19,Barnsley,Preston North End,1 - 0
6638,16,1903-12-19,Bradford City,Leicester City,4 - 0
6639,17,1903-12-19,Bristol City,Burton United,4 - 0
6640,17,1903-12-19,Chesterfield,Port Vale,1 - 1
6641,17,1903-12-19,Glossop North End,Blackpool,0 - 1
6642,17,1903-12-19,Lincoln City,Burnley,3 - 1
6643,17,1903-12-19,Manchester United,Gainsborough Trinity,4 - 2
6644,17,1903-12-19,Stockport County,Bolton Wanderers,3 - 2
6649,17,1903-12-25,Arsenal,Bradford City,4 - 1
6650,17,1903-12-25,Blackpool,Glossop North End,3 - 2
6651,18,1903-12-25,Bolton Wanderers,Barnsley,5 - 1
6652,18,1903-12-25,Burnley,Burton United,2 - 1
6653,18,1903-12-25,Leicester City,Port Vale,1 - 1
6654,18,1903-12-25,Lincoln City,Stockport County,3 - 1
6655,18,1903-12-25,Manchester United,Chesterfield,3 - 1
6656,18,1903-12-25,Preston North End,Gainsborough Trinity,2 - 0
6666,18,1903-12-26,Blackpool,Bradford City,0 - 1
6667,19,1903-12-26,Bolton Wanderers,Chesterfield,4 - 0
6668,19,1903-12-26,Burnley,Stockport County,2 - 0
6669,19,1903-12-26,Burton United,Manchester United,2 - 2
6670,19,1903-12-26,Gainsborough Trinity,Glossop North End,0 - 1
6671,19,1903-12-26,Grimsby Town,Barnsley,5 - 1
6672,19,1903-12-26,Leicester City,Arsenal,0 - 0
6673,19,1903-12-26,Port Vale,Bristol City,3 - 1
6674,19,1903-12-26,Preston North End,Lincoln City,2 - 1
6680,19,1903-12-28,Bradford City,Port Vale,1 - 1
6681,20,1903-12-28,Burton United,Preston North End,0 - 0
6682,20,1903-12-28,Chesterfield,Stockport County,4 - 1
6683,20,1903-12-28,Lincoln City,Barnsley,0 - 0
6684,20,1903-12-29,Gainsborough Trinity,Port Vale,3 - 0
6690,20,1904-01-01,Bolton Wanderers,Blackpool,3 - 0
6691,20,1904-01-01,Stockport County,Arsenal,0 - 0
6701,21,1904-01-02,Blackpool,Arsenal,2 - 2
6702,21,1904-01-02,Bolton Wanderers,Port Vale,5 - 0
6703,21,1904-01-02,Bristol City,Manchester United,1 - 1
6704,21,1904-01-02,Burnley,Chesterfield,2 - 1
6705,21,1904-01-02,Burton United,Glossop North End,2 - 0
6706,21,1904-01-02,Gainsborough Trinity,Bradford City,3 - 0
6707,21,1904-01-02,Grimsby Town,Lincoln City,1 - 1
6708,21,1904-01-02,Leicester City,Barnsley,2 - 0
6709,21,1904-01-02,Preston North End,Stockport County,1 - 1
6719,21,1904-01-09,Arsenal,Gainsborough Trinity,6 - 0
6720,22,1904-01-09,Barnsley,Blackpool,2 - 2
6721,22,1904-01-09,Bolton Wanderers,Burnley,1 - 1
6722,22,1904-01-09,Bradford City,Burton United,3 - 0
6723,22,1904-01-09,Chesterfield,Preston North End,0 - 1
6724,22,1904-01-09,Glossop North End,Bristol City,1 - 1
6725,22,1904-01-09,Lincoln City,Leicester City,6 - 1
6726,22,1904-01-09,Manchester United,Port Vale,2 - 0
6727,22,1904-01-09,Stockport County,Grimsby Town,1 - 1
6735,22,1904-01-16,Blackpool,Lincoln City,2 - 1
6736,23,1904-01-16,Bristol City,Bradford City,1 - 1
6737,23,1904-01-16,Burton United,Arsenal,3 - 1
6738,23,1904-01-16,Gainsborough Trinity,Barnsley,4 - 2
6739,23,1904-01-16,Grimsby Town,Chesterfield,1 - 0
6740,23,1904-01-16,Leicester City,Stockport County,3 - 0
6741,23,1904-01-16,Manchester United,Glossop North End,3 - 1
6742,23,1904-01-16,Port Vale,Burnley,2 - 2
6743,23,1904-01-16,Preston North End,Bolton Wanderers,3 - 1
6753,23,1904-01-23,Barnsley,Burton United,2 - 1
6754,24,1904-01-23,Bolton Wanderers,Grimsby Town,4 - 0
6755,24,1904-01-23,Bradford City,Manchester United,3 - 3
6756,24,1904-01-23,Burnley,Preston North End,2 - 1
6757,24,1904-01-23,Chesterfield,Leicester City,2 - 0
6758,24,1904-01-23,Glossop North End,Port Vale,4 - 1
6759,24,1904-01-23,Lincoln City,Gainsborough Trinity,0 - 1
6760,24,1904-01-23,Stockport County,Blackpool,2 - 1
6769,24,1904-01-30,Blackpool,Chesterfield,0 - 0
6770,25,1904-01-30,Bristol City,Barnsley,2 - 0
6771,25,1904-01-30,Burton United,Lincoln City,5 - 2
6772,25,1904-01-30,Gainsborough Trinity,Stockport County,2 - 2
6773,25,1904-01-30,Grimsby Town,Burnley,0 - 0
6774,25,1904-01-30,Leicester City,Bolton Wanderers,2 - 2
6775,25,1904-01-30,Manchester United,Arsenal,1 - 0
6776,25,1904-01-30,Port Vale,Preston North End,0 - 1
6777,25,1904-02-06,Bradford City,Glossop North End,2 - 1
6778,25,1904-02-06,Burnley,Leicester City,2 - 1
6779,26,1904-02-06,Chesterfield,Gainsborough Trinity,6 - 1
6780,26,1904-02-06,Stockport County,Burton United,1 - 1
6789,26,1904-02-13,Blackpool,Burnley,0 - 5
6790,26,1904-02-13,Bristol City,Stockport County,6 - 0
6791,26,1904-02-13,Burton United,Chesterfield,4 - 0
6792,27,1904-02-13,Gainsborough Trinity,Bolton Wanderers,3 - 1
6793,27,1904-02-13,Glossop North End,Barnsley,7 - 0
6794,27,1904-02-13,Leicester City,Preston North End,1 - 4
6795,27,1904-02-13,Manchester United,Lincoln City,2 - 0
6796,27,1904-02-13,Port Vale,Grimsby Town,1 - 2
6798,27,1904-02-20,Barnsley,Bradford City,1 - 2
6799,28,1904-02-20,Blackpool,Burton United,4 - 1
6800,28,1904-02-20,Burnley,Gainsborough Trinity,2 - 0
6801,28,1904-02-20,Chesterfield,Bristol City,1 - 0
6802,28,1904-02-20,Grimsby Town,Leicester City,4 - 3
6803,28,1904-02-20,Lincoln City,Glossop North End,3 - 1
6806,28,1904-02-25,Leicester City,Bristol City,1 - 0
6815,29,1904-02-27,Arsenal,Barnsley,3 - 0
6816,29,1904-02-27,Blackpool,Grimsby Town,3 - 0
6817,29,1904-02-27,Bradford City,Lincoln City,2 - 1
6818,29,1904-02-27,Bristol City,Bolton Wanderers,2 - 0
6819,30,1904-02-27,Burton United,Burnley,1 - 2
6820,30,1904-02-27,Gainsborough Trinity,Preston North End,2 - 0
6821,30,1904-02-27,Glossop North End,Stockport County,5 - 1
6822,30,1904-02-27,Port Vale,Leicester City,6 - 2
6823,30,1904-02-29,Arsenal,Burnley,4 - 0
6824,30,1904-03-01,Glossop North End,Bradford City,2 - 0
6828,31,1904-03-05,Barnsley,Port Vale,1 - 0
6829,31,1904-03-05,Burnley,Bristol City,2 - 3
6830,31,1904-03-05,Chesterfield,Glossop North End,0 - 0
6831,31,1904-03-05,Grimsby Town,Gainsborough Trinity,3 - 1
6832,31,1904-03-05,Leicester City,Blackpool,5 - 1
6833,31,1904-03-05,Lincoln City,Arsenal,0 - 2
6834,31,1904-03-05,Preston North End,Burton United,4 - 0
6835,31,1904-03-05,Stockport County,Bradford City,2 - 0
6836,31,1904-03-07,Lincoln City,Bristol City,2 - 6
6837,32,1904-03-09,Blackpool,Manchester United,2 - 1
6846,32,1904-03-12,Arsenal,Stockport County,5 - 2
6847,32,1904-03-12,Barnsley,Lincoln City,2 - 1
6848,32,1904-03-12,Bradford City,Chesterfield,2 - 6
6849,32,1904-03-12,Bristol City,Preston North End,3 - 1
6850,33,1904-03-12,Burton United,Grimsby Town,1 - 0
6851,33,1904-03-12,Gainsborough Trinity,Leicester City,4 - 0
6852,33,1904-03-12,Glossop North End,Bolton Wanderers,3 - 3
6853,33,1904-03-12,Manchester United,Burnley,3 - 1
6854,33,1904-03-12,Port Vale,Blackpool,5 - 0
