,Round Number,Date,Home Team,Away Team,Result
135060,0,1988-08-27,Burnley,Rochdale,2 - 1
135061,0,1988-08-27,Cambridge United,Grimsby Town,4 - 1
135062,0,1988-08-27,Carlisle United,Peterborough United,2 - 2
135063,0,1988-08-27,Colchester United,York City,1 - 0
135064,0,1988-08-27,Darlington,Stockport County,1 - 4
135065,0,1988-08-27,Exeter City,Wrexham,0 - 2
135066,0,1988-08-27,Leyton Orient,Crewe Alexandra,0 - 0
135067,0,1988-08-27,Lincoln City,Hartlepool United,0 - 1
135068,0,1988-08-27,Rotherham United,Doncaster Rovers,3 - 0
135069,0,1988-08-27,Scarborough,Tranmere Rovers,0 - 0
135070,0,1988-08-27,Scunthorpe United,Hereford United,3 - 1
135071,0,1988-08-27,Torquay United,Halifax Town,0 - 2
135079,0,1988-09-02,Tranmere Rovers,Colchester United,0 - 0
135114,1,1988-09-03,Crewe Alexandra,Scunthorpe United,3 - 2
135115,1,1988-09-03,Doncaster Rovers,Exeter City,2 - 1
135116,1,1988-09-03,Grimsby Town,Torquay United,1 - 0
135117,1,1988-09-03,Halifax Town,Burnley,1 - 2
135118,1,1988-09-03,Hartlepool United,Darlington,2 - 1
135119,1,1988-09-03,Hereford United,Cambridge United,4 - 2
135120,1,1988-09-03,Peterborough United,Scarborough,1 - 4
135121,1,1988-09-03,Rochdale,Rotherham United,0 - 2
135122,1,1988-09-03,Stockport County,Leyton Orient,0 - 0
135123,1,1988-09-03,Wrexham,Lincoln City,3 - 0
135124,1,1988-09-03,York City,Carlisle United,1 - 1
135126,1,1988-09-09,Colchester United,Doncaster Rovers,0 - 1
135159,2,1988-09-10,Burnley,York City,6 - 0
135160,2,1988-09-10,Cambridge United,Stockport County,1 - 0
135161,2,1988-09-10,Carlisle United,Tranmere Rovers,1 - 1
135162,2,1988-09-10,Darlington,Peterborough United,2 - 2
135163,2,1988-09-10,Exeter City,Halifax Town,4 - 1
135164,2,1988-09-10,Leyton Orient,Hereford United,1 - 3
135165,2,1988-09-10,Lincoln City,Crewe Alexandra,2 - 2
135166,2,1988-09-10,Rotherham United,Wrexham,2 - 2
135167,2,1988-09-10,Scarborough,Rochdale,3 - 3
135168,2,1988-09-10,Scunthorpe United,Grimsby Town,1 - 1
135169,2,1988-09-10,Torquay United,Hartlepool United,2 - 0
135171,2,1988-09-16,Doncaster Rovers,Torquay United,1 - 2
135172,3,1988-09-16,Halifax Town,Carlisle United,3 - 3
135173,3,1988-09-16,Stockport County,Burnley,0 - 0
135174,3,1988-09-16,Tranmere Rovers,Cambridge United,1 - 2
135175,3,1988-09-16,Wrexham,Colchester United,2 - 2
135210,3,1988-09-17,Crewe Alexandra,Darlington,2 - 0
135211,3,1988-09-17,Grimsby Town,Rotherham United,0 - 4
135212,3,1988-09-17,Hartlepool United,Leyton Orient,1 - 0
135213,3,1988-09-17,Hereford United,Scarborough,1 - 3
135214,3,1988-09-17,Peterborough United,Lincoln City,1 - 1
135215,3,1988-09-17,Rochdale,Exeter City,2 - 1
135216,3,1988-09-17,York City,Scunthorpe United,1 - 2
135218,3,1988-09-19,Stockport County,Halifax Town,1 - 1
135219,4,1988-09-19,Tranmere Rovers,Peterborough United,1 - 0
135236,4,1988-09-20,Cambridge United,Lincoln City,2 - 3
135237,4,1988-09-20,Colchester United,Scarborough,3 - 1
135238,4,1988-09-20,Darlington,Exeter City,2 - 2
135239,4,1988-09-20,Rochdale,Doncaster Rovers,2 - 0
135240,4,1988-09-20,Rotherham United,Leyton Orient,4 - 1
135241,4,1988-09-20,Scunthorpe United,Carlisle United,1 - 1
135242,4,1988-09-20,Torquay United,Burnley,2 - 0
135243,4,1988-09-20,Wrexham,Grimsby Town,1 - 2
135244,4,1988-09-20,York City,Hartlepool United,2 - 3
135250,4,1988-09-21,Hereford United,Crewe Alexandra,0 - 1
135252,4,1988-09-23,Crewe Alexandra,Stockport County,1 - 1
135253,5,1988-09-23,Halifax Town,Tranmere Rovers,2 - 3
135254,5,1988-09-23,Leyton Orient,Darlington,1 - 0
135288,5,1988-09-24,Burnley,Colchester United,2 - 0
135289,5,1988-09-24,Carlisle United,Rotherham United,0 - 2
135290,5,1988-09-24,Doncaster Rovers,Wrexham,2 - 2
135291,5,1988-09-24,Exeter City,Scunthorpe United,2 - 2
135292,5,1988-09-24,Grimsby Town,Rochdale,1 - 3
135293,5,1988-09-24,Hartlepool United,Cambridge United,3 - 2
135294,5,1988-09-24,Lincoln City,Hereford United,2 - 0
135295,5,1988-09-24,Peterborough United,York City,0 - 1
135296,5,1988-09-24,Scarborough,Torquay United,5 - 2
135298,5,1988-09-30,Cambridge United,Carlisle United,3 - 2
135299,6,1988-09-30,Tranmere Rovers,Hartlepool United,2 - 1
135333,6,1988-10-01,Colchester United,Lincoln City,1 - 3
135334,6,1988-10-01,Darlington,Burnley,1 - 1
135335,6,1988-10-01,Hereford United,Grimsby Town,2 - 1
135336,6,1988-10-01,Rochdale,Crewe Alexandra,2 - 1
135337,6,1988-10-01,Rotherham United,Exeter City,0 - 1
135338,6,1988-10-01,Scunthorpe United,Scarborough,0 - 3
135339,6,1988-10-01,Stockport County,Doncaster Rovers,2 - 0
135340,6,1988-10-01,Torquay United,Leyton Orient,3 - 0
135341,6,1988-10-01,Wrexham,Peterborough United,1 - 1
135342,6,1988-10-01,York City,Halifax Town,5 - 3
135358,6,1988-10-04,Burnley,Rotherham United,1 - 0
135359,7,1988-10-04,Carlisle United,Colchester United,1 - 2
135360,7,1988-10-04,Crewe Alexandra,Cambridge United,2 - 0
135361,7,1988-10-04,Doncaster Rovers,Hereford United,3 - 2
135362,7,1988-10-04,Grimsby Town,Tranmere Rovers,0 - 0
135363,7,1988-10-04,Halifax Town,Wrexham,4 - 0
135364,7,1988-10-04,Hartlepool United,Rochdale,0 - 1
135365,7,1988-10-04,Leyton Orient,York City,4 - 0
135374,7,1988-10-05,Exeter City,Torquay United,3 - 0
135375,7,1988-10-05,Lincoln City,Scunthorpe United,1 - 0
135376,7,1988-10-05,Peterborough United,Stockport County,1 - 0
135377,7,1988-10-05,Scarborough,Darlington,3 - 2
135378,7,1988-10-07,Tranmere Rovers,York City,0 - 1
135407,8,1988-10-08,Burnley,Exeter City,3 - 0
135408,8,1988-10-08,Cambridge United,Halifax Town,2 - 1
135409,8,1988-10-08,Colchester United,Scunthorpe United,1 - 2
135410,8,1988-10-08,Darlington,Rotherham United,1 - 1
135411,8,1988-10-08,Doncaster Rovers,Hartlepool United,1 - 0
135412,8,1988-10-08,Grimsby Town,Peterborough United,0 - 0
135413,8,1988-10-08,Hereford United,Carlisle United,2 - 1
135414,8,1988-10-08,Rochdale,Stockport County,1 - 1
135415,8,1988-10-08,Scarborough,Leyton Orient,0 - 0
135416,8,1988-10-08,Torquay United,Lincoln City,1 - 0
135417,8,1988-10-08,Wrexham,Crewe Alexandra,0 - 0
135422,8,1988-10-14,Halifax Town,Rochdale,4 - 1
135449,9,1988-10-15,Carlisle United,Torquay United,2 - 1
135450,9,1988-10-15,Crewe Alexandra,Doncaster Rovers,0 - 2
135451,9,1988-10-15,Exeter City,Grimsby Town,2 - 1
135452,9,1988-10-15,Hartlepool United,Wrexham,1 - 3
135453,9,1988-10-15,Leyton Orient,Colchester United,8 - 0
135454,9,1988-10-15,Lincoln City,Scarborough,2 - 2
135455,9,1988-10-15,Peterborough United,Burnley,3 - 0
135456,9,1988-10-15,Rotherham United,Tranmere Rovers,0 - 0
135457,9,1988-10-15,Scunthorpe United,Cambridge United,1 - 0
135458,9,1988-10-15,Stockport County,Hereford United,1 - 2
135459,9,1988-10-15,York City,Darlington,4 - 1
135462,9,1988-10-21,Colchester United,Cambridge United,1 - 2
135463,10,1988-10-21,Doncaster Rovers,Halifax Town,1 - 4
135497,10,1988-10-22,Burnley,Leyton Orient,2 - 2
135498,10,1988-10-22,Exeter City,Carlisle United,3 - 0
135499,10,1988-10-22,Grimsby Town,York City,2 - 0
