,Round Number,Date,Home Team,Away Team,Result
5900,0,2016-07-29,Mechelen,Club Brugge,0 - 2
5901,0,2016-07-30,Charleroi,Waasland-Beveren,1 - 0
5902,0,2016-07-30,Mouscron,Anderlecht,1 - 2
5903,0,2016-07-30,St Truiden,Lokeren,1 - 0
5904,0,2016-07-30,Waregem,Eupen,3 - 0
5905,0,2016-07-31,Genk,Oostende,2 - 1
5906,0,2016-07-31,Kortrijk,Gent,1 - 1
5907,0,2016-07-31,Westerlo,Standard,2 - 2
5908,0,2016-08-05,Oostende,Club Brugge,1 - 0
5909,1,2016-08-06,Eupen,Mechelen,0 - 2
5910,1,2016-08-06,Mouscron,Charleroi,0 - 1
5911,1,2016-08-06,Standard,St Truiden,2 - 0
5912,1,2016-08-06,Waasland-Beveren,Waregem,0 - 2
5913,1,2016-08-07,Anderlecht,Kortrijk,5 - 1
5914,1,2016-08-07,Gent,Genk,1 - 0
5915,1,2016-08-07,Lokeren,Westerlo,3 - 0
5916,1,2016-08-12,St Truiden,Anderlecht,0 - 0
5917,2,2016-08-13,Charleroi,Gent,1 - 1
5918,2,2016-08-13,Genk,Waasland-Beveren,2 - 2
5919,2,2016-08-13,Mechelen,Kortrijk,0 - 0
5920,2,2016-08-13,Westerlo,Eupen,1 - 2
5921,2,2016-08-14,Club Brugge,Lokeren,1 - 0
5922,2,2016-08-14,Oostende,Mouscron,2 - 1
5923,2,2016-08-14,Waregem,Standard,1 - 0
5924,2,2016-08-19,Standard,Charleroi,0 - 0
5925,3,2016-08-20,Kortrijk,Club Brugge,2 - 1
5926,3,2016-08-20,Mouscron,St Truiden,2 - 1
5927,3,2016-08-20,Waasland-Beveren,Mechelen,2 - 2
5928,3,2016-08-20,Waregem,Oostende,1 - 1
5929,3,2016-08-21,Eupen,Anderlecht,2 - 2
5930,3,2016-08-21,Gent,Westerlo,4 - 2
5931,3,2016-08-21,Lokeren,Genk,0 - 3
5932,3,2016-08-26,Charleroi,Eupen,3 - 2
5933,4,2016-08-27,Lokeren,Mouscron,2 - 1
5934,4,2016-08-27,Oostende,Waasland-Beveren,2 - 1
5935,4,2016-08-27,St Truiden,Kortrijk,1 - 2
5936,4,2016-08-27,Westerlo,Mechelen,1 - 2
5937,4,2016-08-28,Anderlecht,Gent,2 - 2
5938,4,2016-08-28,Club Brugge,Standard,2 - 2
5939,4,2016-08-28,Genk,Waregem,1 - 0
5940,4,2016-09-09,Waasland-Beveren,Club Brugge,1 - 0
5941,5,2016-09-10,Eupen,Oostende,2 - 1
