,Round Number,Date,Home Team,Away Team,Result
3638,0,2007-08-03,Mechelen,Anderlecht,0 - 1
3639,0,2007-08-04,Charleroi,Roeselare,1 - 1
3640,0,2007-08-04,Club Brugge,Bergen,2 - 1
3641,0,2007-08-04,Dender,Germinal,1 - 2
3642,0,2007-08-04,FC Brussels,Westerlo,0 - 1
3643,0,2007-08-04,Genk,Cercle Brugge,3 - 1
3644,0,2007-08-04,Lokeren,St Truiden,2 - 1
3645,0,2007-08-05,Mouscron,Gent,1 - 4
3646,0,2007-08-05,Waregem,Standard,1 - 4
3647,0,2007-08-10,Westerlo,Charleroi,1 - 0
3648,1,2007-08-11,Anderlecht,Lokeren,1 - 0
3649,1,2007-08-11,Bergen,Mechelen,1 - 1
3650,1,2007-08-11,Cercle Brugge,Waregem,2 - 0
3651,1,2007-08-11,Gent,Genk,5 - 0
3652,1,2007-08-11,Roeselare,Dender,3 - 1
3653,1,2007-08-11,St Truiden,Mouscron,0 - 2
3654,1,2007-08-11,Standard,FC Brussels,4 - 1
3655,1,2007-08-12,Germinal,Club Brugge,0 - 1
3656,1,2007-08-17,Club Brugge,St Truiden,3 - 2
3657,2,2007-08-18,Charleroi,Mechelen,1 - 0
3658,2,2007-08-18,Dender,Anderlecht,2 - 2
3659,2,2007-08-18,FC Brussels,Gent,0 - 2
3660,2,2007-08-18,Genk,Roeselare,0 - 0
3661,2,2007-08-18,Lokeren,Germinal,0 - 0
3662,2,2007-08-18,Mouscron,Bergen,3 - 1
3663,2,2007-08-18,Waregem,Westerlo,1 - 0
3664,2,2007-08-19,Standard,Cercle Brugge,4 - 1
3665,2,2007-08-25,Anderlecht,FC Brussels,3 - 0
3666,3,2007-08-25,Bergen,Lokeren,0 - 1
3667,3,2007-08-25,Cercle Brugge,Dender,3 - 0
3668,3,2007-08-25,Gent,Waregem,1 - 1
3669,3,2007-08-25,Germinal,Genk,1 - 2
3670,3,2007-08-25,Roeselare,Standard,0 - 4
3671,3,2007-08-25,Westerlo,Mouscron,0 - 2
3672,3,2007-08-26,St Truiden,Charleroi,1 - 3
3673,3,2007-08-27,Mechelen,Club Brugge,1 - 1
3674,3,2007-08-31,Charleroi,Bergen,3 - 1
3675,4,2007-09-01,Cercle Brugge,Gent,4 - 1
3676,4,2007-09-01,Dender,St Truiden,1 - 0
3677,4,2007-09-01,FC Brussels,Roeselare,0 - 0
3678,4,2007-09-01,Genk,Westerlo,1 - 0
3679,4,2007-09-01,Lokeren,Mechelen,3 - 1
3680,4,2007-09-01,Waregem,Germinal,2 - 1
