,Round Number,Date,Home Team,Away Team,Result
5420,0,2014-07-25,Standard,Charleroi,3 - 0
5421,0,2014-07-26,Cercle Brugge,Gent,0 - 0
5422,0,2014-07-26,Lierse,Oostende,2 - 0
5423,0,2014-07-26,Waasland-Beveren,Club Brugge,0 - 2
5424,0,2014-07-26,Westerlo,Lokeren,1 - 0
5425,0,2014-07-27,Anderlecht,Mouscron-Peruwelz,3 - 1
5426,0,2014-07-27,Mechelen,Genk,3 - 1
5427,0,2014-07-27,Waregem,Kortrijk,2 - 0
5428,0,2014-08-01,Oostende,Anderlecht,0 - 2
5429,1,2014-08-02,Charleroi,Westerlo,2 - 3
5430,1,2014-08-02,Genk,Cercle Brugge,1 - 1
5431,1,2014-08-02,Kortrijk,Standard,2 - 3
5432,1,2014-08-02,Mouscron-Peruwelz,Waasland-Beveren,1 - 0
5433,1,2014-08-03,Club Brugge,Lierse,1 - 0
5434,1,2014-08-03,Gent,Mechelen,3 - 1
5435,1,2014-08-03,Lokeren,Waregem,2 - 1
5436,1,2014-08-08,Genk,Lokeren,0 - 0
5437,2,2014-08-09,Cercle Brugge,Oostende,0 - 1
5438,2,2014-08-09,Lierse,Mouscron-Peruwelz,2 - 2
5439,2,2014-08-09,Mechelen,Kortrijk,1 - 2
5440,2,2014-08-09,Waasland-Beveren,Westerlo,1 - 1
5441,2,2014-08-10,Anderlecht,Charleroi,1 - 0
5442,2,2014-08-10,Standard,Gent,0 - 1
5443,2,2014-08-10,Waregem,Club Brugge,1 - 1
5444,2,2014-08-15,Club Brugge,Cercle Brugge,1 - 1
5445,3,2014-08-15,Mouscron-Peruwelz,Standard,5 - 2
5446,3,2014-08-16,Charleroi,Waasland-Beveren,2 - 2
5447,3,2014-08-16,Kortrijk,Genk,1 - 1
5448,3,2014-08-16,Lokeren,Lierse,2 - 0
5449,3,2014-08-16,Oostende,Mechelen,2 - 0
5450,3,2014-08-17,Gent,Waregem,3 - 1
5451,3,2014-08-17,Westerlo,Anderlecht,2 - 2
5452,3,2014-08-22,Genk,Gent,3 - 2
5453,4,2014-08-23,Kortrijk,Oostende,0 - 2
5454,4,2014-08-23,Lierse,Charleroi,0 - 2
5455,4,2014-08-23,Standard,Westerlo,2 - 2
5456,4,2014-08-23,Waregem,Mouscron-Peruwelz,1 - 1
5457,4,2014-08-24,Anderlecht,Waasland-Beveren,1 - 0
5458,4,2014-08-24,Cercle Brugge,Lokeren,1 - 0
5459,4,2014-08-24,Mechelen,Club Brugge,3 - 1
5460,4,2014-08-29,Gent,Kortrijk,0 - 1
5461,5,2014-08-30,Mouscron-Peruwelz,Cercle Brugge,4 - 0
5462,5,2014-08-30,Oostende,Genk,1 - 1
5463,5,2014-08-30,Waasland-Beveren,Lierse,2 - 0
5464,5,2014-08-30,Westerlo,Waregem,2 - 2
5465,5,2014-08-31,Charleroi,Mechelen,2 - 0
5466,5,2014-08-31,Club Brugge,Anderlecht,2 - 2
5467,5,2014-08-31,Lokeren,Standard,1 - 1
5468,5,2014-09-13,Cercle Brugge,Charleroi,1 - 0
5469,6,2014-09-13,Lierse,Anderlecht,2 - 2
5470,6,2014-09-13,Mechelen,Westerlo,5 - 2
5471,6,2014-09-13,Standard,Oostende,3 - 5
5472,6,2014-09-13,Waregem,Waasland-Beveren,1 - 4
5473,6,2014-09-14,Genk,Club Brugge,1 - 1
5474,6,2014-09-14,Gent,Mouscron-Peruwelz,1 - 0
5475,6,2014-09-14,Kortrijk,Lokeren,2 - 3
5476,6,2014-09-19,Charleroi,Waregem,2 - 1
5477,7,2014-09-20,Anderlecht,Cercle Brugge,3 - 2
5478,7,2014-09-20,Mouscron-Peruwelz,Genk,1 - 2
5479,7,2014-09-20,Oostende,Gent,1 - 3
5480,7,2014-09-20,Westerlo,Lierse,6 - 1
5481,7,2014-09-21,Club Brugge,Kortrijk,5 - 0
5482,7,2014-09-21,Lokeren,Mechelen,3 - 2
5483,7,2014-09-21,Waasland-Beveren,Standard,0 - 2
5484,7,2014-09-27,Cercle Brugge,Westerlo,1 - 2
5485,8,2014-09-27,Genk,Charleroi,1 - 1
5486,8,2014-09-27,Kortrijk,Mouscron-Peruwelz,3 - 0
5487,8,2014-09-27,Mechelen,Waasland-Beveren,2 - 0
5488,8,2014-09-27,Waregem,Anderlecht,0 - 2
5489,8,2014-09-28,Gent,Lokeren,1 - 1
5490,8,2014-09-28,Oostende,Club Brugge,2 - 2
5491,8,2014-09-28,Standard,Lierse,2 - 2
5492,8,2014-10-03,Westerlo,Gent,0 - 0
5493,9,2014-10-04,Charleroi,Kortrijk,0 - 2
5494,9,2014-10-04,Lierse,Waregem,3 - 1
5495,9,2014-10-04,Mouscron-Peruwelz,Mechelen,1 - 1
5496,9,2014-10-04,Waasland-Beveren,Cercle Brugge,1 - 0
5497,9,2014-10-05,Anderlecht,Genk,0 - 0
5498,9,2014-10-05,Club Brugge,Standard,3 - 0
5499,9,2014-10-05,Lokeren,Oostende,3 - 1
5500,9,2014-10-18,Cercle Brugge,Lierse,1 - 2
5501,10,2014-10-18,Gent,Charleroi,2 - 2
5502,10,2014-10-18,Kortrijk,Waasland-Beveren,2 - 1
5503,10,2014-10-18,Mechelen,Anderlecht,1 - 1
5504,10,2014-10-18,Oostende,Mouscron-Peruwelz,0 - 0
5505,10,2014-10-19,Genk,Westerlo,3 - 1
5506,10,2014-10-19,Lokeren,Club Brugge,1 - 3
5507,10,2014-10-19,Standard,Waregem,1 - 2
5508,10,2014-10-24,Lierse,Mechelen,0 - 1
5509,11,2014-10-25,Charleroi,Oostende,2 - 0
5510,11,2014-10-25,Waasland-Beveren,Genk,0 - 1
5511,11,2014-10-25,Waregem,Cercle Brugge,1 - 2
5512,11,2014-10-25,Westerlo,Kortrijk,2 - 1
5513,11,2014-10-26,Anderlecht,Standard,0 - 2
5514,11,2014-10-26,Club Brugge,Gent,2 - 2
5515,11,2014-10-26,Mouscron-Peruwelz,Lokeren,2 - 2
5516,11,2014-10-28,Genk,Lierse,3 - 0
5517,12,2014-10-28,Mechelen,Waregem,1 - 1
5518,12,2014-10-29,Cercle Brugge,Standard,0 - 1
5519,12,2014-10-29,Gent,Waasland-Beveren,4 - 1
5520,12,2014-10-29,Kortrijk,Anderlecht,2 - 3
5521,12,2014-10-29,Lokeren,Charleroi,5 - 2
5522,12,2014-10-29,Oostende,Westerlo,4 - 0
5523,12,2014-10-30,Mouscron-Peruwelz,Club Brugge,1 - 4
5524,12,2014-10-31,Waregem,Genk,2 - 0
5525,13,2014-11-01,Anderlecht,Lokeren,1 - 1
5526,13,2014-11-01,Cercle Brugge,Kortrijk,0 - 4
5527,13,2014-11-01,Standard,Mechelen,2 - 0
5528,13,2014-11-01,Waasland-Beveren,Oostende,1 - 0
5529,13,2014-11-02,Charleroi,Club Brugge,0 - 0
5530,13,2014-11-02,Lierse,Gent,0 - 1
5531,13,2014-11-02,Westerlo,Mouscron-Peruwelz,1 - 3
5532,13,2014-11-07,Oostende,Waregem,1 - 3
5533,14,2014-11-08,Kortrijk,Lierse,1 - 0
5534,14,2014-11-08,Mechelen,Cercle Brugge,1 - 1
5535,14,2014-11-08,Mouscron-Peruwelz,Charleroi,0 - 2
5536,14,2014-11-09,Club Brugge,Westerlo,5 - 0
5537,14,2014-11-09,Genk,Standard,0 - 2
5538,14,2014-11-09,Gent,Anderlecht,0 - 2
5539,14,2014-11-09,Lokeren,Waasland-Beveren,3 - 0
5540,14,2014-11-22,Charleroi,Anderlecht,3 - 1
5541,15,2014-11-22,Club Brugge,Waasland-Beveren,4 - 2
5542,15,2014-11-22,Gent,Cercle Brugge,4 - 0
5543,15,2014-11-22,Lokeren,Westerlo,0 - 0
5544,15,2014-11-22,Mouscron-Peruwelz,Lierse,2 - 1
5545,15,2014-11-23,Genk,Mechelen,3 - 0
