,Round Number,Date,Home Team,Away Team,Result
786,0,1968-08-17,1. FC Nurnberg,Alemannia Aachen,1 - 4
787,0,1968-08-17,Bayern Munchen,1. FC Kaiserslautern,2 - 0
788,0,1968-08-17,Eintracht Frankfurt,Hertha BSC,2 - 0
789,0,1968-08-17,1. FC Koln,Kickers Offenbach,2 - 1
790,0,1968-08-17,MSV Duisburg,FC Schalke 04,1 - 0
791,0,1968-08-17,Borussia Dortmund,Bor. Monchengladbach,1 - 3
792,0,1968-08-17,Eintracht Braunschweig,Hamburger SV,1 - 0
793,0,1968-08-17,Werder Bremen,Hannover 96,3 - 2
794,0,1968-08-17,VfB Stuttgart,TSV 1860 Munchen,1 - 1
795,0,1968-08-24,Hertha BSC,MSV Duisburg,1 - 1
796,1,1968-08-24,Bor. Monchengladbach,1. FC Koln,2 - 1
797,1,1968-08-24,Kickers Offenbach,1. FC Nurnberg,2 - 1
798,1,1968-08-24,FC Schalke 04,Eintracht Braunschweig,0 - 2
799,1,1968-08-24,Hannover 96,Borussia Dortmund,1 - 1
800,1,1968-08-24,Hamburger SV,VfB Stuttgart,2 - 1
801,1,1968-08-24,1. FC Kaiserslautern,Werder Bremen,1 - 0
802,1,1968-08-24,TSV 1860 Munchen,Bayern Munchen,0 - 3
803,1,1968-08-24,Alemannia Aachen,Eintracht Frankfurt,4 - 2
804,1,1968-08-31,MSV Duisburg,Eintracht Frankfurt,1 - 1
805,2,1968-08-31,VfB Stuttgart,FC Schalke 04,1 - 1
806,2,1968-08-31,1. FC Nurnberg,Bor. Monchengladbach,4 - 0
807,2,1968-08-31,Bayern Munchen,Hamburger SV,5 - 1
808,2,1968-08-31,1. FC Koln,Hannover 96,1 - 0
809,2,1968-08-31,Eintracht Braunschweig,Hertha BSC,3 - 3
810,2,1968-08-31,Kickers Offenbach,Alemannia Aachen,1 - 1
811,2,1968-09-17,Borussia Dortmund,1. FC Kaiserslautern,2 - 3
812,2,1968-09-17,Werder Bremen,TSV 1860 Munchen,4 - 1
813,2,1968-09-04,Hertha BSC,VfB Stuttgart,0 - 1
814,3,1968-09-04,Bor. Monchengladbach,Kickers Offenbach,4 - 1
815,3,1968-09-04,Alemannia Aachen,MSV Duisburg,4 - 0
816,3,1968-09-04,Hannover 96,1. FC Nurnberg,2 - 2
817,3,1968-09-04,FC Schalke 04,Bayern Munchen,1 - 2
818,3,1968-09-04,TSV 1860 Munchen,Borussia Dortmund,2 - 1
819,3,1968-09-04,Hamburger SV,Werder Bremen,5 - 2
820,3,1968-09-04,1. FC Kaiserslautern,1. FC Koln,4 - 0
821,3,1968-09-04,Eintracht Frankfurt,Eintracht Braunschweig,0 - 1
822,3,1968-09-07,1. FC Koln,TSV 1860 Munchen,0 - 0
823,4,1968-09-07,Bayern Munchen,Hertha BSC,3 - 0
824,4,1968-09-07,1. FC Nurnberg,1. FC Kaiserslautern,1 - 0
825,4,1968-09-07,Werder Bremen,FC Schalke 04,1 - 3
826,4,1968-09-07,Borussia Dortmund,Hamburger SV,3 - 1
827,4,1968-09-07,Bor. Monchengladbach,Alemannia Aachen,2 - 2
828,4,1968-09-07,VfB Stuttgart,Eintracht Frankfurt,2 - 0
829,4,1968-09-07,Kickers Offenbach,Hannover 96,1 - 1
830,4,1968-09-07,Eintracht Braunschweig,MSV Duisburg,0 - 0
831,4,1968-09-13,MSV Duisburg,VfB Stuttgart,2 - 0
832,5,1968-09-14,FC Schalke 04,Borussia Dortmund,4 - 1
833,5,1968-09-14,Hannover 96,Bor. Monchengladbach,2 - 3
834,5,1968-09-14,Alemannia Aachen,Eintracht Braunschweig,1 - 4
835,5,1968-09-14,TSV 1860 Munchen,1. FC Nurnberg,2 - 0
836,5,1968-09-14,Hertha BSC,Werder Bremen,1 - 0
837,5,1968-09-14,Eintracht Frankfurt,Bayern Munchen,1 - 1
838,5,1968-09-14,1. FC Kaiserslautern,Kickers Offenbach,2 - 1
839,5,1968-09-14,Hamburger SV,1. FC Koln,3 - 1
840,5,1968-09-20,Kickers Offenbach,TSV 1860 Munchen,2 - 3
841,6,1968-09-21,VfB Stuttgart,Eintracht Braunschweig,2 - 2
842,6,1968-09-21,Hannover 96,Alemannia Aachen,5 - 2
843,6,1968-09-21,1. FC Nurnberg,Hamburger SV,0 - 0
844,6,1968-09-21,1. FC Koln,FC Schalke 04,2 - 0
845,6,1968-09-21,Werder Bremen,Eintracht Frankfurt,0 - 1
846,6,1968-09-21,Borussia Dortmund,Hertha BSC,2 - 2
847,6,1968-09-21,Bayern Munchen,MSV Duisburg,2 - 2
848,6,1968-09-21,Bor. Monchengladbach,1. FC Kaiserslautern,4 - 0
849,6,1968-09-28,Eintracht Frankfurt,Borussia Dortmund,1 - 1
850,7,1968-09-28,Alemannia Aachen,VfB Stuttgart,1 - 3
851,7,1968-09-28,Hertha BSC,1. FC Koln,2 - 1
852,7,1968-09-28,FC Schalke 04,1. FC Nurnberg,4 - 1
853,7,1968-09-28,1. FC Kaiserslautern,Hannover 96,0 - 0
854,7,1968-09-28,Hamburger SV,Kickers Offenbach,3 - 0
855,7,1968-09-28,MSV Duisburg,Werder Bremen,2 - 0
856,7,1968-09-28,TSV 1860 Munchen,Bor. Monchengladbach,0 - 4
857,7,1968-09-28,Eintracht Braunschweig,Bayern Munchen,2 - 3
858,7,1968-10-05,1. FC Kaiserslautern,Alemannia Aachen,2 - 1
859,8,1968-10-05,1. FC Koln,Eintracht Frankfurt,2 - 1
