,Round Number,Date,Home Team,Away Team,Result
13672,0,2011-08-05,Borussia Dortmund,Hamburger SV,3 - 1
13673,0,2011-08-06,Werder Bremen,1. FC Kaiserslautern,2 - 0
13674,0,2011-08-06,Hannover 96,1899 Hoffenheim,2 - 1
13675,0,2011-08-06,VfB Stuttgart,FC Schalke 04,3 - 0
13676,0,2011-08-06,1. FC Koln,VfL Wolfsburg,0 - 3
13677,0,2011-08-06,FC Augsburg,SC Freiburg,2 - 2
13678,0,2011-08-06,Hertha BSC,1. FC Nurnberg,0 - 1
13679,0,2011-08-07,1. FSV Mainz 05,Bayer Leverkusen,2 - 0
13680,0,2011-08-07,Bayern Munchen,Bor. Monchengladbach,0 - 1
13681,0,2011-08-13,Hamburger SV,Hertha BSC,2 - 2
13682,1,2011-08-13,1. FC Nurnberg,Hannover 96,1 - 2
13683,1,2011-08-13,SC Freiburg,1. FSV Mainz 05,1 - 2
13684,1,2011-08-13,1899 Hoffenheim,Borussia Dortmund,1 - 0
13685,1,2011-08-13,VfL Wolfsburg,Bayern Munchen,0 - 1
13686,1,2011-08-13,FC Schalke 04,1. FC Koln,5 - 1
13687,1,2011-08-13,Bor. Monchengladbach,VfB Stuttgart,1 - 1
13688,1,2011-08-14,1. FC Kaiserslautern,FC Augsburg,1 - 1
13689,1,2011-08-14,Bayer Leverkusen,Werder Bremen,1 - 0
13690,1,2011-08-19,Bor. Monchengladbach,VfL Wolfsburg,4 - 1
13691,2,2011-08-20,Borussia Dortmund,1. FC Nurnberg,2 - 0
13692,2,2011-08-20,Bayern Munchen,Hamburger SV,5 - 0
13693,2,2011-08-20,Werder Bremen,SC Freiburg,5 - 3
13694,2,2011-08-20,VfB Stuttgart,Bayer Leverkusen,0 - 1
13695,2,2011-08-20,FC Augsburg,1899 Hoffenheim,0 - 2
13696,2,2011-08-20,1. FC Koln,1. FC Kaiserslautern,1 - 1
13697,2,2011-08-21,1. FSV Mainz 05,FC Schalke 04,2 - 4
13698,2,2011-08-21,Hannover 96,Hertha BSC,1 - 1
13699,2,2011-08-26,Hertha BSC,VfB Stuttgart,1 - 0
13700,3,2011-08-27,Hamburger SV,1. FC Koln,3 - 4
13701,3,2011-08-27,1. FC Nurnberg,FC Augsburg,1 - 0
13702,3,2011-08-27,SC Freiburg,VfL Wolfsburg,3 - 0
13703,3,2011-08-27,1. FC Kaiserslautern,Bayern Munchen,0 - 3
13704,3,2011-08-27,1899 Hoffenheim,Werder Bremen,1 - 2
13705,3,2011-08-27,Bayer Leverkusen,Borussia Dortmund,0 - 0
13706,3,2011-08-28,Hannover 96,1. FSV Mainz 05,1 - 1
13707,3,2011-08-28,FC Schalke 04,Bor. Monchengladbach,1 - 0
13708,3,2011-09-09,FC Augsburg,Bayer Leverkusen,1 - 4
13709,4,2011-09-10,Borussia Dortmund,Hertha BSC,1 - 2
13710,4,2011-09-10,Bayern Munchen,SC Freiburg,7 - 0
13711,4,2011-09-10,1. FSV Mainz 05,1899 Hoffenheim,0 - 4
13712,4,2011-09-10,VfB Stuttgart,Hannover 96,3 - 0
13713,4,2011-09-10,Bor. Monchengladbach,1. FC Kaiserslautern,1 - 0
13714,4,2011-09-10,Werder Bremen,Hamburger SV,2 - 0
13715,4,2011-09-11,1. FC Koln,1. FC Nurnberg,1 - 2
13716,4,2011-09-11,VfL Wolfsburg,FC Schalke 04,2 - 1
13717,4,2011-09-16,SC Freiburg,VfB Stuttgart,1 - 2
13718,5,2011-09-17,Bayer Leverkusen,1. FC Koln,1 - 4
13719,5,2011-09-17,Hamburger SV,Bor. Monchengladbach,0 - 1
13720,5,2011-09-17,1. FC Nurnberg,Werder Bremen,1 - 1
13721,5,2011-09-17,1899 Hoffenheim,VfL Wolfsburg,3 - 1
13722,5,2011-09-17,Hertha BSC,FC Augsburg,2 - 2
13723,5,2011-09-17,1. FC Kaiserslautern,1. FSV Mainz 05,3 - 1
13724,5,2011-09-18,Hannover 96,Borussia Dortmund,2 - 1
13725,5,2011-09-18,FC Schalke 04,Bayern Munchen,0 - 2
13726,5,2011-09-23,VfB Stuttgart,Hamburger SV,1 - 2
13727,6,2011-09-24,FC Schalke 04,SC Freiburg,4 - 2
13728,6,2011-09-24,1. FSV Mainz 05,Borussia Dortmund,1 - 2
13729,6,2011-09-24,VfL Wolfsburg,1. FC Kaiserslautern,1 - 0
13730,6,2011-09-24,Bor. Monchengladbach,1. FC Nurnberg,1 - 0
13731,6,2011-09-24,FC Augsburg,Hannover 96,0 - 0
13732,6,2011-09-24,Bayern Munchen,Bayer Leverkusen,3 - 0
13733,6,2011-09-25,1. FC Koln,1899 Hoffenheim,2 - 0
13734,6,2011-09-25,Werder Bremen,Hertha BSC,2 - 1
13735,6,2011-09-30,1. FC Kaiserslautern,VfB Stuttgart,0 - 2
13736,7,2011-10-01,Borussia Dortmund,FC Augsburg,4 - 0
13737,7,2011-10-01,Bayer Leverkusen,VfL Wolfsburg,3 - 1
