,Round Number,Date,Home Team,Away Team,Result
15202,0,1966-08-20,1. FC Koln,TSV 1860 Munchen,2 - 0
15203,0,1966-08-20,Borussia Dortmund,Fortuna Dusseldorf,1 - 2
15204,0,1966-08-20,Eintracht Braunschweig,Werder Bremen,2 - 0
15205,0,1966-08-20,Hamburger SV,Hannover 96,2 - 1
15206,0,1966-08-20,VfB Stuttgart,1. FC Nurnberg,1 - 0
15207,0,1966-08-20,1. FC Kaiserslautern,Karlsruher SC,3 - 1
15208,0,1966-08-20,Meidericher SV,Rot-Weiss Essen,2 - 0
15209,0,1966-08-20,FC Schalke 04,Bor. Monchengladbach,0 - 0
15210,0,1966-08-20,Bayern Munchen,Frankfurter SG Eintracht,1 - 2
15211,0,1966-08-27,TSV 1860 Munchen,Eintracht Braunschweig,2 - 1
15212,1,1966-08-27,Fortuna Dusseldorf,Bayern Munchen,0 - 0
15213,1,1966-08-27,Hannover 96,Borussia Dortmund,2 - 0
15214,1,1966-08-27,Werder Bremen,VfB Stuttgart,1 - 2
15215,1,1966-08-27,1. FC Nurnberg,Meidericher SV,3 - 1
15216,1,1966-08-27,Bor. Monchengladbach,1. FC Kaiserslautern,1 - 1
15217,1,1966-08-27,Rot-Weiss Essen,FC Schalke 04,4 - 1
15218,1,1966-08-27,Frankfurter SG Eintracht,1. FC Koln,4 - 0
15219,1,1966-08-27,Karlsruher SC,Hamburger SV,1 - 1
15220,1,1966-09-03,VfB Stuttgart,TSV 1860 Munchen,2 - 0
15221,2,1966-09-03,Bayern Munchen,Hannover 96,0 - 0
15222,2,1966-09-03,Meidericher SV,Werder Bremen,1 - 0
15223,2,1966-09-03,Hamburger SV,Bor. Monchengladbach,2 - 0
15224,2,1966-09-03,FC Schalke 04,1. FC Nurnberg,1 - 0
15225,2,1966-09-03,1. FC Kaiserslautern,Rot-Weiss Essen,5 - 2
15226,2,1966-09-03,Borussia Dortmund,Karlsruher SC,2 - 1
15227,2,1966-09-03,Eintracht Braunschweig,1. FC Koln,1 - 0
15228,2,1966-09-03,Fortuna Dusseldorf,Frankfurter SG Eintracht,2 - 4
15229,2,1966-09-07,Frankfurter SG Eintracht,Eintracht Braunschweig,0 - 1
15230,3,1966-09-10,TSV 1860 Munchen,Meidericher SV,3 - 3
15231,3,1966-09-10,Karlsruher SC,Bayern Munchen,1 - 6
15232,3,1966-09-10,Rot-Weiss Essen,Hamburger SV,1 - 1
15233,3,1966-09-10,Werder Bremen,FC Schalke 04,2 - 1
15234,3,1966-09-10,Bor. Monchengladbach,Borussia Dortmund,4 - 0
15235,3,1966-09-10,1. FC Koln,VfB Stuttgart,3 - 1
15236,3,1966-09-10,Hannover 96,Fortuna Dusseldorf,0 - 2
15237,3,1966-09-10,1. FC Nurnberg,1. FC Kaiserslautern,1 - 2
15238,3,1966-09-17,FC Schalke 04,TSV 1860 Munchen,1 - 0
15239,4,1966-09-17,Bayern Munchen,Bor. Monchengladbach,4 - 3
15240,4,1966-09-17,1. FC Kaiserslautern,Werder Bremen,2 - 0
15241,4,1966-09-17,Hamburger SV,1. FC Nurnberg,0 - 1
15242,4,1966-09-17,Borussia Dortmund,Rot-Weiss Essen,0 - 0
15243,4,1966-09-17,Meidericher SV,1. FC Koln,1 - 0
15244,4,1966-09-17,Fortuna Dusseldorf,Karlsruher SC,1 - 0
15245,4,1966-09-17,VfB Stuttgart,Eintracht Braunschweig,1 - 2
15246,4,1966-09-17,Hannover 96,Frankfurter SG Eintracht,2 - 1
15247,4,1966-09-24,TSV 1860 Munchen,1. FC Kaiserslautern,3 - 0
15248,5,1966-09-24,Rot-Weiss Essen,Bayern Munchen,3 - 1
15249,5,1966-09-24,Werder Bremen,Hamburger SV,5 - 1
15250,5,1966-09-24,1. FC Nurnberg,Borussia Dortmund,2 - 0
