,Round Number,Date,Home Team,Away Team,Result
3846,0,1978-08-11,MSV Duisburg,Arminia Bielefeld,1 - 1
3847,0,1978-08-12,FC Schalke 04,Eintracht Frankfurt,4 - 0
3848,0,1978-08-12,Borussia Dortmund,Bayern Munchen,1 - 0
3849,0,1978-08-12,Hamburger SV,Bor. Monchengladbach,3 - 0
3850,0,1978-08-12,Fortuna Dusseldorf,Werder Bremen,3 - 1
3851,0,1978-08-12,1. FC Nurnberg,VfL Bochum,0 - 2
3852,0,1978-08-12,1. FC Kaiserslautern,VfB Stuttgart,5 - 1
3853,0,1978-08-12,SV Darmstadt 98,Hertha BSC,0 - 0
3854,0,1978-08-12,Eintracht Braunschweig,1. FC Koln,1 - 0
3855,0,1978-08-17,Hertha BSC,1. FC Kaiserslautern,0 - 3
3856,1,1978-08-19,1. FC Koln,SV Darmstadt 98,2 - 1
3857,1,1978-08-19,VfB Stuttgart,1. FC Nurnberg,4 - 0
3858,1,1978-08-19,VfL Bochum,Fortuna Dusseldorf,2 - 2
3859,1,1978-08-19,Werder Bremen,Hamburger SV,1 - 1
3860,1,1978-08-19,Bor. Monchengladbach,Borussia Dortmund,2 - 2
3861,1,1978-08-19,Bayern Munchen,MSV Duisburg,6 - 2
3862,1,1978-08-19,Arminia Bielefeld,FC Schalke 04,3 - 2
3863,1,1978-08-19,Eintracht Frankfurt,Eintracht Braunschweig,3 - 1
3864,1,1978-08-25,Borussia Dortmund,Werder Bremen,1 - 0
3865,2,1978-08-25,Fortuna Dusseldorf,VfB Stuttgart,2 - 0
3866,2,1978-08-26,FC Schalke 04,Bayern Munchen,2 - 1
3867,2,1978-08-26,MSV Duisburg,Bor. Monchengladbach,0 - 3
3868,2,1978-08-26,Hamburger SV,VfL Bochum,1 - 1
3869,2,1978-08-26,1. FC Nurnberg,Hertha BSC,2 - 1
3870,2,1978-08-26,1. FC Kaiserslautern,1. FC Koln,1 - 1
3871,2,1978-08-26,Eintracht Frankfurt,Arminia Bielefeld,1 - 0
3872,2,1978-08-26,Eintracht Braunschweig,SV Darmstadt 98,4 - 1
3873,2,1978-09-02,1. FC Koln,1. FC Nurnberg,2 - 0
3874,3,1978-09-02,VfB Stuttgart,Hamburger SV,1 - 0
3875,3,1978-09-02,VfL Bochum,Borussia Dortmund,4 - 1
3876,3,1978-09-02,Werder Bremen,MSV Duisburg,3 - 2
3877,3,1978-09-02,Bor. Monchengladbach,FC Schalke 04,0 - 0
3878,3,1978-09-02,Bayern Munchen,Eintracht Frankfurt,3 - 1
3879,3,1978-09-02,Arminia Bielefeld,Eintracht Braunschweig,2 - 2
3880,3,1978-09-02,SV Darmstadt 98,1. FC Kaiserslautern,2 - 2
3881,3,1978-09-02,Hertha BSC,Fortuna Dusseldorf,4 - 1
3882,3,1978-09-08,FC Schalke 04,Werder Bremen,2 - 1
3883,4,1978-09-08,MSV Duisburg,VfL Bochum,1 - 0
3884,4,1978-09-09,Borussia Dortmund,VfB Stuttgart,4 - 3
3885,4,1978-09-09,Hamburger SV,Hertha BSC,4 - 1
3886,4,1978-09-09,Fortuna Dusseldorf,1. FC Koln,1 - 1
3887,4,1978-09-09,1. FC Nurnberg,SV Darmstadt 98,3 - 2
3888,4,1978-09-09,Arminia Bielefeld,Bayern Munchen,0 - 2
3889,4,1978-09-09,Eintracht Frankfurt,Bor. Monchengladbach,2 - 0
3890,4,1978-09-09,Eintracht Braunschweig,1. FC Kaiserslautern,0 - 0
3891,4,1978-09-16,1. FC Koln,Hamburger SV,1 - 3
3892,5,1978-09-16,VfB Stuttgart,MSV Duisburg,2 - 0
3893,5,1978-09-16,VfL Bochum,FC Schalke 04,2 - 2
3894,5,1978-09-16,Werder Bremen,Eintracht Frankfurt,0 - 2
3895,5,1978-09-16,Bor. Monchengladbach,Arminia Bielefeld,4 - 1
3896,5,1978-09-16,Bayern Munchen,Eintracht Braunschweig,6 - 1
3897,5,1978-09-16,1. FC Kaiserslautern,1. FC Nurnberg,3 - 0
3898,5,1978-09-16,SV Darmstadt 98,Fortuna Dusseldorf,1 - 6
