,Round Number,Date,Home Team,Away Team,Result
1092,0,1969-08-16,Alemannia Aachen,TSV 1860 Munchen,0 - 0
1093,0,1969-08-16,FC Schalke 04,Bor. Monchengladbach,2 - 0
1094,0,1969-08-16,Hertha BSC,MSV Duisburg,1 - 0
1095,0,1969-08-16,Rot-Weiss Oberhausen,Eintracht Frankfurt,3 - 1
1096,0,1969-08-16,VfB Stuttgart,Werder Bremen,1 - 1
1097,0,1969-08-16,Hamburger SV,1. FC Kaiserslautern,2 - 1
1098,0,1969-08-16,1. FC Koln,Eintracht Braunschweig,3 - 2
1099,0,1969-08-16,Hannover 96,Borussia Dortmund,4 - 2
1100,0,1969-08-16,Bayern Munchen,Rot-Weiss Essen,4 - 0
1101,0,1969-08-22,Eintracht Frankfurt,FC Schalke 04,2 - 1
1102,1,1969-08-23,Rot-Weiss Essen,Alemannia Aachen,2 - 0
1103,1,1969-08-23,TSV 1860 Munchen,Hertha BSC,2 - 0
1104,1,1969-08-23,Bor. Monchengladbach,Bayern Munchen,2 - 1
1105,1,1969-08-23,1. FC Kaiserslautern,Rot-Weiss Oberhausen,0 - 0
1106,1,1969-08-23,MSV Duisburg,VfB Stuttgart,1 - 1
1107,1,1969-08-23,Eintracht Braunschweig,Hannover 96,1 - 1
1108,1,1969-08-23,Borussia Dortmund,Hamburger SV,2 - 1
1109,1,1969-08-23,Werder Bremen,1. FC Koln,2 - 1
1110,1,1969-08-27,Bayern Munchen,Eintracht Frankfurt,2 - 1
1111,2,1969-08-29,1. FC Koln,MSV Duisburg,6 - 2
1112,2,1969-08-30,VfB Stuttgart,TSV 1860 Munchen,3 - 1
1113,2,1969-08-30,Rot-Weiss Oberhausen,Borussia Dortmund,2 - 1
1114,2,1969-08-30,Hannover 96,Werder Bremen,3 - 2
1115,2,1969-08-30,Hamburger SV,Eintracht Braunschweig,3 - 3
1116,2,1969-08-30,Bor. Monchengladbach,Rot-Weiss Essen,2 - 1
1117,2,1969-08-30,FC Schalke 04,1. FC Kaiserslautern,4 - 2
